scaffold,mean_shap,effect
C1=C2C[C@@H](O[C@@H]3OC[C@@H](O[C@H]4CCCCO4)C[C@H]3O[C@H]3CCCCO3)CCC2[C@H]2CCC3[C@@H](C[C@@H]4O[C@]5(CCCCO5)C[C@H]34)[C@@H]2C1,0.000310057,positive
O=C1CCC[C@@H]2[C@H]3CC([C@H]4CC[C@H]5CN6C(=O)CCC[C@@H]6[C@H]6CCCN4[C@@H]56)=CN4CCC[C@@H](CN12)[C@@H]34,0.000310056,positive
O=C(/C=C/c1ccc2c(c1)OCO2)c1ccc2c(c1)C=CCO2,0.000310056,positive
O=C1C[C@@H]2CCCCC2[C@@H]2C[C@@H]3CC[C@@H](C3)C12,0.000310056,positive
O=C1C=C2CC[C@H]3CCCCC3[C@H]2CC1,0.000310056,positive
c1ccc2c(c1)OCO2,0.000310055,positive
O=C1CCCO1,0.000310054,positive
O=C(Cc1ccccc1)c1ccccc1,0.000310049,positive
C1=NCCc2ccccc21,0.000310043,positive
O=C1C=CC(=O)C1,0.000310016,positive
O=C1c2ccccc2-n2c1nc1ccccc1c2=O,0.000309953,positive
O=c1cc(-c2ccc3c(c2)OCO3)oc2c1ccc1occc12,0.000303547,positive
O=C1C[C@@H](c2ccoc2)C2CC(=O)[C@H]3C(CC[C@H]4C5CCC[C@@]43COC5)[C@H]12,0.000301925,positive
c1ccc(CCc2ccccc2Cc2ccccc2)cc1,0.000301924,positive
O=C1C(=O)c2c(ccc3c2CCCC3)-c2occc21,0.000301923,positive
C=C1CC[C@H]2C(=C)CC[C@H]3C(C[C@H]4C(=O)O[C@H]5C4CCC4CC=CC[C@@H]45)C(=O)O[C@@H]3[C@@H]12,0.000300296,positive
O=C1C=C(CCC2CCCC3[C@@H]2CCC[C@]32CO2)CO1,0.000300296,positive
O=c1oc2ccccc2cc1-c1ccccc1,0.000300296,positive
C=C1C(=O)O[C@@H]2CC3C[C@@H]3C[C@H]12,0.000300296,positive
C1=CC[C@H]2CCC[C@@H]2CC1,0.000300295,positive
O=C1CCC[C@@H]2[C@H]3CCCN4C[C@]5([C@@H]6CC[C@H]7[C@@H]8[C@@H](CCCN86)CN6C(=O)CCC[C@H]76)O[C@@H]5[C@@H](CN12)[C@@H]34,0.000300295,positive
c1ccoc1,0.000300295,positive
C1=C[C@H]2c3ccccc3OC[C@@]2(/C=C/c2ccccc2)CC1,0.000300293,positive
O=C1C=CO[C@H](c2ccccc2)[C@H]1c1ccc(/C=C/c2ccccc2)oc1=O,0.000300293,positive
O=C1C[C@@H](c2ccccc2)Oc2c1ccc1c2C=CCO1,0.000300293,positive
O=c1ccc2nccc3c4ccccc4n1c23,0.000300291,positive
c1ccc(O[C@H]2CCCCO2)cc1,0.000300277,positive
c1ccc2c3cc[nH]cc-3nc2c1,0.00030027,positive
C=C1[C@@H]2CCCC2CC[C@]23CC[C@H](CC[C@@H]12)C3,0.000297856,positive
c1ccc2c3c([nH]c2c1)CNCC3,0.000297856,positive
c1ccc2c(c1)CCc1ccccc1-2,0.000297856,positive
O=c1ccc2ccccc2o1,0.000297854,positive
C=C1CC[C@@H]2C[C@@H]2C=CC(=O)C2CC[C@H](OC(=O)c3ccccc3)[C@@H]2C1,0.000297853,positive
C1=C[C@@H]2C[C@]3(C=CCC3C1)CCC1C[C@H]12,0.000297853,positive
C1CCC2CCCCC2C1,0.000297365,positive
C=C1CC[C@H]2CCCCC2C1,0.00029704,positive
O=C1C=CC2[C@@H](CCC3C4=CC(=O)C(c5ccoc5)C4CC[C@@H]32)C1,0.000297038,positive
O=c1c2ccccc2oc2ccccc12,0.00029639,positive
O=C1C=CC[C@H](C[C@H]2CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.000295412,positive
O=c1cc(-c2ccccc2)oc2ccccc12,0.000295063,positive
O=C(/C=C/c1ccccc1)c1ccccc1,0.000294433,positive
C=C1C(=O)O[C@@H]2CCC=CC[C@H]12,0.000293786,positive
O=c1c(O[C@@H]2CCC[C@H](CO[C@@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.000292971,positive
c1cc2c(c(-c3nccc4c3[nH]c3ccccc34)c1)OCO2,0.000292971,positive
O=c1c(-c2ccccc2)coc2c([C@H]3CCCCO3)cccc12,0.000292971,positive
C=C1CC[C@H]2OC2CC[C@H]2CC[C@H]12,0.00029297,positive
O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,0.00029297,positive
C=C1C(=O)O[C@@H]2CC[C@@H]3CCC(=O)C3C[C@H]12,0.000292968,positive
O=C(O[C@H]1C2C3=C[C@H](c4ccoc4)C[C@@H]3OCC[C@@H]2C2CCCC3CO[C@@H]1[C@@H]32)c1ccccc1,0.000292968,positive
O=C(/C=C/c1ccccc1)C[C@H](CCc1ccccc1)OC1OCCC[C@H]1OC(=O)/C=C/c1ccccc1,0.000292968,positive
C=C1CCCC2C[C@H]3OC(=O)C(=C)[C@H]3CC12,0.000292968,positive
c1ccc(CCOc2ccccc2)cc1,0.000292968,positive
O=C(/C=C/c1ccccc1)O/C=C\c1ccccc1,0.000292967,positive
O=C1C=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3C12,0.000292157,positive
O=c1c(-c2ccccc2)coc2ccccc12,0.000292156,positive
C1=CC2CCC3C(CCC4C[C@@H](O[C@H]5CCCCO5)C[C@@H](O[C@@H]5OCCC[C@H]5O[C@H]5CCCCO5)C43)C2C1,0.000292154,positive
c1ccc2c(c1)[nH]c1cnccc12,0.00029202,positive
O=C1CC2[C@@H](c3ccoc3)C[C@H]3O[C@@]23C2CC[C@H]3C4CCC[C@]3(COC4)[C@@H]12,0.000290529,positive
C1CC[C@H](O[C@H]2CC[C@]34C[C@]35CCC3CCCC3[C@@H]5C[C@H](O[C@H]3CCCCO3)[C@H]4C2)OC1,0.000290529,positive
O=C1C=CC[C@@H]2C[C@H]3O[C@@H]4C[C@@H](c5ccoc5)C=C4C3CC12,0.000290529,positive
O=C1c2ccc3c(c2O[C@@H]2COc4ccccc4[C@H]12)C=CCO3,0.000290529,positive
C1=C2CCCC3OC4(CCC5CCCC5=C4C1)O[C@H]23,0.000290529,positive
O=C1CCC2C3C(=O)C=C4C(CCC5CCCC[C@@H]45)C3CC[C@H]2C1,0.000290529,positive
c1ccc2c(c1)CCCO2,0.000290529,positive
O=C(O[C@H]1CCC[C@@H]2C[C@H]3O[C@@H]4C[C@@H](c5ccoc5)C=C4C3CC21)c1ccccc1,0.000290529,positive
C=C1CC[C@H]2C(=C)CC[C@H]3C(C[C@@H]4C(=O)O[C@H]5[C@H]4CCC(=C)[C@@H]4CCC(=C)[C@H]54)C(=O)O[C@@H]3[C@@H]12,0.000290529,positive
O=C1C=CC=C2OCCC12,0.000290529,positive
O=C1CC[C@]23C[C@]24CCC2CCCC2[C@@H]4CC[C@H]3C1,0.000290529,positive
