scaffold,mean_shap
O=C(Cc1nc2ccccc2nc1N1CCCCC1)OC1CCCCC1,-2.5040674e-05
c1ccc2nc3c(ccn3CC3CCCO3)nc2c1,-0.00032373948
c1ccc2c(-c3ncc(N4CCCCC4)o3)cccc2c1,0.00010591485
O=C(NCc1cc2ccccc2[nH]c1=O)c1ccccc1,-0.0004731568
O=c1[nH]cc(C=NC2CCCCC2)c(=O)[nH]1,-4.0266474e-05
O=C(Nc1ccc2[nH]c(-c3ccco3)nc2c1)c1cccs1,0.0006262483
O=C1Nc2ccccc2C12Nc1ccccc1-c1nc3ccccc3n12,0.00033921894
O=C(CSc1nc2cccnc2[nH]1)Nc1ccc2c(c1)OCCO2,-0.0008524478
c1ccc(-c2cnn3cccnc23)cc1,-4.209522e-05
O=c1[nH]c2ccc(S(=O)(=O)Nc3ccc4c(c3)OCCO4)cc2o1,-5.5263336e-05
O=C(CCc1nc(-c2ccccc2)no1)Nc1ccccc1,-0.00061759196
O=C(COc1ccccc1)NCC1CCCCC1,-0.0005241981
O=C(OCC(=O)N1CCCC1)c1cccnc1,2.8977345e-05
O=c1c2c3c(sc2nc2sc(C4CC4)nn12)CCCC3,-0.0001281822
O=C(NCN1CCCCC1)c1cnccn1,-0.00059535925
c1ccc2[nH]cnc2c1,-0.00042840524
O=C(CSc1nc2sc3c(c2c(=O)[nH]1)CCCC3)Nc1ccon1,-0.00091549987
O=C(COC(=O)C1CC(=O)N(c2ccccc2)C1)NC1CCS(=O)(=O)C1,-8.69183e-06
O=C(Nc1ccc(-c2cn3ccsc3n2)cc1)C1CCCC1,0.000105453044
O=C(Cn1c(=O)c2[nH]cnc2n(Cc2ccccc2)c1=O)Nc1ccc2c(c1)OCO2,-0.00043143868
O=C(c1cc2ccccc2o1)N1CCN(c2ccccc2)CC1,-0.00036243183
O=C(CN1CCOCC1)Nc1ccccc1-c1ccccc1,-0.00023496214
c1ccc(-c2ncco2)cc1,8.509567e-06
O=C(CSc1nnc(-c2cccs2)o1)N1CCCCC1,-0.0013024429
O=C(Nc1c2c(nn1-c1ccccc1)CSC2)c1ccc2c(c1)OCO2,-0.00036438808
O=c1ccc(-c2ccccc2)n[nH]1,-7.7180026e-05
c1ccc2c(c1)[nH]c1ncnnc12,-0.00036557886
O=C(C1CCC(=O)N1Cc1ccccc1)N1CCN(c2ccccc2)CC1,-0.00024438617
O=C(CCS(=O)(=O)Cc1ccccc1)N1CCC2(CC1)OCCO2,9.0231406e-05
O=C(Nc1cccc(-c2cn3cccnc3n2)c1)c1conc1-c1ccccc1,0.0002091337
O=C(NC1CC1)c1c[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2c1=O,0.00041844882
O=c1[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2[nH]c1=O,0.0005590293
O=C(NCc1ccccc1)C1CCNCC1,-0.00029352383
O=C(CCS(=O)(=O)c1ccc2c(c1)CCN2)N1CCN(C(=O)c2ccco2)CC1,-0.00011819316
O=C(CCC1CCCCC1)Nc1c2c(nn1-c1ccccc1)C[SH+]C2,-0.0005827902
O=C(NCc1ccco1)C1CCN(C(=O)c2cc3sccc3n2Cc2ccccc2)CC1,-0.00090122165
O=C(Nc1ccccc1)c1cc[nH]c1,-0.00045058012
O=C(CSc1nnc(Cc2cc(=O)[nH]c(=O)[nH]2)n1-c1ccccc1)NCC1CCCO1,-0.0007858095
O=C1c2cccnc2C(Nc2ccccc2)N1Cc1ccccc1,-0.00017739953
c1cc2ccsc2cn1,1.8803032e-05
O=C(Nc1ccccc1)c1cccc2c1C(=O)N(Cc1ccccn1)C2,-7.6121476e-05
O=C(c1scc2c1OCCO2)N1CCOCC1,0.00019189621
c1ccc(-n2cc3c(n2)CSC3)cc1,-0.0003317161
O=C(C1CCCN(c2nn3c(=O)ccnc3s2)C1)N1CCNCC1,-0.00040096184
O=c1cc[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc12,0.000401367
O=C1Nc2ccccc2C12OCCO2,1.623269e-05
O=C(Cn1cccc1)NCCc1ccccc1,-0.0006519048
O=C1Nc2ccccc2SC1CC(=O)N1CCN(c2ccccc2)CC1,-0.00043430895
O=C(CCn1c(=O)[nH]c2ccccc2c1=O)N1CCN(c2ccccc2)CC1,-0.00029162492
c1ccc(-c2nnc3cccnn23)cc1,9.742215e-05
O=C1CCCC2=Nc3[nH]c(=O)[nH]c(=O)c3C(c3ccccc3)C12,-0.00032772325
O=C(CSc1nnc(-c2cccs2)o1)N1CCCCC1,-0.0010629327
O=S(=O)(NCc1ccccc1)c1ccccc1,2.7940125e-05
O=c1[nH]c(=S)[nH]c2ccccc12,1.3403736e-05
O=c1[nH]c2ccc(S(=O)(=O)N3CCN(Cc4ccc5c(c4)OCO5)CC3)cc2o1,-0.00053457066
O=c1ccc2c[nH]nc2o1,-0.00028100528
O=c1[nH]c2ccccc2nc1-n1cccn1,7.974231e-05
O=c1oc2ccccc2c2ccncc12,-0.00016938025
c1ccc(CN2CCCCC2)cc1,-0.00016420084
O=c1ccnc2c(-c3ccccc3)c[nH]n12,-0.000226788
O=C(CN1CCC(N2CCCCC2)CC1)Nc1ccccc1,-0.00055564306
O=C(c1ccsc1)N1CCOCC1,-0.0008177449
O=S(=O)(NCCc1ccncc1)c1ccccc1,7.798742e-05
O=C(CC1C(=O)NCCN1C(=O)c1ccccc1)OCc1ccccc1,1.0498879e-05
O=C(Oc1ccccc1)c1cccc(COC(=O)c2cnccn2)c1,-9.940304e-05
O=C(Nc1c[nH]n(-c2ccccc2)c1=O)c1ccccc1,-0.0001807919
O=C1c2ccccc2C(Cc2ccccc2)N1C1CCCCC1,-4.3051667e-05
O=C(CNc1ccccc1)Nc1ccccc1,-0.0003713944
c1ccc(CCn2cccc2)cc1,-0.0005683573
O=c1[nH]cnc2ccccc12,0.00011520701
O=C(Nc1ccccc1)c1ccc(COc2ccccc2)o1,0.0001752234
O=C(OCc1ccccc1)c1c[nH]c2ncccc2c1=O,0.00015060285
O=C(Nc1ccccc1C(=O)NCc1ccccc1)c1ccco1,-0.00027010008
O=C(NCSc1ncccn1)c1ccccc1,-0.00046751378
O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccccc1,-2.4179157e-05
O=S(=O)(NCC1CCCO1)c1ccccc1,-0.0005388076
c1ccc2scnc2c1,-0.00010478505
O=C(c1cn(-c2ccccc2)nc1-c1ccncc1)N1CCCCC1,-0.00051459833
O=S(=O)(c1ccccc1)c1coc(-c2cccs2)n1,-0.00039425923
O=C(Nc1cc(=O)[nH]c(=O)[nH]1)c1conc1-c1ccccc1,0.00014098725
c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,-0.00072212797
O=C(NC1CCCc2ccccc21)c1ccoc1,0.00015913352
c1ccc2c(c1)ncc1ccoc12,8.9803696e-05
c1ccc(CNC2CCCC2)cc1,-0.00012266819
O=C(c1c[nH]c2ccccc12)C1CC1,-8.309529e-05
O=S(=O)(NC1CCCCC1)c1ccccc1,-2.2220585e-05
O=S(=O)(NCc1ccccn1)c1ccccc1,-0.00010486913
O=C(Nc1ccon1)c1cncs1,0.00044989152
c1ccc(OCc2nncs2)cc1,-0.0003962308
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc2n(n1)CCCN2,-0.00018428068
O=C1CC(C(=O)Nc2ccc(C(=O)N3CCOCC3)cc2)C2(CCCCC2)O1,2.6322585e-05
O=C(CSc1nnc(CNC(=O)c2cccs2)[nH]1)c1ccccc1,-0.0007503561
c1ccc(N2CCN(c3ccn(-c4ccccc4)c3)CC2)cc1,9.072483e-05
c1ccc(-c2nnc(SCc3ccon3)o2)cc1,-0.00038736724
c1ccc2[nH]c(Cc3ccc4c(c3)OCO4)nc2c1,-0.00025371605
O=c1[nH]c(SCCc2cncs2)nc2ccccc12,0.00013615857
c1cc2c(s1)CCCC2,-0.000318096
O=C(CN(C1CCCCC1)S(=O)(=O)c1ccccc1)N1CCOCC1,-0.0004949975
O=C1N=CCC(c2ccccc2)N1,-0.00052046066
c1ccccc1,0.0002664835
O=C(Nc1ccccc1C(=O)N1CCCC1)c1ccccc1,0.00030487764
O=C(c1ccccc1)N1CCCCC1,-0.0003320605
O=C(Nc1nnc(C2CCCO2)s1)c1cccs1,-0.00021663333
O=C(COc1ccccc1)N1CCCCC1,-0.00031974545
O=C(Cc1nnc(SCC(=O)c2ccccc2)[nH]1)Nc1ccccc1,-0.0012243525
O=C(COc1ccccc1)NCc1cccnc1,-0.00042445175
O=S(=O)(Nc1ccc2c(c1)OCO2)c1ccccc1,9.434616e-05
O=C(COc1ccccc1)NCc1ccco1,-0.00060009107
O=C(c1cccs1)n1ccc2ccccc21,-0.00018913449
O=C(Nc1ccc2c(c1)OCO2)c1ccccc1,-0.00024036813
O=C(CNS(=O)(=O)c1ccccc1)Nc1ccc2c(c1)OCO2,-0.000337038
O=S(=O)(Nc1ccccc1)c1ccc2c(c1)OCCO2,-7.962646e-05
O=C(NCCc1nc2ccccc2[nH]1)c1ccccc1,-9.262334e-06
O=c1ccnc(NCc2ccccc2)[nH]1,0.00010318695
O=C(Nc1ccon1)c1cc(-c2ccccc2)nc2ccccc12,0.00034798676
O=C(NCc1ccccc1)c1cnsn1,-0.000130995
O=C(Cn1cc2c(c1)CC=CC2)Nc1ccccc1,-0.0008385279
c1ccc(CSc2nncn2-c2ccccc2)cc1,-0.00036467751
O=C1CCCc2[nH]ccc21,0.00029916578
O=C(Cc1ccccc1)Nc1ccccc1,-0.000109887646
O=C(NCc1ccccn1)NC12CC3CC(CC(C3)C1)C2,5.009884e-05
S=c1[nH]nc(-c2ccccc2)n1CC1CCCO1,-4.4704582e-05
c1ccccc1,0.00023085509
O=C(CSc1nnc(Cn2nnc(-c3ccccc3)n2)n1-c1ccccc1)Nc1ccccc1,-0.0006596717
O=C(CCOc1ccccc1)N1CCCCC1,-0.00062399637
O=C(COc1ccccc1)N1CCCCCC1,-0.00045053463
c1ccc(Cc2cnc[nH]2)cc1,-0.0003588919
O=C(COc1ccccc1)c1cc2ccccc2oc1=O,0.00020850459
c1ccccc1,0.00056613877
c1ccccc1,-9.30688e-05
O=C(OCc1ccco1)c1cc2ccccc2oc1=O,2.3780129e-05
O=C(CCCOc1ccccc1)N1CCC2(CC1)OCCO2,8.76495e-05
O=S(=O)(c1ccccc1)N1CCC(c2ccccc2)CC1,-0.00057221466
O=C(Nc1ccccc1)Nc1ccccc1,0.0005428038
O=C(CSc1nc2ccccc2s1)Nc1ccc(S(=O)(=O)Nc2ccno2)cc1,-4.614878e-05
O=C(Nc1cccc(NC(=O)c2ccco2)c1)c1ccccc1,-8.781064e-05
c1ccncc1,-0.00020751254
c1nncs1,-0.0009828128
O=S(=O)(c1ccccc1)N1CCSCC1,-0.00028733106
c1ccc(Cc2nnc3sc(-c4cccnc4)nn23)cc1,-0.00085470325
O=C(c1ccc(-c2n[nH]c(=O)c3ccccc23)cc1)N1CCN(c2ccccc2)CC1,-7.684277e-05
O=C(Nc1ccc2[nH]c(-c3cccs3)nc2c1)c1cccs1,-2.9423027e-06
O=C(CN(c1ccccc1)S(=O)(=O)c1ccccc1)Nc1cccnc1,2.9050672e-05
c1ccccc1,0.00029629737
O=C(c1ccccc1)N1CCN(c2ccccc2)CC1,-0.00029540504
O=C(CSc1ncccn1)Nc1nccs1,-0.0005518921
O=C(CNS(=O)(=O)c1ccccc1)Nc1ccccc1,-0.00037373794
O=C(CCCN1C(=O)c2ccccc2C1=O)Oc1ccccc1,-0.00051748427
O=C(c1cc2nc(-c3ccccc3)ccn2n1)N1CCC2(CC1)OCCO2,0.00010378024
O=C1CC(C(=O)Nc2ccccc2)C2(CCCC2)O1,0.00046650955
