ID,scaffold,mean_shap_full,mean_shap_test,mean_shap,effect_test
pos49,O=C(CC1=CC(=Cc2ccccc2)c2ccccc21)Nc1ccccc1,0.001603215,0.001603215,0.001603215,positive
pos50,C=C1c2ccoc2CC2C1CCC1CCCCC12,0.001583317,0.001583317,0.001583317,positive
pos51,O=C1CNCC2C(c3ccc(C=Cc4ccccc4)cc3)CN12,0.001581389,0.001581389,0.001581389,positive
pos52,O=C(C=Cc1cccc2c1OC1(C=C2)NC(=O)c2ccccc2O1)c1ccccc1,0.001576189,0.001576189,0.001576189,positive
pos53,c1cc(-c2cn3c4nc(ncc24)NCCCCCCCCCCCC3)ccc1CN1CCNCC1,0.00156484,0.00156484,0.00156484,positive
pos54,O=c1ccc2ccc(OCC3CCCC4CCCCC43)cc2o1,0.001558202,0.001558202,0.001558202,positive
pos55,C(=Nc1ccccc1)c1cccc(Cc2ccccc2)c1,0.001530973,0.001530973,0.001530973,positive
pos56,O=C(C=Cc1ccccc1)c1c[nH]c2ccccc12,0.001524641,0.001524641,0.001524641,positive
pos57,C=C1CCCC12CCC1CCCC=C12,0.001503868,0.001503868,0.001503868,positive
pos58,O=C(Cc1ccccc1)Cc1ccccc1,0.001502039,0.001502039,0.001502039,positive
pos59,O=C1C=CC2=C(C1)OC(c1ccccc1)CC2,0.001498918,0.001498918,0.001498918,positive
pos60,O=C1NC(=S)NC(=O)C1=Cc1c[nH]nc1-c1ccccc1,0.00149478,0.00149478,0.00149478,positive
pos61,O=C1Nc2ccccc2C1=Cc1ccnc2ccccc12,0.001492075,0.001492075,0.001492075,positive
pos62,O=C1C=CC(c2cc(=O)c3ccccc3o2)C=C1,0.001490673,0.001490673,0.001490673,positive
pos63,O=C1C=C2CCCC3CCC(C=C2O1)O3,0.001486345,0.001486345,0.001486345,positive
pos64,O=C(C=Cc1ccccc1)OC1CC2CCC1C2,0.001485172,0.001485172,0.001485172,positive
pos65,O=C1C=CC2=CC3CCCC3CCCC12,0.001468395,0.001468395,0.001468395,positive
pos66,O=C1C=CC2C(=CCC3C4CCCC4CCC23)C1,0.001467728,0.001467728,0.001467728,positive
pos67,O=C1CC=CC2CC3OC4CC(c5ccoc5)C=C4C3CC12,0.001465707,0.001465707,0.001465707,positive
pos68,C1=C2CCCCC2C2CCC3CCCC3C2C1,0.001448813,0.001448813,0.001448813,positive
pos69,O=C(NN=Cc1cccc2ccccc12)c1ccccc1,0.001442885,0.001442885,0.001442885,positive
pos70,C(=Cc1cccc2c1C(c1ccccc1)C(c1ccccc1)O2)c1ccccc1,0.001441242,0.001441242,0.001441242,positive
pos71,C(=Nc1ccccc1)c1cccc2ccccc12,0.001438649,0.001438649,0.001438649,positive
pos72,S=C(Nc1ccccc1)C(=Cc1ccccc1)[n+]1ccccc1,0.001436041,0.001436041,0.001436041,positive
pos73,O=C1C2CC=CCC2C(c2ccccc2)=NN1Cc1ccc(CN2CCC3(CC2)OCCO3)cc1,0.001430012,0.001430012,0.001430012,positive
pos74,O=C1NC(=Nc2ccccc2)SC1=Cc1ccco1,0.001428119,0.001428119,0.001428119,positive
pos75,O=C(C=Cc1ccco1)N=CC(=O)NNc1c[nH]c2ccccc12,0.001426169,0.001426169,0.001426169,positive
pos76,C(=NNc1nc(-c2cccnc2)nc2ccccc12)c1ccccc1,0.001418022,0.001418022,0.001418022,positive
pos77,S=c1[nH]nc(-c2ccn[nH]2)n1N=CC=Cc1ccccc1,0.001410245,0.001410245,0.001410245,positive
pos78,c1cc(C2CCC3C2CCC2C4CCCCC4CCC23)n[nH]1,0.001409304,0.001409304,0.001409304,positive
pos79,O=C(OC1CCC2COC3C4OC5CC(c6ccoc6)C=C5C4CC1C23)c1ccccc1,0.001404813,0.001404813,0.001404813,positive
pos80,S=c1[nH]nc(-c2ccncc2)n1N=CC=Cc1ccccc1,0.00140354,0.00140354,0.00140354,positive
pos81,O=C(NN=CC=Cc1ccco1)c1cc(-c2ccc3ccccc3c2)[nH]n1,0.001403387,0.001403387,0.001403387,positive
pos82,O=c1c(-c2ccccc2)coc2c(C3CCCCO3)cccc12,0.001398354,0.001398354,0.001398354,positive
pos83,C(=NCc1ccccc1)c1cc2ccccc2[nH]1,0.001395945,0.001395945,0.001395945,positive
pos84,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1cccs1,0.00138607,0.00138607,0.00138607,positive
pos85,O=C1NCCC(CNCc2ccccc2)OCCCCCOc2ccc(NS(=O)(=O)c3cccs3)cc21,0.001385037,0.001385037,0.001385037,positive
pos86,O=S(=O)(NCCCNc1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccccc2)ccn1)c1ccccc1,0.001366041,0.001366041,0.001366041,positive
pos87,O=C(C=Cc1ccccc1)NC(=S)NNC(=O)c1conc1-c1ccccc1,0.001365144,0.001365144,0.001365144,positive
pos88,C(=Cc1ccc(OCc2ccccc2)cc1)c1ccccc1,0.001354508,0.001354508,0.001354508,positive
pos89,O=C(OCC12C(=O)OC3CCC1CC32OC1CCCCO1)c1ccccc1,0.001353585,0.001353585,0.001353585,positive
pos90,O=C(Nc1ccnn1-c1ccccc1)NC1CCC(Oc2ccc3nnc(C4CCCCC4)n3c2)c2ccccc21,0.001353339,0.001353339,0.001353339,positive
pos91,C=C1CCC2CC2=CCC(=O)C2CCC(OC(=O)c3ccccc3)C2C1,0.001350639,0.001350639,0.001350639,positive
pos92,O=C(Cn1ncccc1=O)NCC(=O)Nc1ccccc1,0.001340914,0.001340914,0.001340914,positive
pos93,O=C(Nc1cccc2cnccc12)C1CCN(S(=O)(=O)c2ccccc2)CC1,0.001338205,0.001338205,0.001338205,positive
pos94,C1CCC2CCC3C(=C2C1)CCC1C2CCCCC2CCC31,0.00133405,0.00133405,0.00133405,positive
