Index,Input_SMILES,canonical_smiles,Prob_LightGBM,Prob_RF,Prob_BiLSTM,Average_Probability,Prediction,Assessment
378,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cccc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cccc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,0.102793644,0.2175,0.088624671,0.136306105,non-carcinogen,safety
400,Cc1onc(-c2ccccc2)c1-c1nc2ccccc2c(=O)o1,Cc1onc(-c2ccccc2)c1-c1nc2ccccc2c(=O)o1,0.100591539,0.592857143,0.605505764,0.432984815,non-carcinogen,safety
403,Cc1cc(C)c2c(c1)SC1=NC(c3ccccc3)(C(F)(F)F)NC(=O)N12,Cc1cc(C)c2c(c1)SC1=NC(c3ccccc3)(C(F)(F)F)NC(=O)N12,0.118288655,0.2,0.046851017,0.121713224,non-carcinogen,safety
427,CC(=O)N(C(C)=O)c1ncnc2c1c(-c1ccc(Cl)cc1)nn2C(C)(C)C,CC(=O)N(C(C)=O)c1ncnc2c1c(-c1ccc(Cl)cc1)nn2C(C)(C)C,0.257276335,0.37,0.249244079,0.292173471,non-carcinogen,safety
428,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,0.457277753,0.46,0.201006576,0.372761443,non-carcinogen,safety
457,O=C(NCCNc1ccnc2cc(Cl)ccc12)c1ccccc1F,O=C(NCCNc1ccnc2cc(Cl)ccc12)c1ccccc1F,0.155548249,0.37,0.032085028,0.185877759,non-carcinogen,safety
481,CCN(CC(=O)Nc1c(F)cccc1F)C(=O)/C=C/c1ccc(C)o1,CCN(CC(=O)Nc1c(F)cccc1F)C(=O)/C=C/c1ccc(C)o1,0.275908948,0.490166667,0.063389651,0.276488422,non-carcinogen,safety
487,Cc1ccc(S(=O)(=O)CCC(=O)NCCC2=CCCCC2)cc1,Cc1ccc(S(=O)(=O)CCC(=O)NCCC2=CCCCC2)cc1,0.144826972,0.109166667,0.297885925,0.183959854,non-carcinogen,safety
495,Cc1cc(N2CCN(C)CC2)ccc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1,Cc1cc(N2CCN(C)CC2)ccc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1,0.104441487,0.424333333,0.026813185,0.185196002,non-carcinogen,safety
501,COc1ccc2[nH]c3c(c2c1)CCN=C3C,COc1ccc2[nH]c3c(c2c1)CCN=C3C,0.47190947,0.3575,0.028169757,0.285859742,non-carcinogen,safety
517,O=C(Cc1ccc2c(c1)OCO2)NN=Cc1ccc([N+](=O)[O-])o1,O=C(Cc1ccc2c(c1)OCO2)NN=Cc1ccc([N+](=O)[O-])o1,0.383776883,0.52,0.322962582,0.408913155,non-carcinogen,safety
530,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,0.386106041,0.49,0.240308493,0.372138178,non-carcinogen,safety
536,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,0.006687469,0,0.003383735,0.003357068,non-carcinogen,safety
549,C[C@@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,C[C@@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,0.117120386,0.22,0.440417349,0.259179245,non-carcinogen,safety
550,Cc1noc(C)c1S(=O)(=O)Nc1ccc2c(c1)CC(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)Cc1ccc(Oc3ccccc3)cc1)O2,Cc1noc(C)c1S(=O)(=O)Nc1ccc2c(c1)CC(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)Cc1ccc(Oc3ccccc3)cc1)O2,0.127184697,0.263333333,0.007910061,0.132809364,non-carcinogen,safety
553,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0.149864073,0.25,0.001531408,0.133798494,non-carcinogen,safety
558,[O-]C(=C(C(=S)Nc1cccc2ccccc12)[n+]1ccccc1)c1ccc2c(c1)OCCO2,[O-]C(=C(C(=S)Nc1cccc2ccccc12)[n+]1ccccc1)c1ccc2c(c1)OCCO2,0.091863276,0.2275,0.642950714,0.32077133,non-carcinogen,safety
566,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,0.117120386,0.22,0.440417349,0.259179245,non-carcinogen,safety
584,CC(=NNc1ccc2ccccc2n1)c1ccccc1O,CC(=NNc1ccc2ccccc2n1)c1ccccc1O,0.641546624,0.5475,0.53112483,0.573390485,carcinogen,non-safety
585,CC(=O)N(C)c1ccc(C=C2C=Cc3ccccc32)cc1,CC(=O)N(C)c1ccc(C=C2C=Cc3ccccc32)cc1,0.827192252,0.616666667,0.956472456,0.800110458,carcinogen,non-safety
592,CC(=NNc1nc2ccccc2s1)c1ccncn1,CC(=NNc1nc2ccccc2s1)c1ccncn1,0.370395928,0.53,0.126560554,0.342318827,non-carcinogen,safety
597,CCCCC1C(=O)NC(=S)N(C)C1=O,CCCCC1C(=O)NC(=S)N(C)C1=O,0.014535152,0.436,0.112573944,0.187703032,non-carcinogen,safety
599,C(=Cc1cnc2ccccc2n1)c1ccc2c(c1)OCO2,C(=Cc1cnc2ccccc2n1)c1ccc2c(c1)OCO2,0.74906732,0.46,0.898413837,0.702493719,carcinogen,non-safety
614,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0.166592157,0.25,0.002265297,0.139619151,non-carcinogen,safety
620,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O,0.166592157,0.25,0.002265297,0.139619151,non-carcinogen,safety
631,CC(C)(C)[S@](=O)N1Cc2cc(C(=O)NCC(F)(F)F)nc(-c3cccc(-c4cccc(F)c4)c3)c2[C@@H]1CCO,CC(C)(C)[S@](=O)N1Cc2cc(C(=O)NCC(F)(F)F)nc(-c3cccc(-c4cccc(F)c4)c3)c2[C@@H]1CCO,0.067303642,0.22,0.040559597,0.109287746,non-carcinogen,safety
637,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,0.07176372,0.2525,0.006532478,0.110265399,non-carcinogen,safety
638,CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N(C(=O)c3ccccn3)[C@H]2C#N)cc1,CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N(C(=O)c3ccccn3)[C@H]2C#N)cc1,0.069619005,0.24,0.004621731,0.104746912,non-carcinogen,safety
650,COc1cccc(C#Cc2ccc([C@@H]3[C@@H](CO)N(C(=O)C4CCOCC4)[C@H]3C#N)cc2)c1,COc1cccc(C#Cc2ccc([C@@H]3[C@@H](CO)N(C(=O)C4CCOCC4)[C@H]3C#N)cc2)c1,0.079552523,0.21,0.007352774,0.098968432,non-carcinogen,safety
651,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,0.075536227,0.32,0.027115444,0.14088389,non-carcinogen,safety
652,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,0.075536227,0.32,0.027115444,0.14088389,non-carcinogen,safety
653,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@H](CO)N1C(=O)C1CC1,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@H](CO)N1C(=O)C1CC1,0.075536227,0.32,0.027115444,0.14088389,non-carcinogen,safety
655,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccc(F)cc3)cc2)[C@@H](CO)N1C(=O)C1CC1,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccc(F)cc3)cc2)[C@@H](CO)N1C(=O)C1CC1,0.082135381,0.32,0.021925502,0.141353628,non-carcinogen,safety
665,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2cc(F)ccc2F)O1)NCc1ccc(Oc2ccccc2)cc1,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2cc(F)ccc2F)O1)NCc1ccc(Oc2ccccc2)cc1,0.022905926,0.17,0.054401342,0.082435756,non-carcinogen,safety
669,O=C(Cc1ccccc1)N1CC[C@@H]2[C@H]1c1cc(-c3cccc(F)c3)ccc1N[C@@H]2CO,O=C(Cc1ccccc1)N1CC[C@@H]2[C@H]1c1cc(-c3cccc(F)c3)ccc1N[C@@H]2CO,0.189796175,0.34,0.013127669,0.180974615,non-carcinogen,safety
675,O=C(Nc1ccccc1F)N1CCCCN2[C@H](CO)[C@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,O=C(Nc1ccccc1F)N1CCCCN2[C@H](CO)[C@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,0.225343762,0.303333333,0.035251241,0.187976112,non-carcinogen,safety
676,COc1ccc(C#Cc2ccc([C@H]3[C@H]4CN(C(=O)c5ccncc5)CCCCN4[C@H]3CO)cc2)cc1,COc1ccc(C#Cc2ccc([C@H]3[C@H]4CN(C(=O)c5ccncc5)CCCCN4[C@H]3CO)cc2)cc1,0.159404924,0.275,0.029538643,0.154647856,non-carcinogen,safety
677,COc1ccc(C#Cc2ccc([C@@H]3[C@H](CO)N4CCCCN(C(=O)Nc5cccc(F)c5)C[C@@H]34)cc2)cc1,COc1ccc(C#Cc2ccc([C@@H]3[C@H](CO)N4CCCCN(C(=O)Nc5cccc(F)c5)C[C@@H]34)cc2)cc1,0.252574011,0.233333333,0.013994005,0.166633783,non-carcinogen,safety
678,O=C(Nc1ccc(F)cc1)N1CCCCN2[C@@H](CO)[C@@H](c3ccc(C#Cc4ccccc4)cc3)[C@@H]2C1,O=C(Nc1ccc(F)cc1)N1CCCCN2[C@@H](CO)[C@@H](c3ccc(C#Cc4ccccc4)cc3)[C@@H]2C1,0.293280589,0.223333333,0.022881098,0.179831674,non-carcinogen,safety
