Index,Input_SMILES,canonical_smiles,corrosion_prob,corrosion_label,irritation_prob,irritation_label,sensitization_prob,sensitization_label,Summary,Assessment
303,C/C1=C\CC/C(C)=C/[C@@H](O)[C@H](C(C)C)CC/C(C)=C/CC1,C/C1=C\CC/C(C)=C/[C@@H](O)[C@H](C(C)C)CC/C(C)=C/CC1,0.017309533,0,0.111418478,0,2.84E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
309,C/C1=C\CCC(C)(O)/C=C/C(C(C)C)CC/C(C)=C/CC1,C/C1=C\CCC(C)(O)/C=C/C(C(C)C)CC/C(C)=C/CC1,0.010239145,0,0.086981714,0,0.999956667,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
323,C/C=C(\C)C(=O)O[C@H]1C[C@@H](C)[C@@]2(O)CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,C/C=C(\C)C(=O)O[C@H]1C[C@@H](C)[C@@]2(O)CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,0.000223936,0,0.025966508,0,1.94E-06,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
333,C/C=C(\C)C(=O)O[C@H]1C[C@@H](O)[C@@](C)(C=O)[C@@H]2[C@@H](OC(C)=O)[C@H]3O[C@@H]4C[C@@H](c5ccoc5)C(C)=C4[C@@]3(C)[C@@H](CC(=O)OC)[C@@]12C,C/C=C(\C)C(=O)O[C@H]1C[C@@H](O)[C@@](C)(C=O)[C@@H]2[C@@H](OC(C)=O)[C@H]3O[C@@H]4C[C@@H](c5ccoc5)C(C)=C4[C@@]3(C)[C@@H](CC(=O)OC)[C@@]12C,0.000110261,0,0.024893848,0,4.12E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
338,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)CO[C@H]3[C@@H](O)[C@@]4(C)C5=CC[C@H](c6ccoc6)[C@]5(C)[C@@H](OC(C)=O)C[C@@H]4[C@]1(C)[C@@H]32,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)CO[C@H]3[C@@H](O)[C@@]4(C)C5=CC[C@H](c6ccoc6)[C@]5(C)[C@@H](OC(C)=O)C[C@@H]4[C@]1(C)[C@@H]32,4.31E-05,0,0.043102086,0,2.51E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
340,C/C=C/C=C\C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)/C=C/C)C3)c1,C/C=C/C=C\C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)/C=C/C)C3)c1,6.66E-05,0,0.037374869,0,0.999997675,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
343,C/C=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2cccc(OC)c2)cc1,C/C=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2cccc(OC)c2)cc1,0.006458693,0,0.439907581,0,0.999601662,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
345,C/C=C\C=C/C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/C=C\C)C3)c1,C/C=C\C=C/C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/C=C\C)C3)c1,7.61E-05,0,0.040545024,0,0.005167544,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
355,C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12,C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12,2.80E-05,0,0.042702809,0,0.996436954,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
356,C=C(C)/C=C\c1c(OC)cc(OC)c2ccc(=O)oc12,C=C(C)/C=C\c1c(OC)cc(OC)c2ccc(=O)oc12,2.55E-05,0,0.048498128,0,0.999888182,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
