Model,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
LGBM_ECFP,0.816 ± 0.003,0.814 ± 0.003,0.904 ± 0.005,0.888 ± 0.005,0.651 ± 0.006,0.755 ± 0.004,0.941 ± 0.001,0.687 ± 0.006,0.838 ± 0.002
LGBM_ESTATE,0.781 ± 0.005,0.780 ± 0.005,0.877 ± 0.002,0.884 ± 0.003,0.572 ± 0.010,0.739 ± 0.004,0.879 ± 0.006,0.682 ± 0.005,0.803 ± 0.004
LGBM_MACCS,0.760 ± 0.005,0.759 ± 0.005,0.840 ± 0.002,0.832 ± 0.005,0.524 ± 0.012,0.730 ± 0.002,0.833 ± 0.013,0.684 ± 0.002,0.778 ± 0.006
LGBM_PHYCHEM,0.758 ± 0.007,0.757 ± 0.007,0.855 ± 0.003,0.862 ± 0.004,0.522 ± 0.015,0.724 ± 0.007,0.844 ± 0.006,0.669 ± 0.009,0.779 ± 0.006
LGBM_RDKIT,0.816 ± 0.006,0.814 ± 0.006,0.913 ± 0.005,0.907 ± 0.005,0.648 ± 0.013,0.759 ± 0.006,0.931 ± 0.010,0.697 ± 0.010,0.837 ± 0.006
