Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Model,Run,Seed
0.817751479,0.816580381,0.886584191,0.863878982,0.644621796,0.772908367,0.906542056,0.726618705,0.834408602,XGB_ECFP,1,42
0.826035503,0.824665501,0.893733611,0.862004686,0.665419412,0.772815534,0.929906542,0.71942446,0.844114528,XGB_ECFP,2,43
0.818934911,0.817563706,0.890876084,0.864300211,0.650863901,0.766990291,0.922897196,0.712230216,0.837751856,XGB_ECFP,3,44
0.790532544,0.789064076,0.884592326,0.893144979,0.594460035,0.740882917,0.901869159,0.676258993,0.813487882,XGB_ESTATE,1,42
0.790532544,0.789187342,0.876428764,0.884866328,0.592067827,0.744639376,0.892523364,0.685851319,0.811902232,XGB_ESTATE,2,43
0.801183432,0.79970136,0.884407427,0.891657682,0.616697388,0.749042146,0.913551402,0.685851319,0.823157895,XGB_ESTATE,3,44
0.764497041,0.76354804,0.839883234,0.836726841,0.533302604,0.735112936,0.836448598,0.690647482,0.782513661,XGB_MACCS,1,42
0.752662722,0.751619265,0.846449943,0.839579105,0.510351043,0.722109533,0.831775701,0.67146283,0.773072747,XGB_MACCS,2,43
0.762130178,0.761119142,0.847828279,0.84082923,0.52919562,0.731160896,0.838785047,0.683453237,0.781284004,XGB_MACCS,3,44
0.770414201,0.769265896,0.84833535,0.854452915,0.547780677,0.734,0.857476636,0.681055156,0.790948276,XGB_PHYCHEM,1,42
0.768047337,0.76699108,0.856496112,0.861659432,0.541750882,0.734817814,0.848130841,0.685851319,0.787418655,XGB_PHYCHEM,2,43
0.750295858,0.749375266,0.847461283,0.855976832,0.504256105,0.72371134,0.820093458,0.678657074,0.768893757,XGB_PHYCHEM,3,44
0.830769231,0.829184316,0.920140523,0.916417933,0.680279941,0.769376181,0.950934579,0.707434053,0.850574713,XGB_RDKIT,1,42
0.824852071,0.823127479,0.926488716,0.923434707,0.671789907,0.760223048,0.955607477,0.690647482,0.84679089,XGB_RDKIT,2,43
0.792899408,0.791585423,0.908828078,0.912453721,0.596351112,0.747553816,0.892523364,0.690647482,0.813631523,XGB_RDKIT,3,44
