Model,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
BiLSTM_ECFP,0.738 ± 0.015,0.735 ± 0.016,0.883 ± 0.008,0.894 ± 0.007,0.545 ± 0.022,0.663 ± 0.015,0.985 ± 0.004,0.484 ± 0.035,0.792 ± 0.009
BiLSTM_ESTATE,0.733 ± 0.016,0.731 ± 0.016,0.815 ± 0.012,0.760 ± 0.008,0.496 ± 0.028,0.676 ± 0.016,0.910 ± 0.018,0.552 ± 0.036,0.775 ± 0.011
BiLSTM_MACCS,0.731 ± 0.017,0.729 ± 0.018,0.802 ± 0.008,0.752 ± 0.001,0.503 ± 0.033,0.669 ± 0.016,0.933 ± 0.019,0.524 ± 0.036,0.779 ± 0.013
BiLSTM_PHYCHEM,0.593 ± 0.012,0.591 ± 0.011,0.647 ± 0.019,0.632 ± 0.003,0.206 ± 0.038,0.571 ± 0.005,0.791 ± 0.104,0.390 ± 0.085,0.660 ± 0.038
BiLSTM_RDKIT,0.752 ± 0.011,0.749 ± 0.012,0.861 ± 0.013,0.783 ± 0.016,0.559 ± 0.017,0.681 ± 0.019,0.966 ± 0.042,0.532 ± 0.060,0.798 ± 0.006
