Run,Seed,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity
1,42,0.8123038292529818,0.8122601861174434,0.8859870076389723,0.8887832205342322,0.6260691764414708,0.8352464550979068,0.7774984286612193,0.8470219435736677
2,43,0.8110483364720653,0.8110102082836645,0.8864876686849421,0.8883643704869397,0.6232003278804731,0.8307692307692308,0.7806411062225016,0.8413793103448276
3,44,0.8129315756434401,0.8128910860266113,0.8866628310894549,0.8878109749934678,0.627119564476525,0.8341168569509738,0.7806411062225016,0.845141065830721
