,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
XGB_RDKIT,0.82 ± 0.01,0.82 ± 0.01,0.92 ± 0.00,0.92 ± 0.00,0.67 ± 0.02,0.76 ± 0.01,0.95 ± 0.01,0.69 ± 0.01,0.84 ± 0.01
XGB_ECFP,0.82 ± 0.01,0.82 ± 0.01,0.89 ± 0.01,0.87 ± 0.01,0.66 ± 0.02,0.77 ± 0.01,0.93 ± 0.01,0.72 ± 0.00,0.84 ± 0.01
XGB_MACCS,0.76 ± 0.00,0.76 ± 0.00,0.85 ± 0.01,0.84 ± 0.00,0.52 ± 0.01,0.73 ± 0.00,0.84 ± 0.01,0.68 ± 0.00,0.78 ± 0.00
BiLSTM_RDKIT,0.75 ± 0.011,0.75 ± 0.012,0.86 ± 0.013,0.78 ± 0.016,0.56 ± 0.017,0.68 ± 0.019,0.97 ± 0.042,0.53 ± 0.060,0.8 ± 0.006
BiLSTM_ECFP,0.74 ± 0.015,0.74 ± 0.016,0.88 ± 0.008,0.89 ± 0.007,0.55 ± 0.022,0.66 ± 0.015,0.99 ± 0.004,0.48 ± 0.035,0.79 ± 0.009
BiLSTM_MACCS,0.73 ± 0.017,0.73 ± 0.018,0.8 ± 0.008,0.75 ± 0.001,0.5 ± 0.033,0.67 ± 0.016,0.93 ± 0.019,0.52 ± 0.036,0.78 ± 0.013
