,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
XGB_ECFP,0.82 ± 0.01,0.82 ± 0.01,0.89 ± 0.01,0.87 ± 0.01,0.66 ± 0.02,0.77 ± 0.01,0.93 ± 0.01,0.72 ± 0.00,0.84 ± 0.01
XGB_MACCS,0.76 ± 0.00,0.76 ± 0.00,0.85 ± 0.01,0.84 ± 0.00,0.52 ± 0.01,0.73 ± 0.00,0.84 ± 0.01,0.68 ± 0.00,0.78 ± 0.00
XGB_RDKIT,0.82 ± 0.01,0.82 ± 0.01,0.92 ± 0.00,0.92 ± 0.00,0.67 ± 0.02,0.76 ± 0.01,0.95 ± 0.01,0.69 ± 0.01,0.84 ± 0.01
