scaffold,mean_shap,effect
O=C1C=CC[C@H](C2OC[C@]34CC[C@@H]5C6C(=O)C=CCC6CC[C@H]5[C@@H]3CC[C@H]24)O1,0.0021525254,positive
O=c1ccc2ccc(O[C@H]3CCCCO3)cc2o1,0.002152369,positive
C1CC[C@H](O[C@H]2CC[C@]34C[C@]35CCC3CCCC3[C@@H]5C[C@H](O[C@H]3CCCCO3)[C@H]4C2)OC1,0.0021508317,positive
O=C1C=CC2[C@@H](CCC3Oc4ccc5c(c4C[C@H]32)CCOC5=O)C1,0.0021403795,positive
O=C1C[C@@H](c2ccccc2)Oc2cc(O[C@H]3CCC[C@@H](CO[C@H]4CCCCO4)O3)ccc21,0.0021397413,positive
O=C(/C=C/C=C/c1ccccc1)O[C@@H]1C[C@@]23OC4(c5ccccc5)OC1[C@H](O4)C2[C@@H]1OC1CC1C(=O)C=C[C@H]13,0.0021395,positive
C1=C[C@@H]2C[C@]3(C=CCC3C1)CC[C@H]1C[C@H]12,0.0021300463,positive
C1CC[C@H](O[C@@H]2CCCO[C@H]2O[C@H]2CCC3[C@@H](CCC4C5CCC[C@H]5CC[C@@H]43)C2)OC1,0.0021249438,positive
c1ccc([C@H]2Cc3cc4c(cc3O2)CCc2ccccc2-4)cc1,0.00212225,positive
O=C1CC2[C@@H](c3ccoc3)C[C@H]3O[C@@]23C2CC[C@H]3C4CCC[C@]3(COC4)[C@@H]12,0.0021091658,positive
O=C(Nc1ccnn1-c1cccc(OCCN2CCNCC2)c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0021051185,positive
C1=C[C@H]2c3ccccc3OC[C@@]2(/C=C/c2ccccc2)CC1,0.0021033646,positive
O=C1NC2CC[C@H]3CC4CCC/C4=C/C=C/1[C@H]23,0.0021006856,positive
O=C1C=C2CCCCC2[C@H]2CCC3CCCC3=C12,0.002091411,positive
O=C1CC2CCC3C(CC[C@@H]4C[C@@H](O[C@H]5CCCCO5)C[C@@H](OC5OCCC[C@H]5O[C@H]5CCCCO5)C34)C2C1,0.0020907826,positive
c1ccc(Oc2ccccc2OC2CCCC3CCCC[C@H]32)cc1,0.002086226,positive
O=C1C=C(C2CCC3C2CC[C@H]2[C@H]3CCC3CCCCC32/C=N/NC(=O)c2ccccc2)CO1,0.0020834159,positive
O=C1NC2CC[C@H]3CC4CCC[C@@H]4C/C=C/1[C@H]23,0.0020723941,positive
O=C1CC2[C@H](c3ccoc3)C[C@H]3O[C@@]23C2CC[C@H]3C4CCC[C@]3(COC4)[C@@H]12,0.0020631885,positive
C=C1C(=O)O[C@@H]2C=CCC[C@H]3OC3CC[C@H]12,0.0020611412,positive
O=C(Nc1ccnn1-c1cccnc1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0020609559,positive
O=C1C=C2CC[C@@H]3[C@H](CCC4C5OCO[C@@H]5C[C@H]43)C2CC1,0.0020581791,positive
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,0.002056052,positive
O=C(/C=C/c1ccc(/C=C2\SC(=O)NC2=O)cc1)NC[C@@H]1C[C@@H](NCc2ccccc2-c2ccccc2)CN1C(=O)c1ccccc1C(=O)c1ccccc1,0.0020553581,positive
C1=CC2C3CC[C@H](O[C@@H]4C[C@H](O[C@H]5CCCCO5)CCO4)CC3CCC2C2CCC3CCCCC3=C12,0.0020517085,positive
O=c1c2ccccc2oc2cc3c(cc12)C=CCO3,0.002046749,positive
O=C(N/N=C/C=C/c1ccco1)c1cc(-c2ccccc2)nc2ccccc12,0.002045064,positive
O=C1C=CC2[C@@H](CCC3C4=CCC5CCC(COC(=O)/C=C/c6ccccc6)C[C@H]5C4CC[C@@H]32)C1,0.0020423853,positive
O=C1C=CC2[C@@H](CCC3C4=CCC5CCC(COC(=O)/C=C\c6ccccc6)C[C@H]5C4CC[C@@H]32)C1,0.0020423853,positive
O=c1cc(-c2ccccc2)oc2c([C@@H]3CCCCO3)cccc12,0.0020346348,positive
C1=CC2CCC3C(CCC4C[C@@H](O[C@H]5CCCCO5)C[C@@H](O[C@@H]5OCCC[C@H]5O[C@H]5CCCCO5)C43)C2C1,0.0020344078,positive
C1=C2C[C@@H](O[C@H]3CCCCO3)CCC2[C@H]2CCC3CCC[C@H]3[C@@H]2C1,0.002032353,positive
O=C(/C=C/c1ccccc1)OCc1ccccc1,0.0020316401,positive
O=C1CC[C@H]2C(=CC[C@H]3C4CCCC4CC(=O)C32)C1,0.0020251696,positive
C=C1CC[C@@H]2CCCCC2[C@@H]1C/C=C1\CCOC1=O,0.0020235172,positive
O=C(/C=C/c1ccccc1)c1ccc2c(c1)C=CCO2,0.0020161779,positive
O=c1c(-c2ccccc2)coc2cc3c(cc12)C=CCO3,0.0020157667,positive
O=C1C=CC[C@H](C2OC[C@]34CC[C@@H]5C6C(=O)C=CC=C6CC[C@H]5[C@@H]3CC[C@H]24)O1,0.0020139064,positive
O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CCCCC4CC[C@@H]32)CO1,0.0020118188,positive
c1ccc(C2OCC3C(c4ccc(O[C@H]5CCCCO5)cc4)OCC23)cc1,0.0020090593,positive
C1=C2C3CC4CCCC[C@@H]4C[C@H]3O[C@@H]2C[C@H]1c1ccoc1,0.002007586,positive
O=c1cc(-c2ccccc2)oc2c([C@H]3CCCCO3)cccc12,0.0020046309,positive
O=C(/C=C/c1ccccc1)CC(=O)CCc1ccccc1,0.002002586,positive
O=C1C=CO[C@H](c2ccccc2)[C@H]1c1ccc(/C=C/c2ccccc2)oc1=O,0.0020018017,positive
O=C(/C=C/c1ccco1)N/C(=C\c1ccccc1)C(=O)NCCc1nc2ccccc2[nH]1,0.0019994355,positive
O=C(OCC1CCCC2C1CCC1C3CC[C@@]4(C(=O)O[C@H]5CCCCO5)CCCCC4C3=CCC12)c1ccccc1,0.00199896,positive
O=C1CC2CCCC2C2CC=C3CCCCC3C12,0.0019943938,positive
O=C(CNC(=O)/C=C/c1ccccc1)N=Nc1c[nH]c2ccccc12,0.0019928585,positive
O=C1C=CC[C@H](CC2=CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.0019907597,positive
O=C(/C=C/c1ccco1)NC(=S)NNC(=O)c1ccccc1,0.0019888964,positive
C1=C[C@H]2c3ccccc3CC[C@@]2(/C=C/c2ccccc2)CC1,0.0019844146,positive
O=C1C(=Cc2ccccc2)C(=O)c2ccccc21,0.0019784481,positive
O=C(/C=C/c1ccccc1)NNc1ccccc1,0.001978372,positive
C=C1CC[C@@H]2C[C@@H]2C=CC(=O)C2CC[C@H](OC(=O)/C=C/c3ccccc3)[C@@H]2C1,0.0019755154,positive
O=C1C=CC2C(=C1)CCC1C2CCC2C1C[C@H]1OCOC21,0.0019676476,positive
O=C1OCC=C1[C@H]1C=C2C3CC4CCCC5C(=O)O[C@H]([C@H]45)[C@H]3O[C@@H]2C1,0.0019665137,positive
O=c1c(O[C@@H]2CCC[C@H](CO[C@@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.0019635172,positive
O=c1c(O[C@H]2CCC[C@@H](CO[C@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.001957172,positive
O=C1c2ccccc2O[C@H](c2ccccc2)[C@H]1O[C@H]1CCCCO1,0.0019549262,positive
O=C(/C=C/c1ccccc1)OC1CCCCC1,0.0019526847,positive
c1ccc(CCCC[C@H](CCc2ccccc2)O[C@H]2CCCCO2)cc1,0.0019514083,positive
O=C(O[C@H]1CCCCO1)[C@]12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,0.0019475652,positive
O=C(/C=C/c1ccc2c(c1)OCO2)c1ccccc1,0.0019467281,positive
O=C1C[C@@H](c2ccoc2)C2CC(=O)[C@H]3C(CC[C@H]4C5CCC[C@@]43COC5)[C@H]12,0.0019385144,positive
O=C(/C=C/c1ccccc1)NCCc1ccccc1,0.0019380193,positive
O=c1cc2occc3c(O[C@H]4CCCCO4)c(-c4ccccc4)oc(c1)c23,0.0019341202,positive
O=C(/C=C/c1ccccc1)O[C@H]1CCC2CO[C@@H]3[C@@H]2C1CC1C2=C[C@H](c4ccoc4)C[C@H]2O[C@@H]13,0.0019326289,positive
