ID,scaffold,mean_shap_full,mean_shap_test,mean_shap,effect_test
pos1,O=C(/C=C/c1ccccc1)OC[C@@H]1C[C@H](O[C@H]2CCCCO2)C[C@H](OCCc2ccccc2)O1,0.002716598,0.002716598,0.002716598,positive
pos2,O=C1CC(c2ccccc2)Oc2cc(O[C@@H]3OCCC[C@H]3O[C@H]3CCCCO3)ccc21,0.002716198,0.002716198,0.002716198,positive
pos3,O=C1CC(c2ccc3c(c2)O[C@@H](c2ccccc2)CO3)Oc2ccccc21,0.002545197,0.002545197,0.002545197,positive
pos4,O=C1CC=C[C@H](C[C@H]2CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.002493436,0.002493436,0.002493436,positive
pos5,O=c1cc(-c2cccc3c2OCC=C3)oc2ccccc12,0.002322066,0.002322066,0.002322066,positive
pos6,O=C(/C=C/C=C/c1ccccc1)CCc1ccccc1,0.002256197,0.002256197,0.002256197,positive
pos7,C1=C[C@H]2c3ccccc3OC[C@]2(/C=C/c2ccccc2)CC1,0.002216494,0.002216494,0.002216494,positive
pos8,O=C(OC1CCCCC1)C1CCC2CCC3C(=CC(=O)C4C3CC[C@H]3CCCCC43)[C@@H]2C1,0.002184514,0.002184514,0.002184514,positive
pos9,C1=C2C3=CC[C@H]4CCCCC4[C@@H]3CCC2CC1,0.002169778,0.002169778,0.002169778,positive
pos10,C(=C/c1ccccc1O[C@H]1CCCCO1)\c1ccccc1,0.002152756,0.002152756,0.002152756,positive
pos11,O=c1ccc2ccc(O[C@H]3CCCCO3)cc2o1,0.002152369,0.002152369,0.002152369,positive
pos12,C1CC[C@H](O[C@@H]2CCCO[C@H]2O[C@H]2CCC3[C@@H](CCC4C5CCC[C@H]5CC[C@@H]43)C2)OC1,0.002124944,0.002124944,0.002124944,positive
pos13,O=C1C=CC2[C@@H](CCC3C4=CCC5CCC(COC(=O)/C=C/c6ccccc6)C[C@H]5C4CC[C@@H]32)C1,0.002042385,0.002042385,0.002042385,positive
pos14,O=C(/C=C/c1ccccc1)OCc1ccccc1,0.00203164,0.00203164,0.00203164,positive
pos15,O=C1CC[C@H]2C(=CC[C@H]3C4CCCC4CC(=O)C32)C1,0.00202517,0.00202517,0.00202517,positive
pos16,O=c1cc(-c2ccccc2)oc2c([C@H]3CCCCO3)cccc12,0.002004631,0.002004631,0.002004631,positive
pos17,O=C(OCC1CCCC2C1CCC1C3CC[C@@]4(C(=O)O[C@H]5CCCCO5)CCCCC4C3=CCC12)c1ccccc1,0.00199896,0.00199896,0.00199896,positive
pos18,C1=C[C@H]2c3ccccc3CC[C@@]2(/C=C/c2ccccc2)CC1,0.001984415,0.001984415,0.001984415,positive
pos19,O=C(/C=C/c1ccccc1)NNc1ccccc1,0.001978372,0.001978372,0.001978372,positive
pos20,O=C1C[C@@H](c2ccoc2)C2CC(=O)[C@H]3C(CC[C@H]4C5CCC[C@@]43COC5)[C@H]12,0.001938514,0.001938514,0.001938514,positive
pos21,O=C(/C=C\c1ccccc1)NCCc1ccccc1,0.001901561,0.001901561,0.001901561,positive
pos22,O=c1ccc([C@H]2CCC3C4CCC5=C[C@@H](O[C@H]6CCCCO6)CCC5C4CCC32)co1,0.001896441,0.001896441,0.001896441,positive
pos23,O=C1CC2CC[C@@]34O[C@@]3(C=CC3CCCCC34)[C@@H]2C1,0.001872049,0.001872049,0.001872049,positive
pos24,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CC(OC5CCCCO5)CCO4)CCC3C2C1,0.001852949,0.001852949,0.001852949,positive
pos25,O=C1C=CC2C(=C1)CC[C@@H]1C2C(=O)CC2CCC[C@H]21,0.0018477,0.0018477,0.0018477,positive
pos26,c1cc2c(o1)C[C@@H]1C3CCCCC3CC[C@H]1C2,0.001839712,0.001839712,0.001839712,positive
pos27,C1=C2CCCC3OC4(CCC5CCCC5=C4C1)O[C@H]23,0.001806707,0.001806707,0.001806707,positive
pos28,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,0.001800124,0.001800124,0.001800124,positive
pos29,C=C1CCCC[C@H]1C/C=C1\CCOC1=O,0.001791118,0.001791118,0.001791118,positive
pos30,c1ccc(CCc2ccccc2C[C@@H]2c3cc4c(cc3O[C@H]2c2ccccc2)-c2ccccc2CC4)cc1,0.001787204,0.001787204,0.001787204,positive
pos31,C=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccccc1,0.001776697,0.001776697,0.001776697,positive
pos32,O=C1C=CC[C@H](CC2=CCC3C2CC[C@@H]2C4C(=O)C=CC[C@]45O[C@@H]5C[C@@H]32)O1,0.001762243,0.001762243,0.001762243,positive
pos33,C1CC2CCC3C(CC[C@H]4CCCCC34)C2C1,0.001759321,0.001759321,0.001759321,positive
pos34,O=C1C=C[C@H]2CC3CCC[C@@H]3C/C=C\[C@H]12,0.001733333,0.001733333,0.001733333,positive
pos35,O=C1c2ccc3c(c2O[C@@H]2COc4ccccc4[C@H]12)C=CCO3,0.00169074,0.00169074,0.00169074,positive
pos36,O=C1NC(=S)NC(=O)C1=Cc1ccccc1,0.001690089,0.001690089,0.001690089,positive
pos37,O=C(/C=C/c1ccc(Sc2nnc[nH]2)cc1)c1ccccc1,0.001678193,0.001678193,0.001678193,positive
pos38,C1=C2CC[C@H]3CCCCC3C2CCC1,0.001667183,0.001667183,0.001667183,positive
pos39,O=C1N/C(=C\c2ccccc2)C(=O)c2ccccc21,0.001652894,0.001652894,0.001652894,positive
pos40,O=C(C=Cc1ccccc1)Nc1ccccc1,0.001650413,0.001650413,0.001650413,positive
pos41,C(=C/c1ccccc1)\COC[C@@H]1CCC[C@H](Oc2ccccc2)O1,0.001648901,0.001648901,0.001648901,positive
pos42,C(=Nc1ccc2c3c(cccc13)CC2)c1ccccc1,0.001645731,0.001645731,0.001645731,positive
pos43,O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1cccc(OCC2CC2)c1,0.00164418,0.00164418,0.00164418,positive
pos44,O=C1C=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3C[C@@H](O[C@H]4CCCCO4)CCC3C12,0.001640907,0.001640907,0.001640907,positive
pos45,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,0.00163942,0.00163942,0.00163942,positive
pos46,O=c1oc2ccccc2c2oc3ccccc3c12,0.001636078,0.001636078,0.001636078,positive
pos47,O=C1OC2CC[C@H]3CC4CCC[C@@H]4C/C=C/1[C@H]23,0.001623955,0.001623955,0.001623955,positive
pos48,C=C1CCCCC1,0.001623379,0.001623379,0.001623379,positive
pos49,O=C(N=Nc1c[nH]c2ccccc12)/C(=C/C=C/c1ccccc1)NC(=O)c1ccccc1,0.001620931,0.001620931,0.001620931,positive
pos50,O=C(Nc1ccnn1-c1cnn(CCN2CCOCC2)c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001614965,0.001614965,0.001614965,positive
pos51,O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1OCC1CC1,0.001609988,0.001609988,0.001609988,positive
pos52,O=C1CC[C@]23C[C@]24CCC2C(CC[C@@H]2[C@@H]2COC[C@H]5OCO[C@@H]5C2)[C@@H]4CC[C@H]3C1,0.00160673,0.00160673,0.00160673,positive
pos53,C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3C2=C1,0.001595511,0.001595511,0.001595511,positive
pos54,O=C(CCc1ccccc1)C[C@H](CCc1ccccc1)O[C@@H]1OCCC[C@H]1OC(=O)c1ccccc1,0.001594434,0.001594434,0.001594434,positive
pos55,O=C1C=C(c2ccccc2)C(Cc2ccccc2)O1,0.001594189,0.001594189,0.001594189,positive
pos56,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,0.00158985,0.00158985,0.00158985,positive
pos57,O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCOCC4)n3c2)c2ccccc21,0.001586531,0.001586531,0.001586531,positive
pos58,O=C1C[C@H]2CCCCC2[C@H]2CCCC=C12,0.001580941,0.001580941,0.001580941,positive
pos59,O=C1C[C@@H](c2ccc(O[C@H]3CCCCO3)cc2)Oc2ccccc21,0.001578658,0.001578658,0.001578658,positive
pos60,O=C(c1ccccc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,0.001578092,0.001578092,0.001578092,positive
