Mean_Probability,Uncertainty_Std
0.28938003166666665,0.2851699352459141
0.9998409166666667,0.0002190393432442666
0.10499104,0.08488709060202146
0.013102002,0.004816438142270766
0.17941723333333334,0.13154595980178724
0.17325323666666667,0.1183208450616865
0.22516724500000004,0.20192870420221107
0.8403963666666666,0.21356352697940306
0.7371164533333333,0.27887208546447784
0.99995097,6.871028501373205e-05
0.9999908933333334,1.2274378010923607e-05
0.9999994,8.48528137448257e-07
0.9999994,8.48528137448257e-07
0.26281344333333334,0.02144323562083598
0.04700843633333334,0.046629126539513774
0.6245538833333333,0.27206661272126503
0.029884391333333333,0.0018355077102980418
0.15471413133333334,0.09341663903964799
0.0032960019,0.0010596681620958922
0.07810152466666667,0.014242546177912277
0.013510638666666666,0.0016835982806062205
0.06120307343333333,0.0634125974873843
0.9999998066666667,6.599663292834313e-08
0.3569721353333333,0.4326793628139447
0.9664712166666667,0.018777230905023146
0.31269947833333334,0.1698822402447057
0.011286705333333334,0.004454088662863171
0.05117840433333334,0.028107073882063877
0.16244786533333333,0.07255167066358817
0.039726084333333335,0.01766997120437598
0.21534698166666666,0.15088779295989016
0.15420976666666666,0.04031313290375097
0.49445018,0.12728774390602418
0.8718856433333334,0.14920305303115086
0.9827098233333333,0.008038571433724325
0.21743097999999997,0.12010904752451443
0.11373383333333333,0.04539717008734453
0.6905943133333333,0.33808638880192193
0.9969593333333333,0.0027164674442289017
0.40323373,0.02899164409424321
0.014288025666666667,0.005935238885131994
0.9693130666666666,0.007022364322331583
0.07181834766666667,0.06010332292376325
0.19524970733333333,0.17757402636324926
0.21402252033333335,0.2408969945692773
0.9727829433333333,0.027390229895623185
0.047484741999999996,0.03591383213949729
0.03457329533333333,0.01782950576472091
0.03131341233333333,0.006336928675246095
0.9708039466666666,0.0235257860873912
0.9812003366666667,0.009077319602145122
0.040484041000000005,0.012784796902644249
0.022023994666666668,0.012072805723367134
0.035002897,0.016996282153865668
0.021642368666666665,0.01004195966318528
0.017648268766666666,0.020014746036005674
0.017606396666666666,0.0007435403047279206
0.009114274333333333,0.008474012762269414
0.022616153400000002,0.019603493316055393
0.45554812,0.12425481118586704
0.012211926233333332,0.0038394288196703045
0.012211926233333332,0.0038394288196703045
0.118496267,0.07333482610259838
0.10388441999999999,0.055581329374156455
0.02399639956666667,0.013356593440772613
0.029583052999999998,0.0177516663949338
0.019262978333333333,0.0068182011335696825
0.04110355184666667,0.028920375455694862
1.0,0.0
1.0,0.0
0.40057393666666674,0.24498851288597354
0.043767468000000004,0.022473954599002213
0.072673301,0.027006373936863285
0.029552392,0.017306488785927433
0.26685291,0.045168947154135296
0.9984257666666667,0.0009370391394647483
0.8249134300000001,0.0937064668436912
0.9955810766666667,0.005508633912301297
0.43016368999999993,0.3144993167071801
0.09899157000000001,0.0358509652438341
0.12183272666666667,0.03803952933648657
0.5878855366666667,0.1509390286037468
0.5656180833333333,0.20708910031048766
