Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Fingerprint,Run,Seed
0.7673852573018081,0.7672158194714587,0.8381310418904403,0.8453432342383522,0.5344959068610832,0.7634024303073624,0.7596017069701281,0.7748299319727892,0.7614973262032085,ECFP,1,42
0.7628650904033379,0.7631811188202166,0.8392523296658634,0.8481199753590926,0.5263052002704536,0.7476060191518468,0.7773826458036984,0.7489795918367347,0.7622036262203626,ECFP,2,43
0.7621696801112656,0.7619744341548853,0.8387254332743055,0.8485314363203893,0.524042690294283,0.7585959885386819,0.7532005689900427,0.7707482993197279,0.7558886509635975,ECFP,3,44
0.7442014579191517,0.7427656969979668,0.8226077706140795,0.8400227561901026,0.5009576654086109,0.8161829375549692,0.6224010731052985,0.8631303208906352,0.7062404870624048,MACCS,1,42
0.7726971504307488,0.7725224958131237,0.8334231540739745,0.8481245926112,0.5453555131356856,0.7766323024054983,0.7578806170355467,0.7871643745907008,0.7671418873048201,MACCS,2,43
0.7541418157720344,0.7535375975565244,0.8277238194502091,0.8447481866390031,0.5099865046588493,0.7780252412769116,0.7028839704896043,0.8041912246234446,0.7385482734319944,MACCS,3,44
0.7815550319757657,0.7806023377711218,0.8545139071454861,0.8632434992751308,0.5662701609699287,0.8164852255054432,0.7177033492822966,0.843501326259947,0.7639141506002183,RDKIT,1,42
0.7825647929989903,0.7817806059639091,0.8510049387998571,0.8627180878664119,0.5670697868757496,0.8097043214556482,0.7300068352699932,0.833554376657825,0.7677929547088426,RDKIT,2,43
0.7835745540222148,0.782540735126942,0.8532465719398568,0.8607673143846457,0.5710575569054576,0.8228346456692913,0.7142857142857143,0.8507957559681698,0.7647274057811928,RDKIT,3,44
0.6654044750430292,0.6658687817138521,0.7248366292028264,0.7012742224180379,0.33184726883152155,0.6491344873501997,0.6866197183098591,0.6451178451178451,0.6673511293634496,PHYCHEM,1,42
0.6623063683304647,0.6638094560629773,0.725305164319249,0.699896232335661,0.33021165391486224,0.6340867440439829,0.7309859154929578,0.5966329966329966,0.6790971540726202,PHYCHEM,2,43
0.6223752151462995,0.6276959738227343,0.7213019870062123,0.6999569062416513,0.28924795480258775,0.5756440281030445,0.8654929577464788,0.3898989898989899,0.6914205344585092,PHYCHEM,3,44
0.7768037761294673,0.7760806090705671,0.8523595117247904,0.8562778195721175,0.5549791601466824,0.7995495495495496,0.7294520547945206,0.8227091633466136,0.7628939828080229,ESTATE,1,42
0.7784895482130816,0.7781590532845786,0.8572438556277173,0.8632120734489586,0.5569830804234915,0.7853589196872779,0.7568493150684932,0.799468791500664,0.7708405999302407,ESTATE,2,43
0.7832097100472016,0.7828385089777874,0.8555317542614929,0.8594576248191714,0.5665184955209572,0.7919942816297355,0.7589041095890411,0.8067729083665338,0.7750961874781392,ESTATE,3,44
