,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
RDKIT,0.783 ± 0.001,0.782 ± 0.001,0.853 ± 0.001,0.862 ± 0.001,0.568 ± 0.002,0.816 ± 0.005,0.721 ± 0.007,0.843 ± 0.007,0.765 ± 0.002
ESTATE,0.780 ± 0.003,0.779 ± 0.003,0.855 ± 0.002,0.860 ± 0.003,0.559 ± 0.005,0.792 ± 0.006,0.748 ± 0.013,0.810 ± 0.010,0.770 ± 0.005
ECFP,0.764 ± 0.002,0.764 ± 0.002,0.839 ± 0.000,0.847 ± 0.001,0.528 ± 0.004,0.757 ± 0.007,0.763 ± 0.010,0.765 ± 0.011,0.760 ± 0.003
MACCS,0.757 ± 0.012,0.756 ± 0.012,0.828 ± 0.004,0.844 ± 0.003,0.519 ± 0.019,0.790 ± 0.018,0.694 ± 0.056,0.818 ± 0.033,0.737 ± 0.025
PHYCHEM,0.650 ± 0.020,0.652 ± 0.018,0.724 ± 0.002,0.700 ± 0.001,0.317 ± 0.020,0.620 ± 0.032,0.761 ± 0.076,0.544 ± 0.111,0.679 ± 0.010
