Unnamed: 0,np_id,InChI,InChIKey,canonical_smiles,lipinski_rule_of_five_violations,sa_score
705,NPC83723,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3",SYBYTAAJFKOIEJ-UHFFFAOYSA-N,CC(=O)C(C)C,0,1.8307068796471082
723,NPC181124,"InChI=1S/C16H12O4/c1-19-12-6-7-13-15(8-12)20-9-14(16(13)18)10-2-4-11(17)5-3-10/h2-9,17H,1H3",LNIQZRIHAMVRJA-UHFFFAOYSA-N,COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,0,1.9569554715047968
897,NPC279533,"InChI=1S/C12H13NO3/c1-13-5-4-8-6-10(15-2)11(16-3)7-9(8)12(13)14/h4-7H,1-3H3",HCHLTWGUUUDWFP-UHFFFAOYSA-N,COc1cc2ccn(C)c(=O)c2cc1OC,0,1.986278894928752
998,NPC11150,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,0,1.0
1005,NPC100108,"InChI=1S/C13H14O3/c1-8-6-9-11(15-2)4-5-12(16-3)13(9)10(14)7-8/h4-7,14H,1-3H3",MNKGODVTPDJAHN-UHFFFAOYSA-N,COc1ccc(OC)c2c(O)cc(C)cc12,0,1.9532589648588203
1051,NPC26253,"InChI=1S/C20H40O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(22)23-19-18-21/h21H,2-19H2,1H3",RFVNOJDQRGSOEL-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCCO,1,1.9698159967500573
1090,NPC320358,"InChI=1S/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h2,12H,1,3-11H2",GIEMHYCMBGELGY-UHFFFAOYSA-N,C=CCCCCCCCCCO,0,1.9854669007743517
1200,NPC173295,"InChI=1S/C9H11NO2/c1-10-8-6-4-3-5-7(8)9(11)12-2/h3-6,10H,1-2H3",GVOWHGSUZUUUDR-UHFFFAOYSA-N,CNc1ccccc1C(=O)OC,0,1.5586646383309155
1229,NPC117237,"InChI=1S/C8H8O3/c1-11-8-3-2-6(5-9)4-7(8)10/h2-5,10H,1H3",JVTZFYYHCGSXJV-UHFFFAOYSA-N,COc1ccc(C=O)cc1O,0,1.8734941824510756
1355,NPC284635,"InChI=1S/C15H10N2/c1-3-7-12-10(5-1)9-14-15(17-12)11-6-2-4-8-13(11)16-14/h1-9,16H",QOAKRWLMTKEDDL-UHFFFAOYSA-N,c1ccc2nc3c(cc2c1)[nH]c1ccccc13,0,1.8540095682658961
1419,NPC102722,"InChI=1S/C11H22O2/c1-9(2)5-6-11(12)13-8-7-10(3)4/h9-10H,5-8H2,1-4H3",XGGPQUVMPUGUIC-UHFFFAOYSA-N,CC(C)CCOC(=O)CCC(C)C,0,1.9434035509138017
1435,NPC324788,"InChI=1S/C14H10O2/c15-12-8-7-10-6-5-9-3-1-2-4-11(9)13(10)14(12)16/h1-8,15-16H",RLZZZVKAURTHCP-UHFFFAOYSA-N,Oc1ccc2ccc3ccccc3c2c1O,0,1.8942718867195687
1486,NPC257388,"InChI=1S/C16H33ClO2S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20(17,18)19/h2-16H2,1H3",YOSVFFVBSPQTTP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCS(=O)(=O)Cl,1,1.9680815922437116
