,canonical_smiles
13658,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)[C@@H](N)CCC4)cc2)CC1
3889,O=C1C=C(N2CCOCC2)c2ccccc2C1=O
2886,Cc1cc(C)c(C(N)=O)c(Nc2cccc3ccccc23)n1
11385,O=C(O)c1ccc(NC(=S)Nc2ccc3c(c2)CCN3Cc2ccc(F)cc2)cc1
11991,Fc1ccc(CN2CCc3cc(NC(=S)Nc4ccccc4)ccc32)cc1
5441,CO/N=C/C(=N\Nc1ccc(OC)cc1)C(=O)c1ccc(OC)cc1
7526,CCOC(=O)c1ccc(COC(=O)CCc2nc3ccccc3[nH]c2=O)o1
6887,COc1ccc(-c2nnc(SCC(=O)OC3CCCCC3)o2)cc1OC
6262,O=C(Cn1nnc2c(cnn2-c2ccccc2)c1=O)NCc1cccs1
11046,Cc1noc(C)c1C(=O)OCC(=O)NCCc1ccc(Cl)cc1
14684,C=C1CC[C@@H](O)C(C)(C)[C@H]1CC/C(C)=C/COc1ccc2ccc(=O)oc2c1
3086,O=C(Nc1cccc(Cl)c1N1CCCCC1)c1ccc(N2CCOCC2)c([N+](=O)[O-])c1
14877,CC(C)=CCC/C(C)=C/[C@@H]1CC(C)=C[C@]2(C=C(CO)[C@H]3CC(=O)C(C)=C[C@H]3O2)O1
8813,Cc1nn(-c2ccccc2)c(Cl)c1C1C(C#N)=C(N)OC2=C1C(=O)CC(C)(C)C2
14441,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)N[C@H]2CC[C@@H](Oc3ccc4nnc(N5CCN(C)CC5)n4c3)c3ccccc32)cc1
12902,N#Cc1cc2c(nc1SCC(=O)Nc1sc3c(c1C#N)CCC3)CCC2
7243,Cc1nnc(SCCc2ccccc2)[nH]c1=O
3298,CC(=O)Nc1ccc(NC(=O)COC(=O)c2c3c(nc4ccccc24)CCN(Cc2ccccc2)C3)cc1
3309,O=C(COC(=O)c1c2c(nc3ccccc13)CCN(Cc1ccccc1)C2)Nc1c(F)cccc1F
3316,Cc1c(Cl)cccc1NC(=O)COC(=O)c1c2c(nc3ccccc13)CCN(Cc1ccccc1)C2
3319,CC(C)c1ccccc1NC(=O)COC(=O)c1c2c(nc3ccccc13)CCN(Cc1ccccc1)C2
5352,CC(C)(C)c1cc(C(c2cccnc2)N2CCN(CCO)CC2)cc(C(C)(C)C)c1O
