Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Fingerprint,Run,Seed
0.7856230031948882,0.7844248221731666,0.8587212819883902,0.8565432755656639,0.5707214051758281,0.7939733707077785,0.7503311258278146,0.8185185185185185,0.7715355805243446,ECFP,1,42
0.7827476038338658,0.7814446897228354,0.8555073174719974,0.8517103800048651,0.5650398003960404,0.7926657263751763,0.7443708609271523,0.8185185185185185,0.76775956284153,ECFP,2,43
0.7859424920127795,0.7846660125909575,0.8579216744338158,0.8547018353178885,0.5714383291763967,0.795774647887324,0.7483443708609272,0.8209876543209876,0.7713310580204779,ECFP,3,44
0.7769968051118211,0.7754844248221732,0.8470231379282153,0.8399686465042514,0.5537145774380569,0.79,0.7324503311258278,0.8185185185185185,0.7601374570446735,ESTATE,1,42
0.7741214057507987,0.7729539694219606,0.8466237429482464,0.8393712885414354,0.5475816482283203,0.7805730258560447,0.7397350993377484,0.8061728395061728,0.75960557633458,ESTATE,2,43
0.7782747603833866,0.7770112828059847,0.8501118060665522,0.8426516552570442,0.5560062886627711,0.7869198312236287,0.7410596026490066,0.812962962962963,0.7633015006821282,ESTATE,3,44
0.778594249201278,0.77711757010874,0.8572089363093779,0.8557983770142769,0.5568843774037698,0.7911617961511048,0.7350993377483444,0.8191358024691358,0.7621009268795057,MACCS,1,42
0.7801916932907348,0.7785708445752596,0.8547193606409942,0.8533289728512737,0.5603115994190236,0.7956834532374101,0.7324503311258278,0.8246913580246914,0.7627586206896552,MACCS,2,43
0.7776357827476038,0.7760792249202846,0.8533527512059521,0.8518897184984122,0.5550632163459414,0.7915472779369628,0.7317880794701986,0.8203703703703704,0.760495526496903,MACCS,3,44
0.7111821086261981,0.7101729212656365,0.7782464639031969,0.7642102917929166,0.4211855381741505,0.7086776859504132,0.6814569536423841,0.7388888888888889,0.6948008102633356,PHYCHEM,1,42
0.7063897763578275,0.7055882593410188,0.7758222958057395,0.7639559366193767,0.41166576979654507,0.7008837525492863,0.6827814569536423,0.7283950617283951,0.6917141898691714,PHYCHEM,2,43
0.7054313099041534,0.7046623334150928,0.7782125337257788,0.7676750350794501,0.4097651221529442,0.6994572591587517,0.6827814569536423,0.7265432098765432,0.6910187667560321,PHYCHEM,3,44
0.7881789137380192,0.7868939579756357,0.8641341672798627,0.8616031013752802,0.5759452171911034,0.7984496124031008,0.7503311258278146,0.8234567901234567,0.7736428815295323,RDKIT,1,42
0.7821086261980831,0.7807599542147003,0.8655334805003679,0.8630551400001236,0.5638035330250569,0.7927864214992928,0.7423841059602649,0.8191358024691358,0.7667578659370725,RDKIT,2,43
0.7894568690095847,0.7882859128444117,0.8661029351647455,0.8657978789380032,0.5784037851689089,0.7977606717984604,0.7549668874172185,0.821604938271605,0.7757740728138822,RDKIT,3,44
