Model,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
XGB_ECFP,0.782 ± 0.001,0.781 ± 0.002,0.857 ± 0.000,0.851 ± 0.002,0.563 ± 0.003,0.790 ± 0.002,0.746 ± 0.007,0.815 ± 0.004,0.767 ± 0.003
XGB_MACCS,0.778 ± 0.000,0.776 ± 0.000,0.854 ± 0.001,0.852 ± 0.001,0.556 ± 0.001,0.794 ± 0.004,0.729 ± 0.005,0.824 ± 0.006,0.760 ± 0.001
XGB_RDKIT,0.787 ± 0.004,0.785 ± 0.004,0.867 ± 0.001,0.866 ± 0.000,0.573 ± 0.007,0.800 ± 0.006,0.744 ± 0.004,0.827 ± 0.006,0.771 ± 0.004
XGB_PHYCHEM,0.711 ± 0.002,0.710 ± 0.002,0.778 ± 0.001,0.767 ± 0.000,0.422 ± 0.004,0.709 ± 0.005,0.681 ± 0.005,0.740 ± 0.008,0.695 ± 0.001
XGB_ESTATE,0.781 ± 0.004,0.780 ± 0.004,0.852 ± 0.001,0.846 ± 0.001,0.562 ± 0.009,0.789 ± 0.005,0.745 ± 0.003,0.815 ± 0.005,0.766 ± 0.004
