,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.744 ± 0.004,0.743 ± 0.003,0.813 ± 0.001,0.806 ± 0.003,0.487 ± 0.007,0.741 ± 0.010,0.721 ± 0.011,0.765 ± 0.016,0.731 ± 0.002
ESTATE,0.756 ± 0.004,0.755 ± 0.005,0.825 ± 0.003,0.814 ± 0.003,0.511 ± 0.009,0.759 ± 0.005,0.724 ± 0.014,0.786 ± 0.009,0.741 ± 0.007
MACCS,0.735 ± 0.003,0.732 ± 0.005,0.806 ± 0.003,0.799 ± 0.002,0.476 ± 0.002,0.779 ± 0.024,0.634 ± 0.044,0.830 ± 0.034,0.697 ± 0.017
PHYCHEM,0.658 ± 0.006,0.655 ± 0.007,0.720 ± 0.004,0.697 ± 0.009,0.317 ± 0.009,0.670 ± 0.025,0.582 ± 0.075,0.728 ± 0.064,0.618 ± 0.034
RDKIT,0.744 ± 0.006,0.741 ± 0.008,0.821 ± 0.006,0.810 ± 0.006,0.493 ± 0.008,0.779 ± 0.035,0.662 ± 0.063,0.820 ± 0.049,0.712 ± 0.024
