Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Fingerprint,Run,Seed
0.7811501597444089,0.7798565121412804,0.8563784645572725,0.8486652066520777,0.5618174073963687,0.7906976744186046,0.743046357615894,0.8166666666666667,0.7661317855923523,ECFP,1,42
0.7837060702875399,0.7827528411413621,0.8573182895920204,0.8503169548212646,0.5667152567488987,0.7874396135265701,0.7556291390728477,0.8098765432098766,0.7712064886786076,ECFP,2,43
0.7805111821086262,0.7791492927806394,0.857344861417709,0.8536442171811198,0.5606041133249686,0.7912243453644727,0.7403973509933774,0.8179012345679012,0.7649674991447143,ECFP,3,44
0.7773162939297125,0.7759054860600114,0.8524022974409288,0.8505335457007767,0.5542304476714136,0.7885024840312278,0.7357615894039735,0.8160493827160494,0.7612195957519698,MACCS,1,42
0.7782747603833866,0.7765616057558662,0.8550463984956259,0.8529291252929454,0.5565999064835332,0.7952243125904487,0.7278145695364239,0.8253086419753086,0.760027662517289,MACCS,2,43
0.7782747603833866,0.7764042187883247,0.8531262774916197,0.8520267034500573,0.5568966985751014,0.7982456140350878,0.7231788079470198,0.8296296296296296,0.7588603196664351,MACCS,3,44
0.7830670926517572,0.7815734608780966,0.8676972447060748,0.8659502023588876,0.5659149032976947,0.7965738758029979,0.7390728476821192,0.8240740740740741,0.7667468223978015,RDKIT,1,42
0.7916932907348243,0.7901091488839833,0.868857820292699,0.8659729579678749,0.5834355630565308,0.8081896551724138,0.7450331125827815,0.8351851851851851,0.7753273604410751,RDKIT,2,43
0.7856230031948882,0.7843348867631428,0.8656675660207668,0.865604150777632,0.5708078318111999,0.795630725863284,0.747682119205298,0.8209876543209876,0.7709115739160123,RDKIT,3,44
0.7089456869009585,0.7081698144060176,0.7786060011446325,0.7676353124066817,0.4168032569808592,0.703326544467074,0.686092715231788,0.730246913580247,0.6946027489104928,PHYCHEM,1,42
0.7134185303514377,0.7120860927152317,0.7769358597007604,0.7669441937530194,0.4256659948464698,0.7153900210822206,0.6741721854304635,0.75,0.6941697920218206,PHYCHEM,2,43
0.7118210862619808,0.7108576567737716,0.7787709508625622,0.7678036552842022,0.42248076243009036,0.7087912087912088,0.6834437086092715,0.7382716049382716,0.6958867161159811,PHYCHEM,3,44
0.7837060702875399,0.7824380672062792,0.8529838116261957,0.8474854720766364,0.5669322167452575,0.7931034482758621,0.7463576158940397,0.8185185185185185,0.7690208120095531,ESTATE,1,42
0.7750798722044728,0.7739023792003925,0.8504891259913336,0.8454052266085037,0.549514683770045,0.7818181818181819,0.7403973509933774,0.8074074074074075,0.7605442176870748,ESTATE,2,43
0.7843450479233227,0.7831003188619083,0.8519885945548197,0.8462120873814131,0.568194629487143,0.7933942375263527,0.747682119205298,0.8185185185185185,0.7698602113876577,ESTATE,3,44
