Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Fingerprint,Run,Seed
0.7977635782747604,0.7969626359251083,0.8713359496361703,0.8706920139581289,0.5948733452698813,0.8001368925393566,0.7741721854304636,0.8197530864197531,0.7869404240996297,ECFP,1,42
0.7980830670926518,0.7971138909328754,0.870434755948001,0.8695254356145694,0.5955849889596649,0.8035961272475796,0.7695364238410596,0.8246913580246914,0.7861975642760487,ECFP,2,43
0.8003194888178914,0.799274384760036,0.8706816695282479,0.8704616665567784,0.6001272157861564,0.8075052119527449,0.7695364238410596,0.8290123456790124,0.7880637504238724,ECFP,3,44
0.7798722044728434,0.7784870411250102,0.8485078897882429,0.8453934877151195,0.559344693461749,0.7909284195605953,0.7390728476821192,0.8179012345679012,0.7641218760698391,ESTATE,1,42
0.7808306709265176,0.7793904831984302,0.8473168588014062,0.8461804321051432,0.5613403928870392,0.7930298719772404,0.7384105960264901,0.8203703703703704,0.7647462277091907,ESTATE,2,43
0.7824281150159744,0.7810236284849972,0.8485704357779413,0.8458517672960526,0.5645116146317143,0.794180269694819,0.7410596026490066,0.8209876543209876,0.7667009249743063,ESTATE,3,44
0.7766773162939297,0.7746361703867223,0.8503634208159595,0.8437003959804854,0.5540399723199729,0.7997043606799704,0.7165562913907285,0.832716049382716,0.7558505064617534,MACCS,1,42
0.7782747603833866,0.776314283378301,0.8512490802060337,0.8445868362716278,0.5570872571380286,0.8,0.7205298013245033,0.8320987654320988,0.7581881533101046,MACCS,2,43
0.7792332268370608,0.7773076608617449,0.8496126645409205,0.843054524574101,0.5589483023112264,0.8004402054292002,0.7225165562913908,0.8320987654320988,0.7594848590323704,MACCS,3,44
0.7070287539936102,0.7060031886190826,0.7678865178644427,0.7574276520776104,0.4128486463234402,0.70434183321847,0.6768211920529801,0.7351851851851852,0.6903073286052009,PHYCHEM,1,42
0.6990415335463259,0.6979723653012837,0.7648933038999264,0.7540801360069356,0.39681060628674625,0.6961325966850829,0.6675496688741722,0.7283950617283951,0.6815415821501014,PHYCHEM,2,43
0.7012779552715654,0.7002902460959857,0.765626890687597,0.7540625822592368,0.4013256099303815,0.697594501718213,0.6721854304635762,0.7283950617283951,0.684654300168634,PHYCHEM,3,44
0.7821086261980831,0.7797706647044396,0.8578072111846947,0.8526942766977982,0.565832804880586,0.8122171945701357,0.7132450331125828,0.8462962962962963,0.7595204513399154,RDKIT,1,42
0.7830670926517572,0.7809214291554247,0.8612315019213475,0.857007000484183,0.5672317908667037,0.8093819806403574,0.7198675496688741,0.8419753086419753,0.7620049071153172,RDKIT,2,43
0.7865814696485623,0.7846087809663969,0.862291104570354,0.8578208500439425,0.57390832948042,0.8100147275405007,0.7284768211920529,0.8407407407407408,0.7670850767085077,RDKIT,3,44
