ID,scaffold_smiles,mean_shap,effect,tsne_x,tsne_y
Train: Pos 43,O=C(OC1CCC2C(CCC3C4CCC5(C(=O)OC6CCCCO6)CCCCC5C4=CCC23)C1)c1ccccc1,0.00205271,positive,14.16715,47.638035
Train: Pos 44,O=C1CCC(c2ccc(OCCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.002049915,positive,-12.496233,57.847954
Train: Pos 45,C(=Cc1ccccc1)COCC1CCCC(Oc2ccccc2)O1,0.002040881,positive,22.437042,22.846514
Train: Pos 46,O=C(C=CC=Cc1ccccc1)CCc1ccccc1,0.002035028,positive,20.320267,-11.440973
Train: Pos 47,C1=CC2CCC3C(CCC4CC(OC5CCCCO5)CC(OC5OCCCC5OC5CCCCO5)C43)C2C1,0.002032521,positive,19.414906,33.627567
Train: Pos 48,O=C1CCCC2CCC3=CCCCC3C12,0.002030988,positive,9.975363,27.202562
Train: Pos 49,O=C(C=Cc1ccccc1)c1ccc2c(c1)CCCO2,0.00202214,positive,18.328455,-7.197045
Train: Pos 50,c1ccc(CCCCC(CCc2ccccc2)OC2CCCCO2)cc1,0.002020789,positive,28.054802,-3.7473717
Train: Pos 51,O=C1C=COC(c2ccccc2)C1c1ccc(C=Cc2ccccc2)oc1=O,0.002019216,positive,17.657312,-1.1404455
Train: Pos 52,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C12,0.002019061,positive,17.0144,36.036808
Train: Pos 53,O=C(C=Cc1ccccc1)CC(=O)CCc1ccccc1,0.002009146,positive,21.761602,-10.516356
Train: Pos 54,O=C1CC=C2CC3CCC4(CCCO4)C3CCC=C12,0.001992217,positive,1.5116742,24.679636
Train: Pos 55,C(=Cc1ccccc1OC1CCCCO1)c1ccccc1,0.001987065,positive,25.797876,23.943558
Train: Pos 56,C1CCC2C3=C(CCC2C1)C1CCCC1CC3,0.001972569,positive,6.7008214,28.53079
Train: Pos 57,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0.001972143,positive,7.335968,38.367584
Train: Pos 58,O=C1C=C(CCC2CCCC3CCCCC32)CO1,0.001971511,positive,6.4704413,30.963535
Train: Pos 59,O=C1NC2CCC3CC4CCCC4CC=C1C32,0.001962601,positive,4.718624,41.579147
Train: Pos 60,O=C1C2C3CCCC3CCC2C2CCCCC23OC13,0.001962134,positive,4.662939,23.520493
Train: Pos 61,C1=C2CCCC3OC4(CCC5CCCC5=C4C1)OC23,0.00195958,positive,-1.7819906,24.027601
Train: Pos 62,O=C1CCC2CC3CCC4(CCCO4)C3CCC=C12,0.001959268,positive,2.5360208,25.18823
Train: Pos 63,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C12,0.001959052,positive,16.902699,35.81153
Train: Pos 64,O=C1CCC(c2cccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)c2)=NN1,0.001958605,positive,-11.581266,58.381393
Train: Pos 65,O=C1C=CC2C(CCC3C4=CCC5CCC(COC(=O)C=Cc6ccccc6)CC5C4CCC32)C1,0.001954824,positive,24.435143,-6.5784254
Train: Pos 66,O=C1C=CCC(CC2CCC3C2CCC2C3CCC3C=CCC(=O)C32)O1,0.001952417,positive,-5.1874228,39.557762
Train: Pos 67,O=C(Nc1ccnn1-c1cnn(CCN2CCCCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001951058,positive,72.94547,-2.699848
Train: Pos 68,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.001950635,positive,25.375174,27.981958
Train: Pos 69,O=C1CC(c2ccoc2)C2CC(=O)C3C(CCC4C5CCCC43COC5)C12,0.001950448,positive,9.566594,17.405907
Train: Pos 70,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C2C1,0.001939513,positive,16.122847,34.72636
Train: Pos 71,O=C1C=CC2=CC3CCC4(CCCO4)C3CCCC12,0.001938323,positive,0.33478796,26.040386
Train: Pos 72,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)NCCC(CNS(=O)(=O)c1ccccc1)O2,0.001937523,positive,21.844442,-52.995033
Train: Pos 73,O=c1ccc(C2CCC3C2CCC2C4CCC(OC5CCCCO5)C=C4CCC23)co1,0.001935396,positive,11.695337,18.491776
Train: Pos 74,O=C(C=Cc1ccccc1)CCCCc1ccccc1,0.001923993,positive,22.015982,-10.230658
Train: Pos 75,O=C1CCC23CC24CCC2C(C5CCCCOC5)CCC2C4CCC3C1,0.001918777,positive,15.887575,27.471903
Train: Pos 76,O=C(C=Cc1ccc2c(c1)OCO2)c1ccccc1,0.001915526,positive,16.153688,-7.159762
Train: Pos 77,O=C(OCC1CCCC2C1CCC1C3CCC4(C(=O)OC5CCCCO5)CCCCC4C3=CCC12)c1ccccc1,0.001912068,positive,14.17841,47.67734
Train: Pos 78,O=C(CCc1ccccc1)CC(CCc1ccccc1)OC1CCCCO1,0.00191,positive,27.914415,-4.025846
Train: Pos 79,C=C1C(=O)OC2CC(=C)C3CCC(=C)C3CC12,0.001906829,positive,-0.29653516,42.723854
Train: Pos 80,C=C1C(=O)OC2CC=CC(=O)CC=CCC12,0.001904286,positive,-0.7988828,35.823044
Train: Pos 81,O=C(C=Cc1ccccc1)OC1CCC2COC3C4OC5CC(C6=CCOC6=O)C=C5C4CC1C23,0.00189969,positive,30.641018,-11.082015
Train: Pos 82,O=C(OC1CCCCO1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,0.001888334,positive,12.747385,32.216118
Train: Pos 83,O=C1CCC(c2ccc(OCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001879719,positive,-12.417533,57.554565
Train: Pos 84,O=C1CNCC2C(c3ccc(C=Cc4ccccc4)cc3)CN12,0.001876856,positive,36.617485,-10.56641
Train: Pos 85,O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cccc12,0.001875395,positive,-21.509605,22.961193
Train: Pos 86,C1=CC2CCCC2CC2CCCC2C1,0.001874771,positive,7.0070624,21.490492
Train: Pos 87,O=C1CC2CCCCC2C2CCCC=C12,0.001864551,positive,12.051042,24.674221
Train: Pos 88,O=C(C=Cc1ccccc1)OC1CCC2COC3C4OC5CC(c6ccoc6)C=C5C4CC1C23,0.00185909,positive,30.664518,-11.452749
Train: Pos 89,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,0.001858843,positive,4.1489496,12.3252325
Train: Pos 90,O=C(Nc1ccnn1-c1cccc(OCCN2CCNCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001850344,positive,72.14175,-3.654029
Train: Pos 91,O=C1NCCC(CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,0.001848642,positive,49.7075,-11.305584
Train: Pos 92,C1=CC2CCCCC2C2CCC3CCCC3=C12,0.001848304,positive,10.12912,22.514387
Train: Pos 93,O=C1C=CCC(CC2CCC3C2CCC2C3CC3OC34CC=CC(=O)C24)O1,0.001844033,positive,-6.1261673,39.662148
Train: Pos 94,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,0.001832985,positive,14.160891,47.62413
Train: Pos 95,O=C(Nc1ccc2c(c1)C(=O)NCCC(CNCc1ccccc1)OCCCCCO2)Nc1cccc2ccccc12,0.001831114,positive,51.37834,-23.297165
Train: Pos 96,C1=C2C3CCCC3CCC2C2CCCCC2C1,0.001828748,positive,14.339248,39.390087
Train: Pos 97,O=C1CCC2C(CC=C3C2CCC2C3CCC2C2CCCOC2)C1,0.001826805,positive,14.356173,38.520103
Train: Pos 98,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2,0.001826613,positive,23.414831,24.610094
Train: Pos 99,C=C1CCC2CC2=CCC(=O)C2CCC(OC(=O)C=Cc3ccccc3)C2C1,0.001826008,positive,53.516113,-16.643578
Train: Pos 100,C=C1CCCC2CC3OC(=O)C(=C)C3CC12,0.001823124,positive,-1.6115717,42.00592
Train: Pos 101,O=C1CCC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001814994,positive,-12.499113,57.982727
Train: Pos 102,O=C1C=C(C2CC=C3C2CCC2C3CC3OCC4CCCC2C43)CO1,0.001811857,positive,7.2565136,18.081137
Train: Pos 103,O=C1CCC2C(CCC3C4CC(=O)C5CCCCC5C4=CCC23)C1,0.001811385,positive,8.084543,26.400414
Train: Pos 104,O=C1C=C2CCCCC2C2CCC3CCC=C3C12,0.001807647,positive,8.334101,18.546333
Train: Pos 105,c1ccc(C2Cc3c(ccc4c3CCc3ccccc3-4)O2)cc1,0.001802183,positive,16.152517,15.744114
Train: Pos 106,O=C1CC2CCCC2C2CC=C3CCCCC3C12,0.001798722,positive,3.5708127,33.565517
Train: Pos 107,O=C(C=Cc1ccccc1)c1c[nH]c2ccccc12,0.001798228,positive,20.962763,-6.9613934
Train: Pos 108,O=C1C=C2C(C1)OC1C2CC2C(OC(=O)C=Cc3ccccc3)CCC3COC1C32,0.001795133,positive,30.625854,-10.9649
Train: Pos 109,C1=C2C(CC1c1ccoc1)OC1C2CC2CCCC3COC1C32,0.001795053,positive,19.331436,26.157516
Train: Pos 110,O=C1C=C2CCCCC2C2CCC3CCCC3C12,0.001793655,positive,7.7387657,32.6391
Train: Pos 111,O=C1CCC23CC24CCC2C(C5CCCOC5)CCC2C4CCC3C1,0.001793546,positive,15.876598,27.449146
