ID,scaffold_smiles,mean_shap,effect,umap_x,umap_y
Train: Pos 42,c1ccc(C2CC(c3cccc4c3OC(c3ccccc3)CC4)c3ccccc3O2)cc1,0.002077396,positive,-2.895095,-7.003584
Train: Pos 43,O=C(OC1CCC2C(CCC3C4CCC5(C(=O)OC6CCCCO6)CCCCC5C4=CCC23)C1)c1ccccc1,0.00205271,positive,-4.5404873,-6.0658827
Train: Pos 44,O=C1CCC(c2ccc(OCCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.002049915,positive,-6.398215,-6.0561686
Train: Pos 45,C(=Cc1ccccc1)COCC1CCCC(Oc2ccccc2)O1,0.002040881,positive,-2.7339354,-7.268272
Train: Pos 46,O=C(C=CC=Cc1ccccc1)CCc1ccccc1,0.002035028,positive,-0.46878368,-8.939991
Train: Pos 47,C1=CC2CCC3C(CCC4CC(OC5CCCCO5)CC(OC5OCCCC5OC5CCCCO5)C43)C2C1,0.002032521,positive,-4.692915,-6.5273595
Train: Pos 48,O=C1CCCC2CCC3=CCCCC3C12,0.002030988,positive,-4.342397,-7.1762266
Train: Pos 49,O=C(C=Cc1ccccc1)c1ccc2c(c1)CCCO2,0.00202214,positive,-0.085002124,-9.370418
Train: Pos 50,c1ccc(CCCCC(CCc2ccccc2)OC2CCCCO2)cc1,0.002020789,positive,-1.3330956,-7.9881587
Train: Pos 51,O=C1C=COC(c2ccccc2)C1c1ccc(C=Cc2ccccc2)oc1=O,0.002019216,positive,-2.631025,-7.7622523
Train: Pos 52,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C12,0.002019061,positive,-4.9292088,-6.8782096
Train: Pos 53,O=C(C=Cc1ccccc1)CC(=O)CCc1ccccc1,0.002009146,positive,-0.17198545,-9.045437
Train: Pos 54,O=C1CC=C2CC3CCC4(CCCO4)C3CCC=C12,0.001992217,positive,-4.337296,-7.319125
Train: Pos 55,C(=Cc1ccccc1OC1CCCCO1)c1ccccc1,0.001987065,positive,-3.638622,-6.670744
Train: Pos 56,C1CCC2C3=C(CCC2C1)C1CCCC1CC3,0.001972569,positive,-4.97499,-6.829662
Train: Pos 57,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0.001972143,positive,-4.873215,-6.326059
Train: Pos 58,O=C1C=C(CCC2CCCC3CCCCC32)CO1,0.001971511,positive,-4.87073,-6.880353
Train: Pos 59,O=C1NC2CCC3CC4CCCC4CC=C1C32,0.001962601,positive,-4.2161717,-7.5122156
Train: Pos 60,O=C1C2C3CCCC3CCC2C2CCCCC23OC13,0.001962134,positive,-4.251746,-7.1602674
Train: Pos 61,C1=C2CCCC3OC4(CCC5CCCC5=C4C1)OC23,0.00195958,positive,-3.8681972,-7.4757457
Train: Pos 62,O=C1CCC2CC3CCC4(CCCO4)C3CCC=C12,0.001959268,positive,-4.3393483,-7.3402534
Train: Pos 63,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C12,0.001959052,positive,-5.0212145,-6.7737737
Train: Pos 64,O=C1CCC(c2cccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)c2)=NN1,0.001958605,positive,-6.396807,-6.055267
Train: Pos 65,O=C1C=CC2C(CCC3C4=CCC5CCC(COC(=O)C=Cc6ccccc6)CC5C4CCC32)C1,0.001954824,positive,0.00018532414,-9.270748
Train: Pos 66,O=C1C=CCC(CC2CCC3C2CCC2C3CCC3C=CCC(=O)C32)O1,0.001952417,positive,-4.2187996,-7.5761685
Train: Pos 67,O=C(Nc1ccnn1-c1cnn(CCN2CCCCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001951058,positive,0.23899533,4.637428
Train: Pos 68,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.001950635,positive,-3.250637,-7.070041
Train: Pos 69,O=C1CC(c2ccoc2)C2CC(=O)C3C(CCC4C5CCCC43COC5)C12,0.001950448,positive,-3.895563,-7.401841
Train: Pos 70,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C2C1,0.001939513,positive,-5.1446505,-6.580227
Train: Pos 71,O=C1C=CC2=CC3CCC4(CCCO4)C3CCCC12,0.001938323,positive,-4.572773,-7.1271415
Train: Pos 72,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)NCCC(CNS(=O)(=O)c1ccccc1)O2,0.001937523,positive,-0.41173032,-5.710471
Train: Pos 73,O=c1ccc(C2CCC3C2CCC2C4CCC(OC5CCCCO5)C=C4CCC23)co1,0.001935396,positive,-4.1582165,-7.219297
Train: Pos 74,O=C(C=Cc1ccccc1)CCCCc1ccccc1,0.001923993,positive,-0.17746212,-9.145973
