Index,canonical_smiles
13872,COc1ccccc1CNC(=O)COC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1
427,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl
207,COc1cc(NC(=O)Nc2cccc(C(C)=O)c2)cc(OC)c1OC
1338,CC(=O)c1ccc(NC(=O)Nc2ccc([N+](=O)[O-])cc2C)cc1
2369,O=C(Nc1ccc(OC(F)F)cc1)Nc1cccc(C(F)(F)F)c1
2515,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccc(OC(F)F)c(Cl)c1
2701,O=C(Nc1cccc(Cl)c1)Nc1ccc(Br)cc1F
4884,COc1ccc(C)cc1NC(=O)Nc1ccccc1
10110,NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)N2CCCCC2)cc1
10940,COc1cccc(NC(=O)N2CCC(C(=O)Nc3ccc(C)cc3C)CC2)c1
14217,O=C(NS(=O)(=O)c1ccccc1)c1cccnc1
14238,Cc1ccc(S(=O)(=O)NC(=O)c2cccnc2)cc1
14247,O=C(NS(=O)(=O)c1ccc(F)cc1)c1cccnc1
14636,O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cccnc1
14706,O=C(NS(=O)(=O)c1ccc(Br)cc1)c1cccnc1
1426,O=C(NN=C1CCN(Cc2ccccc2)CC1)c1ccccc1
10022,c1ccc(CSc2nnc(-c3cccs3)o2)cc1
9313,COC(=O)c1ccc(NC(=O)Cn2nnc3ccccc32)cc1
9699,COC(=O)c1cccc(NC(=O)Cn2nnc3ccccc32)c1
9634,c1ccc2c(-n3cnnn3)cccc2c1
8616,Cc1ccc(CNC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1
15909,CCOc1cc(-c2ccccc2)nc(N)n1
11301,O=C(Nc1ccc2nn(-c3ccccc3)nc2c1)c1cccnc1
1574,Cc1cccc(NC(=O)CN2CCN(CC(=O)Nc3cccc(C)c3)CC2)c1
15171,COc1ccc(NC(=O)CN2CCN(CC(=O)Nc3ccccc3F)CC2)cc1OC
15177,CCOc1ccc(NC(=O)CN2CCN(CC(=O)Nc3ccc(F)c(F)c3)CC2)cc1
