Name,y_label,canonical_smiles
ajugapantins F,1,C/C=C/C(=O)O[C@@H](C[C@@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@]2(COC(C)=O)[C@@H]1[C@H](O)CC[C@]21CO1)C1=CC(=O)OC1
Isoelemicin,0,C/C=C/c1cc(OC)c(OC)c(OC)c1
Methylisoeugenol,0,C/C=C/c1ccc(OC)c(OC)c1
Brevipetin D,1,C/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)O[C@@H]3[C@H]2O)c(O)c1.OCC1O[C@H](O)C(O)[C@@H](O)[C@H]1O
Brevipetin C,1,C/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)O[C@@H]3[C@H]2O)cc1.OCC1O[C@H](O)C(O)[C@@H](O)[C@H]1O
Brevipetin F,1,C/C=C/c1ccc(O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@@H]4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@H]3O)[C@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)O[C@@H]3[C@H]2O)cc1.C[C@@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.OCC1O[C@H](O)C(O)[C@@H](O)[C@H]1O
brevipetin A,1,C/C=C/c1ccc(O[C@@H]2O[C@H](O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1.OCC1O[C@H](O)C(O)[C@@H](O)[C@H]1O
Megaritolactonol,1,C/C=C1/COC(=O)C[C@@H]1CCO
Guggulsterone,1,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
Trilinolein,1,C/C=C\C/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC
garciniacowone I,1,C/C=C\CC/C(C)=C/CC/C(C)=C/CCC(C)(O)CCc1c(O)c(O)cc2oc3cc(O)c(O)cc3c(=O)c12
Dehydroisoderricin,1,C=C(C)/C=C/c1c(OC)ccc2c1O[C@H](c1ccccc1)CC2=O
Trans-dehydroosthol,1,C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12
"5,7-Dimethoxy-8-[(z)-3-methylbut-1,3-dienyl]-coumarin",1,C=C(C)/C=C\c1c(OC)cc(OC)c2ccc(=O)oc12
3-Deacetyl-40-demethyl-28-oxosalannin,0,C=C(C)C(=O)OC1C[C@@H](O)[C@@]2(C)C(=O)O[C@H]3[C@H]4O[C@@H]5C[C@@H](c6ccoc6)C(C)=C5[C@@]4(C)[C@H](CC(=O)OC)[C@]1(C)[C@@H]32
Chrysanthemulide G,1,C=C(C)C(=O)O[C@@H]1C[C@H]2C(=C)C(=O)OC2[C@H]2[C@](C)(O)[C@@H](Cl)[C@@H]3O[C@@]32[C@]1(C)O
8α-(2-methylacryloyloxy)-hirsutinolide-13-O-acetate,1,C=C(C)C(=O)O[C@H]1C[C@@H](C)[C@@]2(O)CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2
Murpanicin,1,C=C(C)C(O)C(OCC)c1c(OC)ccc2ccc(=O)oc12
"7-(6'R-hydroxy-3',7'-dimethyl-2'E,7'-octadienyloxy) coumarin",1,C=C(C)C(O)CC/C(C)=C/COc1ccc2ccc(=O)oc2c1
Dolichosin D,0,C=C(C)C(O)Cc1c(O)c(CC=C(C)C)cc2c1oc(=O)c1c3ccc(O)cc3oc21
Xanthohumol d,1,C=C(C)C(O)Cc1c(O)cc(OC)c(C(=O)/C=C/c2ccc(O)cc2)c1O
Omphamurin,0,C=C(C)C(O)Cc1c(OC)cc(OC)c2ccc(=O)oc12
(-)-perillic acid,0,C=C(C)C1CC=C(C(=O)O)CC1
Muralatin G,0,C=C(C)Cc1c(OC)cc(OC)c2ccc(=O)oc12
2''-Hydroxy-3''-en-anhydroicaritin brevicornum,1,C=C(C)[C@@H](O)Cc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(OC)cc3)oc12
Auraptenol,0,C=C(C)[C@@H](O)Cc1c(OC)ccc2ccc(=O)oc12
Murracarpin,0,C=C(C)[C@@H](O)[C@@H](OC)c1c(OC)ccc2ccc(=O)oc12
Exotimarin F,0,C=C(C)[C@@H](O)[C@H](O)c1c(OC)ccc(/C=C/C(=O)O[C@H](Cc2c(OC)ccc3ccc(=O)oc23)C(C)(C)O)c1O
Holophyllane C,0,C=C(C)[C@@H]1C=CC2=C3CC[C@@](C)([C@H](C)CC(=O)C[C@@H](C)C(=O)O)[C@]3(C)CC[C@H]2[C@@]1(C)CCO[C]O
Abeisonic acid,1,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]23C(=C)CC[C@@]3(C)[C@H](C)CC(=O)/C=C(\C)C(=O)O)[C@@]1(C)CCO[C]O
Methyl abiesolidate,1,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]3(C)[C@@H]([C@H](C)C[C@@H]4C[C@@H](C)C(=O)O4)CC[C@@]23C)[C@@]1(C)CCC(=O)OC
Holophyllane E,1,C=C(C)[C@@H]1CCC2[C@@H](CC=C3[C@@]2(C)CC[C@@]3(C)[C@H](C)C[C@@H]2C[C@@H](C)C(=O)O2)[C@@]1(C)CCC(=O)OC
Isocyperol,0,C=C(C)[C@@H]1CC[C@@]2(C)CC[C@@H](O)C(=C)[C@@H]2C1
"2alpha,3beta,23-Trihydroxylup-20(29)-en-28-oic acid 28-O-beta-Dglucopyranoside",1,C=C(C)[C@@H]1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(CCC4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)C5CC[C@]43C)C12
Betulin,1,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
Exotimarin B,1,C=C(C)[C@@H]1C[C@H](C(=C(C)C)c2c(OC)ccc3ccc(=O)oc23)O[C@@H]1c1c(OC)ccc2ccc(=O)oc12
Indicanine A,1,C=C(C)[C@@H]1Cc2c(c(OC)c3oc(=O)c(-c4ccc(OC)cc4)c(O)c3c2OC)O1
Guttiferone E,1,C=C(C)[C@H](CC=C(C)C)C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)/C(=C(/O)c3ccc(O)c(O)c3)C1=O)C2=O
Sophoraflavanone g,1,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O
(-)-Exotimarin C,0,C=C(C)[C@H](O)[C@@H](CC(C)(O)/C=C/c1c(OC)ccc2ccc(=O)oc12)c1c(OC)ccc2ccc(=O)oc12
(+)-Exotimarin C,1,C=C(C)[C@H](O)[C@H](CC(C)(O)/C=C/c1c(OC)ccc2ccc(=O)oc12)c1c(OC)ccc2ccc(=O)oc12
Minumicrolin,0,C=C(C)[C@H](O)[C@H](O)c1c(OC)ccc2ccc(=O)oc12
Muralatin K,0,C=C(C)[C@H](O)[C@H](OCC)c1c(OC)cc(OC)c2ccc(=O)oc12
"(3S,4R)-3-hydroxyperillaldehyde",0,C=C(C)[C@H]1CCC(C=O)=C[C@@H]1O
Rotenone,1,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
Thonningine B,1,C=C(C)c1cc2c(OC)c3c(O)c(-c4ccc(OC)cc4)c(=O)oc3c(OC)c2o1
Thonningine A,1,C=C(C)c1cc2c(OC)c3c(O)c(-c4ccc5c(c4)OCO5)c(=O)oc3c(OC)c2o1
Isofirmanoic acid,1,C=C(CC(=O)C[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@@H]3CCC12)C(=O)O
Holophyllane D,0,C=C(CC(=O)C[C@@H](C)[C@]1(C)CCC(=C)[C@]12CC[C@@H]1C2=CC[C@@H](C(=C)C)[C@]1(C)CCO[C]O)C(=O)O
Secamonol C,0,C=C(CC)[C@H]1C[C@@H](O)[C@@]2(C)C=CC=C(C)[C@@]2(C)C1
"1beta,9alphaH-5-Linoleoyloxy-4,5-secocaryophyllen-4-on",1,C=C(CCCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@H]1CC(C)(C)[C@@H]1CCC(C)=O
Dehydroeburicoic acid,0,C=C(CC[C@@H](C(=O)O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C)C(C)C
Poricoic acid A,1,C=C(CC[C@@H](C(=O)O)[C@H]1[C@H](O)C[C@@]2(C)C3=CC[C@@H](C(=C)C)[C@](C)(CCC(=O)O)C3=CC[C@]12C)C(C)C
Polyporenic acid B,1,C=C(CC[C@@H](C(=O)O)[C@H]1[C@H](O)C[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C)C(C)C
3-O-acetyl-16a-hydroxydehydrotrametenolic acid,0,C=C(CC[C@@H](C(=O)O)[C@H]1[C@H](O)C[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](OC(C)=O)CC[C@]4(C)C3=CC[C@]12C)C(C)C
Hemistepsin A,1,C=C(CO)C(=O)O[C@@H]1[C@H]2C(=C)[C@@H](O)C[C@H]2C(=C)C[C@@H]2OC(=O)C(=C)[C@@H]12
Secamonol A,0,C=C(CO)[C@@H]1C[C@H](O)C(=C)[C@@H]2C=C[C@](C)(OO)[C@H]2C1
Libocedrine A,0,C=C(CO)[C@H]1C[C@@H](O)C(=C)[C@H]2CC=C(C)[C@@H]2C1
6-O-Acetyl-Austroinulin,1,C=C/C(C)=C\CC1C(C)(O)C(O)C(OC(C)=O)C2C(C)(C)CCCC21C
Austroinulin,1,C=C/C(C)=C\C[C@@H]1[C@@](C)(O)[C@H](O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@]21C
Chrysanthemulide B,1,C=C1C(=O)OC2[C@H]1C[C@@H](OC(=O)/C(C)=C/C)[C@@](C)(O)[C@@]13O[C@@H]1[C@@H]1O[C@]1(C)[C@H]23
Chrysanthemulide E,1,C=C1C(=O)OC2[C@H]1C[C@@H](OC(=O)/C(C)=C/C)[C@@](C)(O)[C@]13O[C@H]1[C@H]1O[C@@]1(C)[C@H]23
Chrysanthemulide F,1,C=C1C(=O)OC2[C@H]1C[C@@H](OC(=O)/C(C)=C\C)[C@@](C)(O)[C@]13O[C@H]1[C@@H](O)[C@@](C)(O)[C@H]23
Chrysanthemulide D,1,C=C1C(=O)OC2[C@H]1C[C@@H](OC(=O)/C(C)=C\C)[C@@](C)(O)[C@]13O[C@H]1[C@H]1O[C@@]1(C)[C@H]23
Chrysanthemulide C,1,C=C1C(=O)OC2[C@H]1C[C@@H](OC(=O)C=C(C)C)[C@@](C)(O)[C@@]13O[C@@H]1[C@@H]1O[C@]1(C)[C@H]23
Chrysanthemulide H,1,C=C1C(=O)OC2[C@H]1[C@@H](OC(=O)C=C(C)C)C[C@@](C)(O)[C@@]13C=C[C@@](C)(OO1)[C@H]23
Heliangin,0,C=C1C(=O)O[C@@H]2/C=C(\C)[C@@H](O)C[C@H]3O[C@]3(C)C[C@@H](OC(=O)/C(C)=C/C)[C@H]12
Chrysanthemulide I,0,C=C1C(=O)O[C@@H]2C3[C@@]4(C=C[C@@]3(C)[C@]3(C4)C(=O)O[C@@H]4[C@H]5[C@@](C)(O)[C@H](O)[C@@H]6O[C@@]65[C@](C)(O)CC[C@@H]43)[C@](C)(O)CC[C@@H]12
Chrysanthemulide J,0,C=C1C(=O)O[C@@H]2C3[C@@]4(C=C[C@@]3(C)[C@]3(C4)C(=O)O[C@@H]4[C@H]5[C@](C)(O)[C@H](O)[C@@H]6O[C@@]65[C@](C)(O)CC[C@@H]43)[C@](C)(O)CC[C@@H]12
10-Epi-4H-tomentosin,1,C=C1C(=O)O[C@@H]2C[C@@H](C)C(CCC(C)O)=CC[C@H]12
"2,3-Dihydroaromaticin",1,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3CCC(=O)[C@@]3(C)C[C@H]12
Helenine,1,C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12
Tomentosin,1,C=C1C(=O)O[C@@H]2C[C@H](C)C(CCC(C)=O)=CC[C@H]12
4H-tomentosin,1,C=C1C(=O)O[C@@H]2C[C@H](C)C(CCC(C)O)=CC[C@H]12
4-Acetoxy-4H-tomentosin,1,C=C1C(=O)O[C@@H]2C[C@H](C)C(CCC(C)OC(C)=O)=CC[C@H]12
"4-Hydroxy-1beta,5beta-epoxy-10alphaH-xantha-11(13)-en-12,8betaolide",1,C=C1C(=O)O[C@@H]2C[C@H](C)[C@]3(CCC(C)O)O[C@@H]3C[C@H]12
1alpha-Hydroxy-3alpha-isobutyryloxyisoalantolactone,1,C=C1C(=O)O[C@@H]2C[C@]3(C)C(C[C@H]12)C(=C)[C@H](OC(=O)C(C)C)C[C@@H]3O
1a-hydroxy-3a-senecioyloxyisoalantolactone.,1,C=C1C(=O)O[C@@H]2C[C@]3(C)C(C[C@H]12)C(=C)[C@H](OC(=O)C=C(C)C)C[C@@H]3O
"1beta,10alpha,4alpha,5beta-Diepoxy-7betaH-germacra-11(13)-en-12,8beta-olide",1,C=C1C(=O)O[C@@H]2C[C@]3(C)O[C@@H]3CC[C@@]3(C)O[C@H]3C[C@@H]12
Carabrone,1,C=C1C(=O)O[C@@H]2C[C@]3(C)[C@@H](CCC(C)=O)[C@@H]3C[C@H]12
Santamarin,1,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC[C@@H](O)[C@]3(C)CC[C@@H]12
Postia secoguaianolide,1,C=C1C(=O)O[C@H](CC(C)=O)[C@@H]1CC1=C(C)CCC1=O
4-epi-isoinuviscolide,1,C=C1C(=O)O[C@H]2C=C(C)[C@@H]3CC[C@](C)(O)[C@@H]3C[C@H]12
"4alpha,6alpha-Dihydroxy-1beta,5alpha,7alphaH-guaia-9(10),11(13)-dien-12,8a-olide",1,C=C1C(=O)O[C@H]2C=C(C)[C@H]3CC[C@@](C)(O)[C@@H]3[C@@H](O)[C@H]12
Inuviscolide,1,C=C1C(=O)O[C@H]2CC(=C)[C@H]3CC[C@@](C)(O)[C@@H]3C[C@H]12
6alpha-Hydroxyinuviscolide,1,C=C1C(=O)O[C@H]2CC(=C)[C@H]3CC[C@@](C)(O)[C@@H]3[C@@H](O)[C@H]12
Carpesiolin,1,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3CCC(=O)[C@@]3(C)[C@@H](O)[C@H]12
Ergolide,1,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3CCC(=O)[C@@]3(C)[C@@H](OC(C)=O)[C@H]12
"6alpha-Acetoxy-4beta-hydroxy-1alpha,10betaH-pseudoguaia-11(13)-en-12,8alpha-olide",1,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3CCC(O)[C@@]3(C)[C@@H](OC(C)=O)[C@H]12
"4beta-Acetoxy-6alpha-hydroxy-1alpha,10betaH-pseudoguaia-11(13)-en-12,8alpha-olide",1,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3CCC(OC(C)=O)[C@@]3(C)[C@@H](O)[C@H]12
Pseudoguaianolide,1,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3CC[C@H](O)[C@@]3(C)C[C@H]12
Secamonether,0,C=C1C(=O)O[C@H]2C[C@@H]1CC1=C[C@@](C)(OO)C[C@@H]1C2=C
Secamonester,1,C=C1C(=O)O[C@H]2C[C@@H]1C[C@@H]1C(C)=CC[C@H]1C2=C
Xerantolide,1,C=C1C(=O)O[C@H]2C[C@H](C)[C@@H]3CC(=O)C(C)=C3C[C@H]12
"4alpha,5alpha -Epoxy-10alpha,14H-1-epi-inuviscolide",1,C=C1C(=O)O[C@H]2C[C@H](C)[C@@H]3CC[C@@]4(C)O[C@@]34C[C@H]12
Chrysanthemulide A,1,C=C1C(=O)O[C@H]2[C@H]1C[C@@H](OC(=O)/C(C)=C\C)[C@@](C)(O)[C@@]13O[C@@H]1[C@@H]1O[C@]1(C)[C@H]23
Granilin,1,C=C1C2C[C@@H]3C(=C)C(=O)O[C@@H]3C[C@@]2(C)[C@@H](O)C[C@H]1O
Euphorbia factor L8,0,C=C1CCC2C(C=C(C)C(=O)C3(OC(C)=O)CC(C)C(OC(=O)c4cccnc4)C3C1OC(C)=O)C2(C)C
Asterolide,0,C=C1CCCC2(C)CC3OC(=O)C(C)=C3CC12
Atractylenolide V,1,C=C1CCC[C@@]2(C)[C@H]1CC1=C(C)C(=O)O[C@@]1(O)[C@H]2O
Atractylenolactam,0,C=C1CCC[C@]2(C)C=C3NC(=O)C(C)=C3C[C@@H]12
Atractylenolide I,0,C=C1CCC[C@]2(C)C=C3OC(=O)C(C)=C3C[C@@H]12
"Eudesm-4(15)-ene-7beta,11-diol",0,C=C1CCC[C@]2(C)CC[C@](O)(C(C)(C)O)C[C@@H]12
13-hydroxylatractylenolide II,0,C=C1CCC[C@]2(C)C[C@@H]3OC(=O)C(CO)=C3C[C@@H]12
Atractylenolide III,0,C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12
Atractylon,0,C=C1CCC[C@]2(C)Cc3occ(C)c3C[C@@H]12
Tricholopardin A,1,C=C1CC[C@@H](CCC)C(C)(C)[C@H]1C/C=C1/C(=O)OC[C@@H]1O
Farnesiferol B,1,C=C1CC[C@@H](O)C(C)(C)[C@H]1CC/C(C)=C/COc1ccc2ccc(=O)oc2c1
Farnesiferone A,1,C=C1CC[C@@H]2C(C)(C)C(=O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1
Zonarol,1,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1Cc1cc(O)ccc1O
Gummosin,1,C=C1CC[C@@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1
Farnesiferol a,0,C=C1CC[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1
Andrographolide,1,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O
Vlasouliolide F,1,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)C3(CC(C)=O)C[C@H]3C(=O)O[C@@H]4/C=C(/C)CC/C=C(/C)CC[C@H]43)[C@@H]12
Vlasouliolide H,1,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)C3(CC(C)=O)C[C@H]3C(=O)O[C@H]4C3CC[C@@]3(C)CC=C(C)C[C@H]43)[C@@H]12
Vlasouliolide E,1,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)[C@]3(CC(C)=O)C[C@@H]3C(=O)O[C@@H]4/C=C(/C)CC/C=C(/C)CC[C@@H]34)[C@@H]12
Vlasouliolide I,1,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)[C@]3(CC(C)O)C[C@@H]3C(=O)O[C@H]4[C@H]3CCC(=C)[C@@H]3CCC(=C)[C@H]43)[C@@H]12
11-dien-13-oic acid,1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C(=O)O
"(5S,9S,10S,16R,11E)16-hydroxylabda-8(17),11,13-trien-15,16-olide",1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C1=CC(=O)O[C@H]1C
"(E)-labda-8(17),12-dien-15-ol-16-al",0,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CCO
"(E)-14-hydroxy-15-norlabda-8(17),12-dien-16-al",1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CO
avxanthin C,0,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\CC(=O)OCC)C(=O)O
avxanthin B,1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C1\CC(=O)OC1=O
"15-hydroxylabda-8(17),13-dien-16,15-olide",1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C1\CC(O)OC1=O
