Index,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings
1587,312.391,0.9911999999999999,1.0,4.0,75.71000000000001,5.0,1.0,1.0,7.0,2.0,21.0,1.0
3841,330.3400000000001,2.584500000000001,1.0,5.0,90.7,7.0,2.0,0.0,7.0,2.0,24.0,0.0
7441,192.243,2.7076100000000007,1.0,3.0,41.82,1.0,2.0,0.0,4.0,2.0,13.0,0.0
12572,178.216,2.39919,1.0,3.0,41.82,1.0,2.0,0.0,4.0,2.0,12.0,0.0
10899,397.4600000000002,2.0253,0.0,8.0,62.129999999999995,4.0,0.0,3.0,9.0,4.0,27.0,4.0
2495,285.34299999999996,2.9680000000000017,0.0,4.0,42.68,7.0,2.0,0.0,4.0,2.0,21.0,0.0
14080,328.401,1.7041999999999995,2.0,6.0,84.73,6.0,3.0,0.0,8.0,3.0,23.0,0.0
5559,361.4670000000002,1.9156999999999997,1.0,5.0,61.88000000000001,3.0,1.0,3.0,7.0,4.0,25.0,3.0
9708,490.5890000000002,3.915720000000002,1.0,8.0,102.07,10.0,5.0,0.0,10.0,5.0,35.0,0.0
9510,335.38500000000016,1.1570999999999998,1.0,6.0,78.95,4.0,1.0,2.0,8.0,3.0,23.0,2.0
3278,352.2900000000001,4.930740000000002,2.0,2.0,36.42,3.0,2.0,0.0,6.0,2.0,22.0,0.0
11832,380.52900000000017,4.326800000000004,1.0,4.0,67.87,8.0,0.0,3.0,6.0,3.0,27.0,3.0
14435,620.7580000000005,6.134220000000005,2.0,7.0,110.84,6.0,5.0,1.0,11.0,7.0,46.0,2.0
11366,320.3960000000001,2.754200000000001,1.0,5.0,52.49,2.0,3.0,1.0,5.0,4.0,24.0,1.0
1703,302.3550000000001,2.9574200000000017,0.0,6.0,65.22,0.0,3.0,0.0,6.0,4.0,21.0,1.0
4299,374.5210000000002,3.6043000000000034,2.0,4.0,66.76,1.0,0.0,4.0,4.0,5.0,27.0,5.0
4301,404.5030000000002,1.8981999999999999,3.0,6.0,104.06000000000002,2.0,0.0,4.0,6.0,5.0,29.0,5.0
4224,288.21500000000003,2.9921000000000015,0.0,6.0,116.49,5.0,2.0,0.0,8.0,2.0,21.0,0.0
4225,257.24499999999995,3.3923200000000024,0.0,4.0,73.35,4.0,2.0,0.0,5.0,2.0,19.0,0.0
4226,273.24399999999997,3.092500000000001,0.0,5.0,82.58,5.0,2.0,0.0,6.0,2.0,20.0,0.0
4227,289.243,2.798100000000002,1.0,6.0,102.81,5.0,2.0,0.0,7.0,2.0,21.0,0.0
4228,277.663,3.737300000000002,0.0,4.0,73.35,4.0,2.0,0.0,6.0,2.0,19.0,0.0
4435,212.24800000000002,3.4841200000000017,0.0,2.0,30.21,3.0,2.0,0.0,2.0,2.0,16.0,0.0
4629,213.23600000000002,2.757900000000001,1.0,3.0,56.230000000000004,3.0,2.0,0.0,3.0,2.0,16.0,0.0
4877,293.11600000000004,3.6438000000000015,1.0,3.0,50.44,3.0,2.0,0.0,4.0,2.0,17.0,0.0
5036,243.218,3.0839000000000016,0.0,4.0,73.35,4.0,2.0,0.0,5.0,2.0,18.0,0.0
3401,408.4570000000001,3.306000000000002,0.0,8.0,98.98,7.0,1.0,1.0,10.0,2.0,27.0,1.0
4464,323.395,2.3711,1.0,5.0,66.84,5.0,1.0,1.0,7.0,2.0,21.0,1.0
11290,323.395,2.4581999999999997,2.0,5.0,77.84,4.0,1.0,1.0,7.0,2.0,21.0,1.0
12899,278.358,1.9388999999999998,1.0,4.0,49.410000000000004,2.0,1.0,1.0,6.0,2.0,18.0,1.0
5517,300.24000000000007,1.1464999999999999,2.0,3.0,83.53999999999999,1.0,2.0,0.0,9.0,3.0,21.0,1.0
14833,472.7100000000004,5.531500000000007,2.0,4.0,66.76,1.0,0.0,6.0,4.0,6.0,34.0,6.0
2338,398.4440000000001,2.8633000000000015,2.0,7.0,106.35000000000001,7.0,3.0,0.0,9.0,3.0,28.0,0.0
2169,320.32700000000006,4.408000000000003,2.0,4.0,66.21000000000001,4.0,4.0,0.0,6.0,4.0,24.0,0.0
11007,359.4550000000002,2.2183,2.0,5.0,88.91,6.0,2.0,1.0,8.0,3.0,25.0,1.0
14507,501.6350000000002,5.6604000000000045,2.0,5.0,98.37,5.0,4.0,0.0,9.0,5.0,37.0,1.0
7818,374.3960000000001,3.495600000000003,1.0,5.0,83.64,6.0,3.0,0.0,6.0,4.0,28.0,1.0
7599,312.34400000000005,2.9558000000000018,0.0,3.0,50.27,3.0,2.0,1.0,5.0,3.0,23.0,1.0
1889,437.92700000000013,4.048700000000003,2.0,4.0,74.58000000000001,8.0,3.0,0.0,7.0,3.0,31.0,0.0
2185,496.4050000000001,4.547900000000004,2.0,4.0,74.58000000000001,9.0,3.0,0.0,7.0,3.0,32.0,0.0
5006,476.5330000000003,4.002020000000003,2.0,6.0,117.71999999999998,10.0,3.0,0.0,9.0,3.0,35.0,0.0
7061,365.408,4.723300000000004,1.0,4.0,58.370000000000005,4.0,3.0,1.0,6.0,4.0,27.0,1.0
9842,316.3380000000001,2.49038,0.0,7.0,81.44,4.0,2.0,0.0,7.0,3.0,22.0,1.0
9230,225.22899999999998,0.9069999999999999,1.0,6.0,95.15,4.0,2.0,0.0,7.0,2.0,15.0,0.0
7205,370.44900000000007,2.8752000000000013,1.0,6.0,77.52,5.0,1.0,0.0,6.0,3.0,27.0,2.0
439,602.5890000000003,4.792600000000004,1.0,7.0,109.89,9.0,3.0,0.0,14.0,5.0,43.0,2.0
443,584.5990000000003,4.653500000000004,1.0,7.0,109.89,9.0,3.0,0.0,13.0,5.0,42.0,2.0
448,620.5790000000002,4.931700000000005,1.0,7.0,109.89,9.0,3.0,0.0,15.0,5.0,44.0,2.0
452,602.5890000000003,4.792600000000004,1.0,7.0,109.89,9.0,3.0,0.0,14.0,5.0,43.0,2.0
10989,342.42800000000005,1.8664999999999994,1.0,6.0,75.94,7.0,3.0,0.0,8.0,3.0,24.0,0.0
5732,428.4930000000001,2.3654,2.0,7.0,98.3,6.0,3.0,1.0,10.0,4.0,30.0,1.0
12664,282.334,3.1694000000000013,1.0,2.0,32.34,4.0,1.0,1.0,5.0,2.0,20.0,1.0
9396,491.5960000000004,2.7498200000000006,1.0,8.0,105.31,10.0,4.0,1.0,10.0,5.0,36.0,1.0
103,311.41000000000014,4.191500000000002,1.0,3.0,46.400000000000006,3.0,3.0,1.0,5.0,4.0,22.0,1.0
14210,354.45000000000005,3.302900000000002,2.0,4.0,71.45,4.0,2.0,2.0,5.0,4.0,26.0,2.0
6883,309.325,2.666220000000001,1.0,4.0,64.86,2.0,3.0,0.0,6.0,4.0,23.0,1.0
