Dependent Variable,Kruskal-Wallis H Statistic,p-value,Significance
Accuracy,28.23389729890174,0.0008716898887746639,Significant differnence
MCC,28.329032258064515,0.000840277716533526,Significant differnence
Sensitivity,21.491763134461273,0.01063710692419404,Significant differnence
Specificity,24.643222791008228,0.0033922580092780757,Significant differnence
AUROC,28.51827956989247,0.0007810396276298141,Significant differnence
AUPRC,28.39784946236557,0.0008182462782253502,Significant differnence
