,BiLSTM_ECFP,BiLSTM_ESTATE,BiLSTM_MACCS,BiLSTM_PHYCHEM,BiLSTM_RDKIT,XGB_ECFP,XGB_ESTATE,XGB_MACCS,XGB_PHYCHEM,XGB_RDKIT
BiLSTM_ECFP,1.0,0.2557307912811779,0.024456273964088053,0.2020588503152514,0.021660223283393214,0.7807542631854579,0.2103829735261783,0.1258066439869232,0.0027705230678799144,0.6261956786731573
BiLSTM_ESTATE,0.2557307912811779,1.0,0.2655603126265845,0.8893173018847949,0.2461569956784614,0.3907801639251124,0.9076735985082953,0.6933524276787542,0.06351417418747105,0.10445521798474353
BiLSTM_MACCS,0.024456273964088053,0.2655603126265845,1.0,0.32996875085027044,0.9629999069240927,0.04866119056895988,0.3185842156563886,0.4721191863395643,0.45794801946942565,0.006200738646207088
BiLSTM_PHYCHEM,0.2020588503152514,0.8893173018847949,0.32996875085027044,1.0,0.30746001259656985,0.3185842156563886,0.9814949772331558,0.7986137746061126,0.08608761616123035,0.0779348762542036
BiLSTM_RDKIT,0.021660223283393214,0.2461569956784614,0.9629999069240927,0.30746001259656985,1.0,0.04359774976298119,0.29659603467042295,0.4440187216459387,0.48652866813789486,0.005379868550958028
XGB_ECFP,0.7807542631854579,0.3907801639251124,0.04866119056895988,0.3185842156563886,0.04359774976298119,1.0,0.32996875085027044,0.2103829735261783,0.006652066959786424,0.4440187216459387
XGB_ESTATE,0.2103829735261783,0.9076735985082953,0.3185842156563886,0.9814949772331558,0.29659603467042295,0.32996875085027044,1.0,0.7807542631854579,0.08192902128344443,0.08192902128344443
XGB_MACCS,0.1258066439869232,0.6933524276787542,0.4721191863395643,0.7986137746061126,0.4440187216459387,0.2103829735261783,0.7807542631854579,1.0,0.14394266704443764,0.04359774976298119
XGB_PHYCHEM,0.0027705230678799144,0.06351417418747105,0.45794801946942565,0.08608761616123035,0.48652866813789486,0.006652066959786424,0.08192902128344443,0.14394266704443764,1.0,0.000502907593187331
XGB_RDKIT,0.6261956786731573,0.10445521798474353,0.006200738646207088,0.0779348762542036,0.005379868550958028,0.4440187216459387,0.08192902128344443,0.04359774976298119,0.000502907593187331,1.0
