Model,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
XGB_ECFP,0.821 ± 0.004,0.820 ± 0.004,0.890 ± 0.003,0.863 ± 0.001,0.654 ± 0.009,0.771 ± 0.003,0.920 ± 0.010,0.719 ± 0.006,0.839 ± 0.004
XGB_ESTATE,0.794 ± 0.005,0.793 ± 0.005,0.882 ± 0.004,0.890 ± 0.004,0.601 ± 0.011,0.745 ± 0.003,0.903 ± 0.009,0.683 ± 0.005,0.816 ± 0.005
XGB_MACCS,0.760 ± 0.005,0.759 ± 0.005,0.845 ± 0.003,0.839 ± 0.002,0.524 ± 0.010,0.729 ± 0.005,0.836 ± 0.003,0.682 ± 0.008,0.779 ± 0.004
XGB_PHYCHEM,0.763 ± 0.009,0.762 ± 0.009,0.851 ± 0.004,0.857 ± 0.003,0.531 ± 0.019,0.731 ± 0.005,0.842 ± 0.016,0.682 ± 0.003,0.782 ± 0.010
XGB_RDKIT,0.816 ± 0.017,0.815 ± 0.016,0.918 ± 0.007,0.917 ± 0.005,0.649 ± 0.038,0.759 ± 0.009,0.933 ± 0.029,0.696 ± 0.008,0.837 ± 0.017
