Model,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
XGB_ECFP,0.925 ± 0.002,0.924 ± 0.002,0.991 ± 0.001,0.992 ± 0.001,0.855 ± 0.005,0.881 ± 0.003,0.984 ± 0.002,0.864 ± 0.005,0.930 ± 0.002
XGB_ESTATE,0.890 ± 0.001,0.889 ± 0.001,0.970 ± 0.001,0.973 ± 0.000,0.785 ± 0.002,0.849 ± 0.001,0.952 ± 0.001,0.827 ± 0.001,0.898 ± 0.001
XGB_MACCS,0.933 ± 0.005,0.933 ± 0.005,0.986 ± 0.001,0.986 ± 0.002,0.869 ± 0.011,0.904 ± 0.005,0.971 ± 0.006,0.894 ± 0.006,0.937 ± 0.005
XGB_PHYCHEM,0.865 ± 0.005,0.865 ± 0.005,0.953 ± 0.002,0.961 ± 0.001,0.732 ± 0.010,0.844 ± 0.004,0.900 ± 0.006,0.830 ± 0.004,0.871 ± 0.005
XGB_RDKIT,0.964 ± 0.002,0.963 ± 0.002,0.996 ± 0.001,0.995 ± 0.001,0.928 ± 0.005,0.943 ± 0.004,0.988 ± 0.001,0.939 ± 0.005,0.965 ± 0.002
