Model,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
BiLSTM_ECFP,0.931 ± 0.004,0.931 ± 0.004,0.984 ± 0.003,0.982 ± 0.003,0.868 ± 0.009,0.889 ± 0.003,0.988 ± 0.005,0.873 ± 0.004,0.936 ± 0.004
BiLSTM_ESTATE,0.835 ± 0.007,0.834 ± 0.007,0.935 ± 0.005,0.940 ± 0.003,0.683 ± 0.014,0.783 ± 0.007,0.934 ± 0.007,0.734 ± 0.010,0.852 ± 0.006
BiLSTM_MACCS,0.900 ± 0.016,0.899 ± 0.016,0.973 ± 0.003,0.970 ± 0.005,0.806 ± 0.026,0.865 ± 0.035,0.955 ± 0.018,0.844 ± 0.049,0.907 ± 0.012
BiLSTM_PHYCHEM,0.658 ± 0.011,0.656 ± 0.010,0.758 ± 0.023,0.755 ± 0.034,0.340 ± 0.044,0.628 ± 0.014,0.808 ± 0.116,0.504 ± 0.097,0.702 ± 0.038
BiLSTM_RDKIT,0.914 ± 0.003,0.913 ± 0.002,0.972 ± 0.003,0.965 ± 0.004,0.831 ± 0.006,0.880 ± 0.003,0.961 ± 0.011,0.865 ± 0.006,0.918 ± 0.003
