scaffold,mean_shap
O=C(Cc1nc2ccccc2nc1N1CCCCC1)OC1CCCCC1,-4.547715e-05
c1ccc2nc3c(ccn3CC3CCCO3)nc2c1,-0.00022186211
c1ccc2c(-c3ncc(N4CCCCC4)o3)cccc2c1,0.00011562218
O=C(NCc1cc2ccccc2[nH]c1=O)c1ccccc1,-0.00040261965
O=c1[nH]cc(C=NC2CCCCC2)c(=O)[nH]1,-8.936658e-05
O=C(Nc1ccc2nc(-c3ccco3)[nH]c2c1)c1cccs1,0.0005870503
O=C1Nc2ccccc2C12Nc1ccccc1-c1nc3ccccc3n12,0.0002595457
O=C(CSc1nc2ncccc2[nH]1)Nc1ccc2c(c1)OCCO2,-0.00065392
c1ccc(-c2cnn3cccnc23)cc1,0.0001516965
O=c1[nH]c2ccc(S(=O)(=O)Nc3ccc4c(c3)OCCO4)cc2o1,-0.00019819224
O=C(CCc1nc(-c2ccccc2)no1)Nc1ccccc1,-0.00035093987
O=C(COc1ccccc1)NCC1CCCCC1,-0.00046374768
O=C(OCC(=O)N1CCCC1)c1cccnc1,0.00021754032
O=c1c2c3c(sc2nc2sc(C4CC4)nn12)CCCC3,-0.00036733114
O=C(NCN1CCCCC1)c1cnccn1,-0.0006075461
c1ccc2[nH]cnc2c1,-0.00039893703
O=C(CSc1nc2sc3c(c2c(=O)[nH]1)CCCC3)Nc1ccon1,-0.00074979267
O=C(COC(=O)C1CC(=O)N(c2ccccc2)C1)NC1CCS(=O)(=O)C1,-0.00036235672
O=C(Nc1ccc(-c2cn3ccsc3n2)cc1)C1CCCC1,0.00011869681
O=C(Cn1c(=O)c2[nH]cnc2n(Cc2ccccc2)c1=O)Nc1ccc2c(c1)OCO2,-0.0004341642
O=C(c1cc2ccccc2o1)N1CCN(c2ccccc2)CC1,-0.00032998328
O=C(CN1CCOCC1)Nc1ccccc1-c1ccccc1,-0.00015348288
c1ccc(-c2ncco2)cc1,0.00012201126
O=C(CSc1nnc(-c2cccs2)o1)N1CCCCC1,-0.0012587116
O=C(Nc1c2c(nn1-c1ccccc1)CSC2)c1ccc2c(c1)OCO2,-0.00063561567
O=c1ccc(-c2ccccc2)n[nH]1,-0.00014273802
c1ccc2c(c1)[nH]c1ncnnc12,-0.00029424927
O=C(C1CCC(=O)N1Cc1ccccc1)N1CCN(c2ccccc2)CC1,-0.0003558258
O=C(CCS(=O)(=O)Cc1ccccc1)N1CCC2(CC1)OCCO2,-9.346385e-05
O=C(Nc1cccc(-c2cn3cccnc3n2)c1)c1conc1-c1ccccc1,4.909263e-06
O=C(NC1CC1)c1c[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2c1=O,0.0005057552
O=c1[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2[nH]c1=O,0.0003662399
O=C(NCc1ccccc1)C1CCNCC1,-0.00044422515
O=C(CCS(=O)(=O)c1ccc2c(c1)CCN2)N1CCN(C(=O)c2ccco2)CC1,-0.00014717988
O=C(CCC1CCCCC1)Nc1c2c(nn1-c1ccccc1)CS(=O)C2,-0.00068178016
O=C(NCc1ccco1)C1CCN(C(=O)c2cc3sccc3n2Cc2ccccc2)CC1,-0.0010871823
O=C(Nc1ccccc1)c1cc[nH]c1,-0.00023425676
O=C(CSc1nnc(Cc2cc(=O)[nH]c(=O)[nH]2)n1-c1ccccc1)NCC1CCCO1,-0.001047691
O=C1c2cccnc2C(Nc2ccccc2)N1Cc1ccccc1,-0.000169379
c1cc2ccsc2cn1,5.822534e-06
O=C(Nc1ccccc1)c1cccc2c1C(=O)N(Cc1ccccn1)C2,0.00030871265
O=C(c1scc2c1OCCO2)N1CCOCC1,7.899262e-05
c1ccc(-n2cc3c(n2)CSC3)cc1,-0.0005491454
O=C(C1CCCN(c2nn3c(=O)ccnc3s2)C1)N1CCNCC1,-0.00029678375
O=c1cc[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc12,0.00059201475
O=C1Nc2ccccc2C12OCCO2,-0.00022298939
O=C(Cn1cccc1)NCCc1ccccc1,-0.00030460744
O=C1Nc2ccccc2SC1CC(=O)N1CCN(c2ccccc2)CC1,-0.00043852
O=C(CCn1c(=O)[nH]c2ccccc2c1=O)N1CCN(c2ccccc2)CC1,-0.0003266926
c1ccc(-c2nnc3cccnn23)cc1,0.00021745631
O=C1CCCC2=C1C(c1ccccc1)c1c([nH]c(=O)[nH]c1=O)N2,0.00015808982
O=C(CSc1nnc(-c2cccs2)o1)N1CCCCC1,-0.0006135161
O=S(=O)(NCc1ccccc1)c1ccccc1,0.00010006381
O=c1[nH]c(=S)[nH]c2ccccc12,0.00021926223
O=c1[nH]c2ccc(S(=O)(=O)N3CCN(Cc4ccc5c(c4)OCO5)CC3)cc2o1,-0.0005658525
O=c1ccc2c[nH]nc2o1,-0.00012243717
O=c1[nH]c2ccccc2nc1-n1cccn1,0.0001389077
O=c1oc2ccccc2c2ccncc12,1.02478225e-05
c1ccc(CN2CCCCC2)cc1,-0.00014021285
O=c1ccnc2c(-c3ccccc3)c[nH]n12,-0.00025281042
O=C(CN1CCC(N2CCCCC2)CC1)Nc1ccccc1,-0.0003425471
O=C(c1ccsc1)N1CCOCC1,-0.0006350835
O=S(=O)(NCCc1ccncc1)c1ccccc1,0.0002024855
O=C(CC1C(=O)NCCN1C(=O)c1ccccc1)OCc1ccccc1,-9.704292e-05
O=C(Oc1ccccc1)c1cccc(COC(=O)c2cnccn2)c1,-6.974234e-05
O=C(Nc1c[nH]n(-c2ccccc2)c1=O)c1ccccc1,-0.0001539268
O=C1c2ccccc2C(Cc2ccccc2)N1C1CCCCC1,-0.00024926767
O=C(CNc1ccccc1)Nc1ccccc1,-0.00028384864
O=C1CC=CN1CCc1ccccc1,-0.0006018653
O=c1[nH]cnc2ccccc12,-0.00034762436
O=C(Nc1ccccc1)c1ccc(COc2ccccc2)o1,8.546619e-05
O=C(OCc1ccccc1)c1c[nH]c2ncccc2c1=O,9.726434e-05
O=C(Nc1ccccc1C(=O)NCc1ccccc1)c1ccco1,-0.00024448126
O=C(NCSc1ncccn1)c1ccccc1,-0.00046409023
O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccccc1,-0.00016126805
O=S(=O)(NCC1CCCO1)c1ccccc1,-0.00068884366
c1ccc2scnc2c1,-0.00020438005
O=C(c1cn(-c2ccccc2)nc1-c1ccncc1)N1CCCCC1,-0.00044327928
O=S(=O)(c1ccccc1)c1coc(-c2cccs2)n1,-0.00071738276
O=C(Nc1cc(=O)[nH]c(=O)[nH]1)c1conc1-c1ccccc1,0.00031276367
c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,-0.0006787126
O=C(NC1CCCc2ccccc21)c1ccoc1,0.00015274543
c1ccc2c(c1)ncc1ccoc12,-6.128001e-05
c1ccc(CNC2CCCC2)cc1,1.0057774e-06
O=C(c1c[nH]c2ccccc12)C1CC1,-0.00020261691
O=S(=O)(NC1CCCCC1)c1ccccc1,-7.003555e-05
O=S(=O)(NCc1ccccn1)c1ccccc1,-0.00017199603
O=C(Nc1ccon1)c1cncs1,0.00059472997
c1ccc(OCc2nncs2)cc1,-7.554167e-05
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc2n(n1)CCCN2,-8.998363e-05
O=C1CC(C(=O)Nc2ccc(C(=O)N3CCOCC3)cc2)C2(CCCCC2)O1,-0.0002212917
O=C(CSc1nnc(CNC(=O)c2cccs2)[nH]1)c1ccccc1,-0.00052647037
O=C1CC(N2CCN(c3ccccc3)CC2)C(=O)N1c1ccccc1,5.2301366e-05
c1ccc(-c2nnc(SCc3ccon3)o2)cc1,-0.00028624292
c1ccc2[nH]c(Cc3ccc4c(c3)OCO4)nc2c1,-0.000116380805
O=c1[nH]c(SCCc2cncs2)nc2ccccc12,-0.00023322282
c1cc2c(s1)CCCC2,-0.00022584865
O=C(CN(C1CCCCC1)S(=O)(=O)c1ccccc1)N1CCOCC1,-0.0005755173
O=C1NC=CC(c2ccccc2)N1,-0.0002959662
c1ccccc1,0.00020636122
O=C(Nc1ccccc1C(=O)N1CCCC1)c1ccccc1,0.00047274766
O=C(c1ccccc1)N1CCCCC1,-0.0003095208
O=C(Nc1nnc(C2CCCO2)s1)c1cccs1,-0.00059705746
O=C(COc1ccccc1)N1CCCCC1,-0.00025722728
O=C(Cc1nnc(SCC(=O)c2ccccc2)[nH]1)Nc1ccccc1,-0.0011009979
O=C(COc1ccccc1)NCc1cccnc1,-0.00043466195
O=S(=O)(Nc1ccc2c(c1)OCO2)c1ccccc1,8.854779e-05
O=C(COc1ccccc1)NCc1ccco1,-0.00054389925
O=C(c1cccs1)n1ccc2ccccc21,-0.00011111729
O=C(Nc1ccc2c(c1)OCO2)c1ccccc1,-0.00012984578
O=C(CNS(=O)(=O)c1ccccc1)Nc1ccc2c(c1)OCO2,-0.00038558056
O=S(=O)(Nc1ccccc1)c1ccc2c(c1)OCCO2,-0.0001779201
O=C(NCCc1nc2ccccc2[nH]1)c1ccccc1,0.00016731332
O=c1ccnc(NCc2ccccc2)[nH]1,0.00030522788
O=C(Nc1ccon1)c1cc(-c2ccccc2)nc2ccccc12,0.0005414305
O=C(NCc1ccccc1)c1cnsn1,-6.3815896e-05
O=C(CN1C(=O)C2CC=CCC2C1=O)Nc1ccccc1,-0.00048252425
c1ccc(CSc2nncn2-c2ccccc2)cc1,-0.0005300987
O=C1CCCc2[nH]ccc21,7.0288355e-05
O=C(Cc1ccccc1)Nc1ccccc1,-0.00033709948
O=C(NCc1ccccn1)NC12CC3CC(CC(C3)C1)C2,-2.227923e-05
S=c1[nH]nc(-c2ccccc2)n1CC1CCCO1,-1.2361721e-05
c1ccccc1,0.00013003661
O=C(CSc1nnc(Cn2nnc(-c3ccccc3)n2)n1-c1ccccc1)Nc1ccccc1,-0.0006095414
O=C(CCOc1ccccc1)N1CCCCC1,-0.00063767616
O=C(COc1ccccc1)N1CCCCCC1,-0.00042405416
c1ccc(Cc2cnc[nH]2)cc1,-0.00020355241
O=C(COc1ccccc1)c1cc2ccccc2oc1=O,9.394781e-05
c1ccccc1,0.0006862455
c1ccccc1,-0.00015340597
O=C(OCc1ccco1)c1cc2ccccc2oc1=O,-0.0001140503
