Mean_Probability,Uncertainty_Std
0.49726811,0.016513308318906482
0.9764935733333333,0.005757211685908009
0.07825584533333332,0.005289574136903986
0.06507740199999999,0.004727706600680151
0.18423877999999996,0.027335109403699116
0.22693580333333338,0.08483683093053249
0.40925329666666665,0.011069124053288443
0.50291713,0.07567023533755177
0.26557275666666663,0.035282891631612176
0.29144301333333333,0.045668059341240776
0.9931766666666667,0.0010657024610816765
0.9947568499999999,0.0010419526340802246
0.9942639300000001,0.0010863062995613356
0.9942639300000001,0.0010863062995613356
0.38444457666666665,0.02859251478904963
0.28584154,0.05857888213095968
0.5230405166666666,0.040557268175842674
0.14202841833333335,0.02619476698211443
0.15699198,0.03054515719307836
0.024390457333333334,0.0024352054132665865
0.09564697,0.011918583604338928
0.19825270666666664,0.008558278245758446
0.5845725333333333,0.03251501126252642
0.9924578233333333,0.0013496956747438538
0.36060896,0.009647078045266691
0.9020947766666666,0.01986397359403256
0.3997180533333333,0.018430664038428492
0.06364222166666667,0.010791647831815996
0.08953728666666667,0.00505846982748956
0.14733821333333333,0.0029344094343874676
0.2856744233333333,0.0036670478037638056
0.56316063,0.04799129272012371
0.30376732,0.0005258738550260953
0.8447203,0.002828742225984339
0.9165020199999999,0.0130448407602188
0.96391908,0.009029927444861684
0.08962558666666666,0.0010694503997952486
0.09825409,0.007990964780638193
0.41291900666666664,0.030704867910524465
0.8739336666666667,0.009294151574093377
0.6505091233333333,0.0465176209868234
0.06823378666666667,0.0046571599218288495
0.8175187999999999,0.04086106144150767
0.25536100333333334,0.036080660438310826
0.30464629000000004,0.011084732673676288
0.65888709,0.048142654051193196
0.7708599,0.03674307187185086
0.08076216666666668,0.008491171324265115
0.08527438666666666,0.007905860258085743
0.05569605566666667,0.006466324721898026
0.8475301333333333,0.00789855407878905
0.80275615,0.017077824702311065
0.08709061,0.009520402179561533
0.3508350433333334,0.03602808429418762
0.13556017,0.0381641962180602
0.07744743466666666,0.013680014472756604
0.25503840333333333,0.005893143445758712
0.14903172333333334,0.015829187260840517
0.08478552099999999,0.012257568942716087
0.7392119833333334,0.0535290166542772
0.034135584000000004,0.002385685257797851
0.041108530000000004,0.0045511909023097106
0.7585738833333333,0.02568714979674768
0.06254282333333333,0.007015859349703512
0.06254282333333333,0.007015859349703512
0.26341939666666664,0.020741158377680396
0.07783394,0.006121133242567645
0.14452520666666668,0.028333498516040844
0.1264163083333333,0.007764581277588136
0.5489563166666667,0.10181953043255909
0.41913539333333333,0.04627397918842391
0.023155681333333334,0.001745374001956282
0.06787102333333334,0.017431747688502787
0.9971113366666667,0.0004989967996111935
0.9971113366666667,0.0004989967996111935
0.32004826000000003,0.021518410691913712
0.16588738333333333,0.013573473344624146
0.09531649666666665,0.0141531268522197
0.20920083,0.004266595010317564
0.28970234,0.03642091836449031
0.8461441333333332,0.013991941043160828
0.6907066566666668,0.030344852181796635
0.96999979,0.0024084891911874042
0.5920398800000001,0.04940429082766799
0.25759807,0.01793236688203206
0.20744426333333332,0.025207752506407412
0.6088601333333333,0.0246230586616425
0.38545071000000003,0.021278972044114344
0.4241545633333333,0.04815868599502436
0.20395069333333335,0.017733658012537127
0.36910292,0.028538467541983865
0.40469484333333333,0.015234578762355783
0.05025015866666666,0.007246651747655848
0.076297708,0.006784024383183975
0.086082512,0.009895245014644559
0.28147323,0.02558897833175969
0.28147323,0.02558897833175969
0.15883485666666666,0.009060455724404198
0.5648692333333333,0.046172956635988645
0.35845559,0.0213313787581222
0.5335086066666667,0.06815958535988188
0.5522819333333334,0.029962861746094215
0.40213771666666664,0.048892897093546786
0.39185225000000007,0.031488397179317756
0.4421155266666667,0.05024813573691155
0.29292378999999996,0.0548015164471027
0.22743858333333333,0.023742722596818783
0.3007806233333333,0.035716225430296455
0.06468189466666667,0.008658938222999603
0.9799025666666666,0.0040511373163046
0.10417789300000001,0.013984339982394756
0.21036720333333334,0.004401093597871128
0.9355587333333334,0.005004826199002551
0.8681556,0.017156581571125037
0.9633047599999999,0.0013147542404571067
0.8926784333333333,0.009742044047095855
0.8926784333333333,0.009742044047095855
0.9633047599999999,0.0013147542404571067
0.8387289266666667,0.018972737494391472
0.8681556,0.017156581571125037
0.93636505,0.015559613493646495
0.40962999999999994,0.030095401307230756
0.09393060999999998,0.00750022492097848
0.030916559666666666,0.003632370427328353
0.6443495,0.0411155496568034
0.59098438,0.06545503043153217
0.30089276,0.032405388093031694
0.06825697433333333,0.011554462885618538
0.04967001733333334,0.0009152984796233884
