compound_id,InChIKey,canonical_smiles,scaffold,exact_scaffold_hit,similar_scaffold_hit,Note
29281,HGANUTRTBCXELR-UHFFFAOYSA-N,COc1c(O)c(O)c2oc(-c3ccc(O)cc3)c(OC)c(=O)c2c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29303,JSKYRABEGKTTPD-UHFFFAOYSA-N,Cc1cc2oc(=O)ccc2cc1O,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29305,MRXFJHKMONZNHG-UHFFFAOYSA-N,O=c1cc(-c2ccc(O)c(O)c2)oc2c(O)c(O)c(O)c(O)c12,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29338,MGFXFQXRHGAKQN-UHFFFAOYSA-N,COc1c(-c2ccc(O)c(O)c2CC=C(C)C)oc2cc(O)cc(O)c2c1=O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29340,XHKJFVBDJVBISC-UHFFFAOYSA-N,C=C(C)C(CCC(C)(C)O)Cc1c(O)cc(OC)c2c(=O)cc(-c3ccc(O)cc3O)oc12,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29375,OVSYWZXDPOVKQU-UHFFFAOYSA-N,O=C1CC(c2cc(O)cc(O)c2)Oc2cc(O)ccc21,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
29410,ZTEYEFPSJPSRRA-UHFFFAOYSA-N,CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)CC(c1ccc(O)cc1O)O2,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
29416,BORUTNVEHDYDPQ-UHFFFAOYSA-N,C=CC(C)=CCC1(O)C(C)CCC2C(C)(CO)CCCC21C,C1CCC2CCCCC2C1,TRUE,TRUE,Exact
29426,CDHSCTCRBLLCBJ-UHFFFAOYSA-N,O=c1ccc2c(O)cccc2o1,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29459,FTFPXINQVCVDEY-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29469,SAYLVVWOWASTOM-UHFFFAOYSA-N,COc1cc(O)c(O)cc1-c1oc2cc(O)c(CC=C(C)C)c(O)c2c(=O)c1CC=C(C)C,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29473,LNCBEMLMMVNPOD-UHFFFAOYSA-N,COc1c(O)cc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29477,WKVKAWWZXXTJEH-UHFFFAOYSA-N,COc1c(-c2ccc(O)c(O)c2)oc2c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c2c1=O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29480,QSIXTSXIETZHGN-UHFFFAOYSA-N,COc1c(-c2cc(O)c(O)cc2CC=C(C)C)oc2ccc(O)c(O)c2c1=O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29504,GAZAWYKMEQJTCX-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(-c3cc(OC)c(OC)cc3O)oc2c1,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29520,COAPWVZMQPXXGQ-UHFFFAOYSA-N,COc1cc(OC)c2c(c1)OC(c1ccc(O)cc1)C(O)C2=O,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
29525,RVSZZPCRCJYAEU-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C)C(C)CCC4(C=O)CCC23C)C1(C)C,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
29533,AREVFHPDZQHBHI-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)c(OC)c3o2)cc1OC,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29542,QHOGIWOAXCXNES-UHFFFAOYSA-N,C=CC(C)(C)c1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,O=c1c(-c2ccccc2)coc2ccccc12,TRUE,TRUE,Exact
