y_true,y_prob,model
1,0.381949350398912,LGBM_PHYCHEM
1,0.8067783486542375,LGBM_PHYCHEM
0,0.17718416209544854,LGBM_PHYCHEM
0,0.2849891929875703,LGBM_PHYCHEM
1,0.4331017960332419,LGBM_PHYCHEM
0,0.1929766781174488,LGBM_PHYCHEM
0,0.25558467670363644,LGBM_PHYCHEM
0,0.6881025822681078,LGBM_PHYCHEM
0,0.03402957696547313,LGBM_PHYCHEM
0,0.709061930575199,LGBM_PHYCHEM
1,0.992216157411067,LGBM_PHYCHEM
1,0.9916089702619493,LGBM_PHYCHEM
1,0.9626326479217102,LGBM_PHYCHEM
1,0.935553899410935,LGBM_PHYCHEM
1,0.45379065511568895,LGBM_PHYCHEM
0,0.3573724230417152,LGBM_PHYCHEM
1,0.6939979002446978,LGBM_PHYCHEM
0,0.2986641990403343,LGBM_PHYCHEM
0,0.2406932778540439,LGBM_PHYCHEM
0,0.10201846230996296,LGBM_PHYCHEM
0,0.1236330803996775,LGBM_PHYCHEM
0,0.36220375564620855,LGBM_PHYCHEM
1,0.8611778288965689,LGBM_PHYCHEM
1,0.5782516640695033,LGBM_PHYCHEM
0,0.4563114946015642,LGBM_PHYCHEM
1,0.6967754856910826,LGBM_PHYCHEM
1,0.5980421375797288,LGBM_PHYCHEM
0,0.1342501723488738,LGBM_PHYCHEM
1,0.2792212096726371,LGBM_PHYCHEM
0,0.17792823655935985,LGBM_PHYCHEM
1,0.3517396666289819,LGBM_PHYCHEM
1,0.2606418895339055,LGBM_PHYCHEM
1,0.21737710877857083,LGBM_PHYCHEM
1,0.5920572715230464,LGBM_PHYCHEM
1,0.2813514042737199,LGBM_PHYCHEM
1,0.31591494673976744,LGBM_PHYCHEM
0,0.5168420747124992,LGBM_PHYCHEM
0,0.23531534506671772,LGBM_PHYCHEM
1,0.24649800333435493,LGBM_PHYCHEM
1,0.5687173682180718,LGBM_PHYCHEM
1,0.5240050780341124,LGBM_PHYCHEM
0,0.23886986326662427,LGBM_PHYCHEM
0,0.35668431319830735,LGBM_PHYCHEM
0,0.645435700079457,LGBM_PHYCHEM
0,0.6471915898612937,LGBM_PHYCHEM
1,0.28103010427759917,LGBM_PHYCHEM
1,0.9658921787169324,LGBM_PHYCHEM
0,0.19929052319603788,LGBM_PHYCHEM
0,0.18706412048603385,LGBM_PHYCHEM
0,0.19339445201354052,LGBM_PHYCHEM
1,0.7608161845808539,LGBM_PHYCHEM
1,0.7718347468352963,LGBM_PHYCHEM
0,0.2715297686391141,LGBM_PHYCHEM
1,0.8818691548295448,LGBM_PHYCHEM
0,0.20061666668743683,LGBM_PHYCHEM
0,0.2725130475001419,LGBM_PHYCHEM
1,0.9198986717634071,LGBM_PHYCHEM
0,0.6009666265411698,LGBM_PHYCHEM
0,0.2238794488777868,LGBM_PHYCHEM
1,0.4814881368921207,LGBM_PHYCHEM
0,0.11215989184274017,LGBM_PHYCHEM
0,0.0681460774476412,LGBM_PHYCHEM
1,0.7653271755318288,LGBM_PHYCHEM
1,0.08976949366748016,LGBM_PHYCHEM
0,0.09280319482279224,LGBM_PHYCHEM
0,0.15940249334976833,LGBM_PHYCHEM
1,0.6813610317599101,LGBM_PHYCHEM
0,0.41719422339680906,LGBM_PHYCHEM
0,0.2675908634788295,LGBM_PHYCHEM
1,0.7818469904819767,LGBM_PHYCHEM
1,0.33119724288114555,LGBM_PHYCHEM
0,0.2669309919042158,LGBM_PHYCHEM
0,0.46633683062484205,LGBM_PHYCHEM
1,0.9777803422318101,LGBM_PHYCHEM
1,0.9883774695886435,LGBM_PHYCHEM
0,0.3947129863101006,LGBM_PHYCHEM
1,0.4174937654876966,LGBM_PHYCHEM
0,0.17030477788058984,LGBM_PHYCHEM
0,0.5231401110507546,LGBM_PHYCHEM
0,0.24259933152204494,LGBM_PHYCHEM
1,0.6677034941308845,LGBM_PHYCHEM
0,0.3043704446848196,LGBM_PHYCHEM
1,0.5920094569939146,LGBM_PHYCHEM
1,0.3963893339049494,LGBM_PHYCHEM
1,0.3338273042056974,LGBM_PHYCHEM
0,0.634401632598652,LGBM_PHYCHEM
1,0.5038513101480467,LGBM_PHYCHEM
0,0.4648762403337365,LGBM_PHYCHEM
1,0.7648094467133358,LGBM_PHYCHEM
0,0.7201483874145443,LGBM_PHYCHEM
0,0.379491241353826,LGBM_PHYCHEM
0,0.48260764277875295,LGBM_PHYCHEM
1,0.6487438443769395,LGBM_PHYCHEM
0,0.30277604983448053,LGBM_PHYCHEM
0,0.2993632654739689,LGBM_PHYCHEM
1,0.45108864026560674,LGBM_PHYCHEM
1,0.45108864026560674,LGBM_PHYCHEM
1,0.45108864026560674,LGBM_PHYCHEM
1,0.12698799901779553,LGBM_PHYCHEM
1,0.1681652100137884,LGBM_PHYCHEM
1,0.34696159596325193,LGBM_PHYCHEM
1,0.6640821753467491,LGBM_PHYCHEM
1,0.609571820991093,LGBM_PHYCHEM
1,0.4354020391114011,LGBM_PHYCHEM
0,0.6209754899993474,LGBM_PHYCHEM
0,0.5455076502310843,LGBM_PHYCHEM
0,0.4252682354223573,LGBM_PHYCHEM
0,0.16207541474758635,LGBM_PHYCHEM
0,0.3639710896183402,LGBM_PHYCHEM
1,0.9921228641490679,LGBM_PHYCHEM
0,0.21153763854946186,LGBM_PHYCHEM
0,0.5108040407223642,LGBM_PHYCHEM
1,0.35805930120652213,LGBM_PHYCHEM
1,0.608855113510887,LGBM_PHYCHEM
1,0.7994483826246567,LGBM_PHYCHEM
