scaffold,mean_shap,effect
O=C1C=C[C@H]2O[C@@]3(C=CCCO3)C=C[C@H]2C1,0.000275879,positive
O=C1C=C[C@H]2C[C@H]2CCC2O[C@@H]2[C@H]2CCCC12,0.000275879,positive
C=C1C[C@]23CC[C@H]1CC2[C@@]12CCCC4CN(CCOCC5=C[C@@]67CCC8C9CCC%10O[C@H]9NC[C@@]%108C6C[C@@H]5CC7)[C@@H]1C3CC42,0.000275879,positive
O=C1C=CO[C@H](c2ccccc2)[C@H]1c1ccc(/C=C/c2ccccc2)oc1=O,0.000275879,positive
O=C1C=CC2[C@@H](CCC3C4=CC(=O)C(c5ccoc5)C4CC[C@@H]32)C1,0.000275879,positive
O=C1C=CC2CO[C@@H]3[C@@H]2C1CC1C2=C[C@H](c4ccoc4)C[C@H]2O[C@@H]13,0.000275879,positive
O=C1C=C2C=CN(CCCCN3C=CC4=CC(=O)CC(=O)C4=C3)C=C2C(=O)C1,0.000275879,positive
O=C1C=C2C3CC4[C@@H]5C(CC[C@@H]4OC(=O)/C=C/c4ccccc4)CO[C@H]5[C@H]3O[C@@H]2C1,0.000275879,positive
C=C1CC[C@H]2CCCCC2[C@H]1CCC1=CC(=O)OC1,0.000275879,positive
C=C1[C@H]2C(CC[C@]34CC[C@H](CC[C@@H]13)C4)C[C@H]1O[C@H]12,0.000275879,positive
C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3C2=C1,0.000275879,positive
O=C1c2cc3c(cc2[C@]2(C=CCCC2)CN1CCc1ccccc1)OCO3,0.000275879,positive
O=c1oc2c3c(ccc2c2oc4ccccc4c12)OCC3,0.000275879,positive
C1CC[C@H](O[C@H]2CC[C@]34C[C@]35CCC3C(CC[C@@H]3C3CCCO3)[C@@H]5C[C@H](O[C@H]3CCCCO3)[C@H]4C2)OC1,0.000275879,positive
C(=C/[C@H]1c2ccccc2O[C@@H](c2ccccc2)[C@@H]1Cc1ccccc1)\c1ccccc1,0.000275879,positive
O=C(O[C@H]1[C@H](Oc2c(-c3ccccc3)oc3ccccc3c2=O)OCC[C@@H]1OC(=O)c1ccccc1)c1ccccc1,0.000275879,positive
O=C(O[C@H]1CCCCO1)[C@]12CCCC[C@H]1C1=CC[C@H]3C(CC[C@H]4CCCCC43)C1CC2,0.000275879,positive
O=C(O[C@H]1CCC2CO[C@@H]3[C@@H]2C1CC1C2=C[C@H](c4ccoc4)C[C@H]2O[C@@H]13)c1ccccc1,0.000275879,positive
O=C1c2ccc3c(c2O[C@@H]2COc4ccccc4C12)C=CCO3,0.000275879,positive
C=C1C[C@H]2C(CC[C@H]3CCCCC32)C2CC[C@@]34CCCC[C@H]3[C@@]12OC4=O,0.000275879,positive
C=C1C[C@H]2OC(=O)C(=C)[C@H]2C[C@H]2CCC[C@H]12,0.000275879,positive
O=C(Cc1ccccc1)O[C@H]1CCC2C(=O)C=C[C@H]3C[C@H]3CCC=C[C@H]21,0.000275879,positive
O=C1CC(=O)C2=C(C1)Oc1ccccc1C2c1ccccc1,0.000275879,positive
O=C(Cc1ccccc1)O[C@H]1CCC2C(=O)/C=C/[C@H]3C[C@H]3CCC=C[C@H]21,0.000275879,positive
O=C1C=CC[C@@H]2C[C@H]3O[C@@H]4C[C@@H](c5ccoc5)C=C4C3CC12,0.000275879,positive
O=c1cc(-c2ccccc2)oc2c([C@H]3CCCCO3)cc([C@H]3CCCCO3)cc12,0.000275879,positive
O=C1CC(c2ccccc2)Oc2cc3occc3cc21,0.000275879,positive
O=C(O[C@H]1CCC2C(CCC3C4CC[C@@]5(C(=O)O[C@H]6CCCCO6)CCCCC5C4=CCC23)C1)c1ccccc1,0.000275879,positive
O=C(O[C@H]1CCCCO1)[C@]12CCCCC1C1=CCC3C(CCC4C3CC[C@@H]3OCCCC43)C1CC2,0.000275879,positive
c1ccc(Oc2ccccc2OC2CCCC3CCCC[C@H]32)cc1,0.000275879,positive
O=C1CC=CC2C[C@H]3OC4C[C@@H](c5ccoc5)C=C4C3CC12,0.000275879,positive
O=C1c2ccccc2-c2cccc3ccnc1c23,0.000275879,positive
O=C1C=C[C@H]2CC3CC[C@]4(CCCO4)[C@@H]3C/C=C\C12,0.000275879,positive
O=C(CC1CCCc2ccccc21)c1ccoc1,0.000275879,positive
O=C(/C=C/c1ccccc1)O[C@H]1CCC2CO[C@H]3CC4C5=CC[C@@H](c6ccoc6)C5CC[C@@H]4C1[C@H]23,0.000275879,positive
c1ccc(CCc2ccccc2C[C@@H]2c3cc4c(cc3O[C@H]2c2ccccc2)CCc2ccccc2-4)cc1,0.000275879,positive
c1ccc(Cc2cccc3c2CCc2ccccc2-3)cc1,0.000275879,positive
C1=C2CC(OC3OCC(O[C@H]4CCC(O[C@H]5CCCCO5)CO4)C[C@@H]3O[C@H]3CCCCO3)CCC2[C@H]2CCC3c4cc(CCCCOC5CCCCO5)oc4C[C@H]3[C@@H]2C1,0.000275879,positive
O=C1NC2CC[C@H]3CC4CCC[C@@H]4C/C=C/1[C@H]23,0.000275879,positive
C1=C2[C@@H]3Cc4ccccc4[C@@]2(CCC1)CCN3,0.000275879,positive
C1=C2C3=CC[C@H]4C(CC[C@H]5CCCCC54)C3CCC2CCC1,0.000275879,positive
O=C1C[C@H]2CCCCC2C2CCCC=C12,0.000275879,positive
O=C1Cc2cc(=O)oc3cccc1c23,0.000275879,positive
O=C1NC2CC[C@H]3CC4CCC/C4=C/C=C/1[C@H]23,0.000275879,positive
O=C1N[C@@H]2CN[C@H]3CCC=C[C@]32c2cc3c(cc21)OCO3,0.000275879,positive
c1ccc(Oc2cccc([C@@H]3Oc4cccc(Oc5ccccc5)c4O[C@H]3COc3ccccc3-c3ccccc3)c2)cc1,0.000275879,positive
O=c1c(-c2ccccc2)coc2c([C@H]3CCCCO3)cccc12,0.000275879,positive
O=c1c(O[C@@H]2CCC[C@H](CO[C@@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.000275879,positive
O=c1c(-c2ccccc2)coc2cc3c(cc12)C=CCO3,0.000275879,positive
C1=C2C3CC4CCCC5CO[C@H]([C@@H]54)[C@H]3O[C@@H]2CC1c1ccoc1,0.000275879,positive
C1=C2CC[C@H]3CCCCC3C2CCC1,0.000275879,positive
c1ccc(Cc2cc(Cc3ccccc3)c(CCc3ccccc3Cc3ccccc3)c(Cc3ccccc3)c2)cc1,0.000275879,positive
c1ccc(Cc2ccc3c(c2)-c2ccccc2CC3)cc1,0.000275879,positive
O=C1C=CC[C@H](CC2=CCC3C2CC[C@@H]2C4C(=O)C=CC[C@]45O[C@@H]5C[C@@H]32)O1,0.000275879,positive
O=C1N[C@H]2CCC=C[C@]23c2cc4c(cc2C(=O)N(CCc2ccccc2)[C@H]13)OCO4,0.000275879,positive
O=c1cc(CCc2ccccc2)oc2c1[C@H]1C[C@H](C2)Oc2cccc(CCc3coc4ccccc4c3=O)c21,0.000275879,positive
O=c1cc(CCc2ccccc2)oc2c1[C@H]1C[C@@H](C2)Oc2cccc(CCc3coc4ccccc4c3=O)c21,0.000275879,positive
O=C1C=CC[C@H](CC2CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.000275879,positive
c1ccc(Cc2cccc3c2O[C@H](c2ccccc2)CC3)cc1,0.000275879,positive
O=C(/C=C/c1ccccc1)c1ccc2c(c1)CCCO2,0.000275879,positive
O=c1cc(CCc2ccccc2)oc2c1[C@@H]1C[C@H](C2)Oc2ccc3oc(CCc4ccccc4)cc(=O)c3c21,0.000275879,positive
O=C(/C=C/c1cccc2c1OCC2=O)OCCc1cccc2ccc(=O)oc12,0.000275879,positive
C=C1CCCC2CC3OC(=O)C=C3C[C@@H]12,0.000275879,positive
O=C1C=CC[C@H](CC2=CCC3C2CC[C@@H]2C4C(=O)CCC[C@@H]4CC[C@@H]32)O1,0.000275879,positive
C=C1CCCC2C[C@H]3OC(=O)C(=C)[C@H]3CC12,0.000275879,positive
c1ccc([C@@H]2COc3ccccc3O2)cc1,0.000275879,positive
O=C1C=CC[C@H](CC2=CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.000275879,positive
C=C1CC[C@@H]2CC(=O)CCC2[C@H]1COc1ccc2ccc(=O)oc2c1,0.000275879,positive
