scaffold,mean_shap,coverage,priority,diversity_flag
O=c1cc(-c2ccccc2)oc2ccccc12,0.000275173,45,0.001053539,TRUE
O=c1ccc2ccccc2o1,0.000275879,41,0.001031145,TRUE
c1ccc2c(c1)[nH]c1cnccc12,0.000275838,30,0.000947224,TRUE
O=C1CC(c2ccccc2)Oc2ccccc21,0.000275866,21,0.000852714,TRUE
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,0.000275877,18,0.000812303,TRUE
O=c1cc(-c2ccccc2)oc2c1ccc1occc12,0.000275879,16,0.000781624,TRUE
O=c1c(-c2ccccc2)coc2ccccc12,0.000275879,14,0.000747094,TRUE
C1CCC2CCCCC2C1,0.000275879,11,0.000685534,TRUE
O=c1c2ccccc2oc2ccccc12,0.000272353,9,0.000627116,TRUE
c1cc2c(o1)CC1C(CCC3CCCCC31)C2,0.000275879,8,0.000606168,TRUE
O=c1ccc2nccc3c4ccccc4n1c23,0.000275878,8,0.000606166,TRUE
O=C1C=C2C=CNC=C2C(=O)C1,0.000275879,7,0.000573674,TRUE
O=c1ccc2cc3ccoc3cc2o1,0.000275879,7,0.000573674,TRUE
O=c1oc2ccccc2c2oc3ccccc3c12,0.000275879,7,0.000573674,TRUE
O=c1cc(-c2ccc3c(c2)OCO3)oc2c1ccc1occc12,0.000275879,5,0.000494309,TRUE
c1ccc(CCc2ccccc2Cc2ccccc2)cc1,0.000275879,5,0.000494309,TRUE
c1ccc(C2CCc3ccccc3O2)cc1,0.000275865,5,0.000494284,TRUE
c1ccoc1,0.000178226,5,0.000319338,TRUE
c1ccc(-c2cc3ccccc3o2)cc1,4.71E-05,15,0.000130589,TRUE
c1ccccc1,8.52E-06,100,3.93E-05,TRUE
