Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Fingerprint,Run,Seed
0.7549644061446235,0.7538098084101084,0.8246879193495641,0.8215913802829761,0.5077716636000837,0.7393403057119872,0.7357886309047238,0.7718309859154929,0.7375601926163724,ECFP,1,42
0.7530910453353316,0.7533508496938396,0.8258618162135343,0.8239169358989212,0.5058106890268214,0.7265745007680492,0.7574059247397918,0.7492957746478873,0.7416699333594668,ECFP,2,43
0.7500936680404646,0.7488948905603356,0.8226725042005436,0.818261691379117,0.4979647303946309,0.7342995169082126,0.7301841473178543,0.7676056338028169,0.7322360497792051,ECFP,3,44
0.7302360434619708,0.7208324406003677,0.8019894789070694,0.8036952091246268,0.46552679061693747,0.7922651933701658,0.5740592473979184,0.8676056338028169,0.6657381615598886,MACCS,1,42
0.7530910453353316,0.7506994327856651,0.810834301243812,0.8129079398505177,0.5032460363992639,0.74748322147651,0.7133706965572458,0.7880281690140845,0.7300286767718148,MACCS,2,43
0.7426002248032971,0.738092445787616,0.8077602927412353,0.8098532797583786,0.48232963994613415,0.7540687160940326,0.6677341873498799,0.8084507042253521,0.70828025477707,MACCS,3,44
0.7643312101910829,0.7588042264797754,0.8342186425196494,0.8296734811000495,0.5278320982678767,0.7924528301886793,0.6725380304243395,0.8450704225352113,0.7275877003031616,RDKIT,1,42
0.766579243162233,0.7623149223604235,0.8322201423110318,0.8294687109624067,0.5309843049569148,0.7814748201438849,0.6957566052842273,0.8288732394366197,0.7361287590004235,RDKIT,2,43
0.7658298988385163,0.7597788089626631,0.8338453861680893,0.8280869322551864,0.5317817771824581,0.8005780346820809,0.6653322658126501,0.854225352112676,0.7267162221250547,RDKIT,3,44
