Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Fingerprint,Run,Seed
0.7736980142375421,0.7709333664114391,0.8511730511169499,0.8411656721277676,0.5447573235305554,0.7749360613810742,0.7277822257806245,0.8140845070422535,0.7506193228736582,ECFP,1,42
0.7759460472086924,0.7729978348876284,0.8533742486947304,0.8446982000753058,0.549322906098616,0.7793991416309013,0.7269815852682145,0.8190140845070423,0.752278376139188,ECFP,2,43
0.7811914574747096,0.778072035092863,0.8550003382988081,0.8461995500589543,0.5599769197333581,0.7873811581676751,0.7293835068054444,0.8267605633802817,0.7572734829592684,ECFP,3,44
0.7707006369426752,0.7670558982397185,0.8499433349496499,0.8432836769698707,0.5389493424051249,0.7801231310466139,0.7101681345076061,0.823943661971831,0.7435037720033529,MACCS,1,42
0.7766953915324092,0.7732681920184035,0.8488692362340577,0.8417357156725791,0.5509970119092787,0.7851528384279476,0.7197758206565252,0.8267605633802817,0.7510442773600668,MACCS,2,43
0.7721993255901086,0.7684161413637953,0.8507541244263016,0.843227733771166,0.5420689678651682,0.7833775419982316,0.7093674939951962,0.8274647887323944,0.7445378151260504,MACCS,3,44
0.793555638816036,0.7910415656468837,0.8728923984257828,0.8660499273342945,0.5848197792404856,0.7957627118644067,0.7518014411529224,0.8302816901408451,0.7731576780568135,RDKIT,1,42
0.7961783439490446,0.7938438074403185,0.8716378736792251,0.8656442928014753,0.590095725083755,0.7969671440606572,0.7574059247397918,0.8302816901408451,0.7766830870279147,RDKIT,2,43
0.7950543274634695,0.7926910542518522,0.8748370527407843,0.8659404974238082,0.5878302292515803,0.7959527824620574,0.755804643714972,0.8295774647887324,0.7753593429158111,RDKIT,3,44
0.7040089921318846,0.7010535188714352,0.7695804530948702,0.7545157120003723,0.4041051848315622,0.6949872557349193,0.6549239391513211,0.7471830985915493,0.674361088211047,PHYCHEM,1,42
0.6927688272761334,0.6895259869867725,0.7612233448730816,0.7438858567841867,0.38128854644118587,0.6838046272493573,0.6389111289031225,0.7401408450704225,0.6605960264900662,PHYCHEM,2,43
0.7002622705133008,0.6971467314696829,0.7654199415870725,0.746805607296466,0.3964702585773093,0.6917164816396243,0.6485188150520417,0.745774647887324,0.6694214876033058,PHYCHEM,3,44
0.7793180966654177,0.7758776034912437,0.8522671658453524,0.8425784423434082,0.5563190063666186,0.7884615384615384,0.722177742193755,0.8295774647887324,0.7538654408692018,ESTATE,1,42
0.7770700636942676,0.773861342595203,0.8540421069249766,0.8444359371629909,0.5516668645225369,0.7833622183708839,0.7237790232185749,0.823943661971831,0.7523928422804828,ESTATE,2,43
0.7763207193705508,0.7729160793423471,0.8537522976127381,0.8456431183861314,0.5502274466390739,0.7844677137870855,0.7197758206565252,0.826056338028169,0.7507306889352818,ESTATE,3,44
