,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
RDKIT,0.795 ± 0.001,0.793 ± 0.001,0.873 ± 0.001,0.866 ± 0.000,0.588 ± 0.002,0.796 ± 0.001,0.755 ± 0.002,0.830 ± 0.000,0.775 ± 0.001
ESTATE,0.778 ± 0.001,0.774 ± 0.001,0.853 ± 0.001,0.844 ± 0.001,0.553 ± 0.003,0.785 ± 0.002,0.722 ± 0.002,0.827 ± 0.002,0.752 ± 0.001
ECFP,0.777 ± 0.003,0.774 ± 0.003,0.853 ± 0.002,0.844 ± 0.002,0.551 ± 0.006,0.781 ± 0.005,0.728 ± 0.001,0.820 ± 0.005,0.753 ± 0.003
MACCS,0.773 ± 0.003,0.770 ± 0.003,0.850 ± 0.001,0.843 ± 0.001,0.544 ± 0.005,0.783 ± 0.002,0.713 ± 0.005,0.826 ± 0.002,0.746 ± 0.003
PHYCHEM,0.699 ± 0.005,0.696 ± 0.005,0.765 ± 0.003,0.748 ± 0.004,0.394 ± 0.009,0.690 ± 0.005,0.647 ± 0.007,0.744 ± 0.003,0.668 ± 0.006
