canonical_smiles,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_avg,ID,lipinski_rule_of_five_violations,sa_score,y_pred
COC(=O)c1cc2c(cc1OC)[nH]c1ccccc12,0.999893,0.9999962,0.9126236,0.85831356,0.8263615,0.72849184,0.8876132833333333,11165,0,1.908089969,1
COc1ccc(C(=O)/C=C/c2ccc(O)c(OC)c2)c(OC)c1,0.99999976,1.0,1.0,0.9968999,0.9716751,0.9785797,0.99119241,11180,0,1.978784725,1
COc1cc2c(cc1OC)C(=O)CCC2,0.7645693,0.9987378,0.9809931,0.8023872,0.512716,0.8208308,0.8133723666666667,11351,0,1.881785866,1
COc1cc(/C=C/C(=O)O)cc(OC)c1O,0.99999976,1.0,1.0,0.9894881,0.9365099,0.97696894,0.9838277833333334,11374,0,1.977193198,1
COc1ccc(CCc2cc(OC)c(O)c(OC)c2)cc1O,0.999996,0.9998932,0.9999996,0.9668974,0.819314,0.97415096,0.96004186,11609,0,1.982310999,1
Cc1ccc2c(c1)C(=O)c1cc(O)ccc1C2=O,0.9993644,1.0,0.8317258,0.9221402,0.82541966,0.8308156,0.90157761,11757,0,1.952383426,1
CC(=O)c1ccc2ccccc2c1,0.99999356,0.99662656,0.99923325,0.9016919,0.539187,0.853884,0.8817693783333332,12345,0,1.382021039,1
COc1ccc2oc(=O)ccc2c1,0.9955597,0.9979395,0.8663512,0.86228746,0.6347582,0.6628801,0.83662936,12485,0,1.737418128,1
O=C(CCCCc1ccc(O)cc1)CCc1ccc(O)cc1,0.9999995,1.0,0.99596435,0.9643769,0.868305,0.94183487,0.96174677,12795,0,1.90391017,1
CCCCCCCC(=O)OCCCCCC,0.99998003,0.99999905,0.78585076,0.80895275,0.512152,0.71196246,0.8031495083333332,12940,0,1.70104386,1
COc1c(O)c(-c2ccccc2)cc(O)c1-c1ccccc1,0.9999819,0.99999994,0.99999833,0.93863106,0.9097957,0.9660755,0.969080405,13143,0,1.950784896,1
COc1ccc2cc(C(=O)c3ccccc3)c(=O)oc2c1,0.99994963,0.9923733,0.9912768,0.8253295,0.67520314,0.68476367,0.8614826733333333,13199,0,1.835282082,1
COc1cc2c(C)cccc2ccc1=O,0.99967355,0.9934886,0.9959114,0.8889377,0.62661654,0.8594225,0.8940083816666666,13263,0,1.898028723,1
O=C1c2ccccc2C(=C2c3ccccc3C(=O)c3ccccc32)c2ccccc21,0.7137273,0.9931095,1.0,0.89263916,0.8537032,0.9801015,0.9055467766666666,13607,1,1.666207803,1
COC(=O)c1ccc(O)c(OC)c1,0.9997089,0.5762564,0.984135,0.7907235,0.6270444,0.6141964,0.7653441000000001,14488,0,1.552224805,1
