,BILSTM_ECFP,BILSTM_MACCS,BILSTM_RDKIT,XGB_ECFP,XGB_MACCS,XGB_RDKIT
BILSTM_ECFP,1.0,0.7973977695167286,0.7864768683274022,0.6859504132231405,0.7939508506616257,0.8021978021978022
BILSTM_MACCS,0.7973977695167286,1.0,0.856637168141593,0.6653771760154739,0.9042145593869731,0.8709090909090909
BILSTM_RDKIT,0.7864768683274022,0.856637168141593,1.0,0.6268115942028986,0.8476702508960573,0.9207207207207208
XGB_ECFP,0.6859504132231405,0.6653771760154739,0.6268115942028986,1.0,0.6759443339960238,0.6411214953271028
XGB_MACCS,0.7939508506616257,0.9042145593869731,0.8476702508960573,0.6759443339960238,1.0,0.861878453038674
XGB_RDKIT,0.8021978021978022,0.8709090909090909,0.9207207207207208,0.6411214953271028,0.861878453038674,1.0
