,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,
ECFP,0.767 ± 0.002,0.767 ± 0.002,0.841 ± 0.001,0.851 ± 0.001,0.533 ± 0.004,0.764 ± 0.005,0.771 ± 0.009,0.762 ± 0.010,0.768 ± 0.002,BiLSTM
MACCS,0.753 ± 0.012,0.753 ± 0.012,0.822 ± 0.004,0.839 ± 0.004,0.512 ± 0.018,0.789 ± 0.019,0.692 ± 0.056,0.814 ± 0.034,0.736 ± 0.025,BiLSTM
RDKIT,0.776 ± 0.001,0.776 ± 0.001,0.848 ± 0.001,0.858 ± 0.001,0.555 ± 0.001,0.811 ± 0.007,0.718 ± 0.010,0.833 ± 0.009,0.762 ± 0.003,BiLSTM
PHYCHEM,0.656 ± 0.017,0.656 ± 0.017,0.730 ± 0.001,0.718 ± 0.001,0.325 ± 0.018,0.633 ± 0.031,0.761 ± 0.074,0.552 ± 0.107,0.688 ± 0.011,BiLSTM
ESTATE,0.775 ± 0.002,0.775 ± 0.002,0.849 ± 0.002,0.854 ± 0.003,0.551 ± 0.004,0.789 ± 0.006,0.750 ± 0.013,0.800 ± 0.010,0.769 ± 0.004,BiLSTM
