,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
RDKIT,0.805 ± 0.001,0.805 ± 0.001,0.883 ± 0.001,0.891 ± 0.000,0.611 ± 0.002,0.816 ± 0.001,0.788 ± 0.002,0.823 ± 0.001,0.802 ± 0.001
ECFP,0.789 ± 0.003,0.789 ± 0.003,0.865 ± 0.002,0.867 ± 0.002,0.578 ± 0.005,0.804 ± 0.004,0.763 ± 0.001,0.815 ± 0.004,0.783 ± 0.002
ESTATE,0.781 ± 0.003,0.781 ± 0.003,0.859 ± 0.000,0.864 ± 0.001,0.564 ± 0.005,0.803 ± 0.002,0.745 ± 0.004,0.817 ± 0.002,0.773 ± 0.003
MACCS,0.780 ± 0.002,0.780 ± 0.002,0.859 ± 0.000,0.866 ± 0.000,0.562 ± 0.005,0.803 ± 0.002,0.742 ± 0.003,0.819 ± 0.002,0.771 ± 0.003
PHYCHEM,0.707 ± 0.005,0.707 ± 0.005,0.779 ± 0.002,0.780 ± 0.002,0.415 ± 0.011,0.725 ± 0.006,0.666 ± 0.005,0.748 ± 0.005,0.694 ± 0.006
