,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.763 ± 0.003,0.763 ± 0.003,0.835 ± 0.004,0.842 ± 0.002,0.526 ± 0.006,0.770 ± 0.007,0.750 ± 0.008,0.776 ± 0.011,0.760 ± 0.003
ESTATE,0.756 ± 0.004,0.756 ± 0.004,0.830 ± 0.003,0.838 ± 0.004,0.516 ± 0.008,0.792 ± 0.005,0.695 ± 0.007,0.817 ± 0.006,0.740 ± 0.004
MACCS,0.759 ± 0.006,0.759 ± 0.006,0.831 ± 0.002,0.838 ± 0.001,0.519 ± 0.012,0.777 ± 0.013,0.725 ± 0.007,0.792 ± 0.017,0.750 ± 0.004
PHYCHEM,0.665 ± 0.010,0.665 ± 0.010,0.741 ± 0.001,0.726 ± 0.001,0.345 ± 0.012,0.684 ± 0.059,0.659 ± 0.144,0.670 ± 0.157,0.656 ± 0.047
RDKIT,0.769 ± 0.003,0.769 ± 0.003,0.843 ± 0.006,0.851 ± 0.005,0.539 ± 0.007,0.767 ± 0.021,0.774 ± 0.036,0.764 ± 0.038,0.770 ± 0.008
