Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Fingerprint,Run,Seed
0.7961260669730794,0.7961119676072028,0.8777772891726248,0.8791724588085178,0.5927806805406699,0.8091969800960879,0.7746386333771353,0.8175853018372703,0.7915407854984894,ECFP,1,42
0.7984241628365069,0.7984089866559059,0.878416858947165,0.880920173876494,0.5974674316025026,0.8126721763085399,0.7752956636005256,0.821522309711286,0.7935440484196369,ECFP,2,43
0.7964543663821405,0.7964391893523165,0.8778555378508042,0.8816551786276062,0.5935235499220554,0.8106060606060606,0.7733245729303548,0.8195538057742782,0.7915265635507733,ECFP,3,44
0.7820091923834537,0.7819754708716602,0.8520849931537796,0.8628359502198142,0.5669713912243405,0.8140556368960469,0.7306176084099869,0.8333333333333334,0.7700831024930748,ESTATE,1,42
0.778397898883782,0.778363098009595,0.8521319854729066,0.8619521264307621,0.55990255776457,0.8111682586333578,0.7253613666228647,0.8313648293963255,0.7658688865764828,ESTATE,2,43
0.7777413000656599,0.7777073611527863,0.8517517356979523,0.8623081352020584,0.5584277796757926,0.8095238095238095,0.7260183968462549,0.8293963254593176,0.7655005195704884,ESTATE,3,44
0.7767564018384767,0.7767244025508638,0.8556488647690391,0.8629441888543683,0.556116474571353,0.8064046579330422,0.7279894875164258,0.8254593175853019,0.7651933701657458,MACCS,1,42
0.7839789888378201,0.7839469926640248,0.8578016734439075,0.8645860892883002,0.5706312817729575,0.8144104803493449,0.7352168199737188,0.8326771653543307,0.7727900552486188,MACCS,2,43
0.7777413000656599,0.7777082233971739,0.855798033048103,0.8623085217570216,0.5582777122254066,0.8086194302410519,0.7273324572930355,0.8280839895013123,0.7658249740574196,MACCS,3,44
0.7025607353906763,0.7025463801256118,0.7712954963251144,0.767780483163826,0.4054852320935288,0.7115384615384616,0.6806833114323259,0.7244094488188977,0.6957689724647415,PHYCHEM,1,42
0.7045305318450427,0.7045183330401703,0.7728386982179133,0.7702563384231351,0.4093233511266243,0.7121418826739427,0.6859395532194481,0.7230971128608924,0.6987951807228916,PHYCHEM,2,43
0.7038739330269206,0.7038613028167799,0.7707115413135776,0.7677362241514903,0.40802880440010886,0.7117486338797814,0.6846254927726675,0.7230971128608924,0.6979236436704621,PHYCHEM,3,44
0.8026920551543008,0.8026788208635549,0.873170317409404,0.8802669656289315,0.605859744782164,0.8151950718685832,0.7825229960578186,0.8228346456692913,0.7985249748575259,RDKIT,1,42
0.8020354563361786,0.8020226528845523,0.8737068489796199,0.880541944338484,0.6045144728111681,0.8140806561859193,0.7825229960578186,0.821522309711286,0.7979899497487437,RDKIT,2,43
0.7997373604727511,0.7997269272024308,0.8704732169648308,0.8785510227022333,0.5997642207090531,0.8093622795115333,0.7838370565045992,0.8156167979002624,0.7963951935914553,RDKIT,3,44
