Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Fingerprint,Run,Seed
0.7823374917925148,0.7823169196491699,0.8655030247533119,0.8714760058062212,0.5657587783932604,0.8009810791871058,0.7509855453350854,0.8136482939632546,0.775178026449644,ECFP,1,42
0.7892317793827971,0.7892114257728297,0.8653961064492431,0.8696622440650218,0.5795513068921165,0.8081232492997199,0.7582128777923784,0.8202099737532809,0.7823728813559322,ECFP,2,43
0.7872619829284307,0.7872390417360773,0.8653646345290938,0.8726338818617985,0.5759010173177889,0.8086158192090396,0.7522996057818659,0.8221784776902887,0.7794417971409122,ECFP,3,44
0.7754432042022325,0.7753995640492376,0.8469272627879465,0.8556873240780626,0.5557579610413694,0.8174242424242424,0.7089356110381078,0.8418635170603674,0.7593244194229416,ESTATE,1,42
0.7728168089297439,0.77277747886639,0.8438438768577055,0.8525245047044042,0.5495363235012889,0.8097014925373134,0.7128777923784494,0.8326771653543307,0.7582110412299091,ESTATE,2,43
0.7728168089297439,0.7727770477441962,0.8460300975025954,0.854694019768396,0.5496239389331263,0.8101644245142003,0.7122207621550591,0.8333333333333334,0.7580419580419581,ESTATE,3,44
0.7859487852921865,0.785919376700777,0.8636297988211394,0.8722120259915112,0.5741663477488541,0.8138528138528138,0.7411300919842313,0.8307086614173228,0.7757909215955984,MACCS,1,42
0.7898883782009193,0.7898619891633125,0.8642361721867553,0.8706801335586115,0.5816237608938394,0.815,0.7496714848883048,0.8300524934383202,0.7809719370294319,MACCS,2,43
0.7859487852921865,0.7859254124114906,0.8635646993698719,0.8710261597001164,0.5733209075040508,0.8076379066478077,0.7503285151116952,0.821522309711286,0.7779291553133515,MACCS,3,44
0.706172028890348,0.7061527172769633,0.7771721229491517,0.7790577508793296,0.4130271399846162,0.7187718073970691,0.6767411300919842,0.7355643044619422,0.6971235194585449,PHYCHEM,1,42
0.7025607353906763,0.7025377576817352,0.7771473334230068,0.7776053732996677,0.40607885331043736,0.7175141242937854,0.6675427069645203,0.7375328083989501,0.6916269571136828,PHYCHEM,2,43
0.7038739330269206,0.7038488002731591,0.7774868421506446,0.7768443740526355,0.40890590367359214,0.7204836415362731,0.6655716162943496,0.7421259842519685,0.6919398907103825,PHYCHEM,3,44
0.8079448456992777,0.8079311825509328,0.8852988625272038,0.8953444184336548,0.6164067216665747,0.8211103495544894,0.7871222076215506,0.8287401574803149,0.8037571284803757,RDKIT,1,42
0.8000656598818122,0.8000519933365753,0.8813797462242318,0.8930674546999079,0.6006344145141176,0.8128855380397533,0.7792378449408672,0.8208661417322834,0.7957061388795706,RDKIT,2,43
0.8049901510177282,0.804973253179095,0.8817293863234245,0.8927728541089358,0.6107686052448248,0.8213296398891967,0.7792378449408672,0.8307086614173228,0.7997302764666218,RDKIT,3,44
