,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
ECFP,0.788 ± 0.002,0.788 ± 0.002,0.868 ± 0.001,0.872 ± 0.001,0.578 ± 0.004,0.813 ± 0.002,0.749 ± 0.004,0.828 ± 0.001,0.780 ± 0.003
MACCS,0.789 ± 0.002,0.789 ± 0.002,0.866 ± 0.000,0.875 ± 0.001,0.581 ± 0.004,0.815 ± 0.001,0.749 ± 0.005,0.830 ± 0.001,0.780 ± 0.003
RDKIT,0.808 ± 0.002,0.808 ± 0.002,0.884 ± 0.002,0.896 ± 0.001,0.616 ± 0.003,0.823 ± 0.001,0.784 ± 0.004,0.831 ± 0.002,0.803 ± 0.002
PHYCHEM,0.709 ± 0.004,0.709 ± 0.004,0.779 ± 0.002,0.779 ± 0.002,0.418 ± 0.009,0.723 ± 0.004,0.677 ± 0.007,0.740 ± 0.002,0.699 ± 0.005
ESTATE,0.773 ± 0.004,0.773 ± 0.004,0.850 ± 0.001,0.859 ± 0.002,0.550 ± 0.007,0.810 ± 0.004,0.712 ± 0.005,0.833 ± 0.003,0.758 ± 0.004
