,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
ECFP,0.797 ± 0.001,0.797 ± 0.001,0.878 ± 0.000,0.881 ± 0.001,0.595 ± 0.002,0.811 ± 0.001,0.774 ± 0.001,0.820 ± 0.002,0.792 ± 0.001
ESTATE,0.779 ± 0.002,0.779 ± 0.002,0.852 ± 0.000,0.862 ± 0.000,0.562 ± 0.004,0.812 ± 0.002,0.727 ± 0.002,0.831 ± 0.002,0.767 ± 0.002
MACCS,0.779 ± 0.003,0.779 ± 0.003,0.856 ± 0.001,0.863 ± 0.001,0.562 ± 0.006,0.810 ± 0.003,0.730 ± 0.004,0.829 ± 0.003,0.768 ± 0.003
PHYCHEM,0.704 ± 0.001,0.704 ± 0.001,0.772 ± 0.001,0.769 ± 0.001,0.408 ± 0.002,0.712 ± 0.000,0.684 ± 0.002,0.724 ± 0.001,0.697 ± 0.001
RDKIT,0.801 ± 0.001,0.801 ± 0.001,0.872 ± 0.001,0.880 ± 0.001,0.603 ± 0.003,0.813 ± 0.003,0.783 ± 0.001,0.820 ± 0.003,0.798 ± 0.001
