,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.786 ± 0.003,0.786 ± 0.003,0.865 ± 0.000,0.871 ± 0.001,0.574 ± 0.006,0.806 ± 0.003,0.754 ± 0.003,0.819 ± 0.004,0.779 ± 0.003
ESTATE,0.774 ± 0.001,0.774 ± 0.001,0.846 ± 0.001,0.854 ± 0.001,0.552 ± 0.003,0.812 ± 0.004,0.711 ± 0.002,0.836 ± 0.004,0.759 ± 0.001
MACCS,0.787 ± 0.002,0.787 ± 0.002,0.864 ± 0.000,0.871 ± 0.001,0.576 ± 0.004,0.812 ± 0.003,0.747 ± 0.004,0.827 ± 0.004,0.778 ± 0.002
PHYCHEM,0.704 ± 0.001,0.704 ± 0.001,0.777 ± 0.000,0.778 ± 0.001,0.409 ± 0.003,0.719 ± 0.001,0.670 ± 0.005,0.738 ± 0.003,0.694 ± 0.003
RDKIT,0.804 ± 0.003,0.804 ± 0.003,0.883 ± 0.002,0.894 ± 0.001,0.609 ± 0.007,0.818 ± 0.004,0.782 ± 0.004,0.827 ± 0.004,0.800 ± 0.003
