Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Fingerprint,Run,Seed
0.7590282337491793,0.7590220941501892,0.8292661265567822,0.8388001041429308,0.5181380167313272,0.7637215528781793,0.7496714848883048,0.7683727034120735,0.756631299734748,ECFP,1,42
0.7639527248850952,0.7639502519478101,0.8378603319295995,0.844327607608637,0.527916777306142,0.7657180675049636,0.7601839684625493,0.7677165354330708,0.7629409825255523,ECFP,2,43
0.7662508207485227,0.7662339062085045,0.8381207297346702,0.8428833936260378,0.5331854838704787,0.7804709141274239,0.740473061760841,0.791994750656168,0.7599460552933244,ECFP,3,44
0.7613263296126067,0.7612876412787429,0.8342721019103887,0.8424574430293819,0.5262636135555235,0.7959791511541325,0.702365308804205,0.8202099737532809,0.7462478184991274,ESTATE,1,42
0.7547603414313854,0.754715183433871,0.8272780065599553,0.8330691052115342,0.5143431908366498,0.7951256664127951,0.6859395532194481,0.823490813648294,0.7365079365079366,ESTATE,2,43
0.7524622455679579,0.752425493462463,0.827538404365026,0.8385799645614449,0.5080634705302284,0.7840236686390533,0.6964520367936925,0.8083989501312336,0.7376478775226165,ESTATE,3,44
0.7580433355219961,0.7580274952490335,0.8289975374300289,0.8373935697305872,0.5166651173701448,0.7708764665286404,0.7339027595269383,0.7821522309711286,0.7519353752945136,MACCS,1,42
0.7662508207485227,0.7662179546873329,0.8341835062995575,0.8395506219439344,0.5351430100928191,0.7956204379562044,0.7161629434954008,0.8162729658792651,0.7538035961272476,MACCS,2,43
0.752133946158897,0.752116809971684,0.8309449163795394,0.8377216383226985,0.5049305898311172,0.7657657657657657,0.7260183968462549,0.7782152230971129,0.7453625632377741,MACCS,3,44
0.6651346027577151,0.6650197798862527,0.7423292583663573,0.7283156219604594,0.3523194800895715,0.7535353535353535,0.49014454664914586,0.8398950131233596,0.5939490445859873,PHYCHEM,1,42
0.6769533814839134,0.6769329794682366,0.7391393852542414,0.7260248078122113,0.3545563222791801,0.688375350140056,0.6458607095926413,0.708005249343832,0.6664406779661017,PHYCHEM,2,43
0.6516743269862114,0.6517989866903957,0.7406828027081371,0.7248401542648002,0.3281479892507483,0.609709662065683,0.8416557161629435,0.46194225721784776,0.7071487717361303,PHYCHEM,3,44
0.7701904136572554,0.7702239421123608,0.8520063133534064,0.8576482963749715,0.5432685993553016,0.7449344457687723,0.8212877792378449,0.7191601049868767,0.78125,RDKIT,1,42
0.7642810242941562,0.7642835094036373,0.8391092929251123,0.8482517563926154,0.5285806919561726,0.7620599739243807,0.7680683311432326,0.760498687664042,0.7650523560209425,RDKIT,2,43
0.7718319107025607,0.7718061605637009,0.8386531656440449,0.8477081771101045,0.5453075165486005,0.7947255880256593,0.7325886990801577,0.8110236220472441,0.7623931623931623,RDKIT,3,44
