Configuration,Brier_Score,Calibration_Intercept,Calibration_Slope,ICI,Brier_Mean,Brier_Std,Intercept_Mean,Intercept_Std,Slope_Mean,Slope_Std,ICI_Mean,ICI_Std
XGB_RDKIT,0.139 ± 0.001,0.016 ± 0.002,0.783 ± 0.005,0.136 ± 0.002,0.1385995563031581,0.0007173440137305671,0.01612626545053417,0.002146943940597154,0.783189466651903,0.005186760819694453,0.1364064457107896,0.0017047575030624243
Consensus 2,0.134 ± 0.001,0.039 ± 0.005,1.155 ± 0.005,0.179 ± 0.002,0.13411023902081334,0.0006966273607617658,0.03937052604531783,0.0051465568410873986,1.154703661590989,0.005358927105081077,0.17865676942925576,0.0019737216435307733
Consensus 3,0.135 ± 0.000,0.064 ± 0.003,1.202 ± 0.004,0.188 ± 0.005,0.13468919052423164,0.0004881757565577312,0.06406767942670129,0.0030339200330887143,1.2021587437090322,0.004119480842921234,0.18753297344607664,0.004580961179179606
Consensus 4,0.135 ± 0.001,0.144 ± 0.019,1.079 ± 0.025,0.167 ± 0.002,0.13466482152219328,0.0009298323720142083,0.14412954686529905,0.019125821234053174,1.079368404248206,0.024580129331412813,0.1667470983549301,0.0017907712318626877
Consensus 5,0.135 ± 0.001,0.095 ± 0.026,0.980 ± 0.021,0.154 ± 0.005,0.13519237587048602,0.0010211016797826097,0.09503934795169144,0.025658805850839,0.9801524188688444,0.021263071760908275,0.15358687544475838,0.004886287314755818
Consensus 6,0.136 ± 0.001,0.126 ± 0.065,0.974 ± 0.016,0.156 ± 0.006,0.13606562051759005,0.0009491057067050197,0.12583561941926136,0.06478662090693467,0.9735834825906017,0.01628957818726698,0.15580040267808604,0.005786314364175258
