Feature,Centroid_Distance,Wasserstein_UMAP1,Wasserstein_UMAP2,Partition_AUROC
ECFP,0.0952,0.1758,0.1811,0.519
MACCS,0.1499,0.2424,0.4284,0.495
PHYCHEM,0.4956,0.2899,0.413,0.499
RDKIT,0.2374,0.2289,0.234,0.5
ESTATE,0.4766,0.4781,0.1121,0.491
