rgroup_label,clean_smi,mean_shap,effect
R2,C/C(=C\CO)CC/C=C(\C)CCC(O)C(C)(C)O,0.002464255,Positive
R1,CC(C)=CCC/C(C)=C/CCC(C)(O)CC,0.002382005,Positive
R8,C/C=C\CC/C(C)=C/CC/C(C)=C/CCC(C)(O)CC,0.002242259,Positive
R2,C/C(=C\CO)CCC(O)C(C)(C)O,0.002139982,Positive
R3,CN(N)CC(C)(O),0.002037986,Positive
R2,CC(C)=CC(O)C/C(C)=C/CO,0.001944223,Positive
R4,CCCCCCCC(=O)OCC(=O).O,0.001807122,Positive
R1,CC(C)=CCC/C(C)=C/C,0.001776986,Positive
R2,CC(C)=CCC/C(C)=C/C,0.001776986,Positive
R8,CC(C)=CCC/C(C)=C/C,0.001776986,Positive
R3,CC(C)=CCC/C(C)=C/C,0.001776986,Positive
R4,CC(C)=CCC/C(C)=C/C,0.001776986,Positive
R5,CC(C)=CCC/C(C)=C/C,0.001776986,Positive
R7,CC(C)=CCC/C(C)=C/C,0.001776986,Positive
R5,CCCCCCNC(=O)N,0.001697308,Positive
R1,C=C(C)C(O)C,0.001681015,Positive
R1,C=C(C)[C@@H](O)C,0.001681015,Positive
R4,C=C(C)[C@@H](O)C,0.001681015,Positive
R3,C=C(C)C(O)C,0.001681015,Positive
R2,CC(C)=CCC/C(C)=C/CO,0.001661703,Positive
R1,CCO[C@H](C)C(C)(C)O,0.001659714,Positive
R2,C=C(C)C(O)CC/C(C)=C/CO,0.001656873,Positive
R2,C/C(=C\CO)CCC=O,0.001601366,Positive
R3,CC(C)(O)CC(=O),0.001588111,Positive
R2,C/C(=C\CO)C/C=C/C(C)(C)O,0.001550104,Positive
R3,CCCCCCCCC[C@H](O)CC(=O)CC,0.001538605,Positive
R3,CCCCCCC[C@H](O)CC(=O)CC,0.001538605,Positive
R6,COC(CN(C)N),0.00150714,Positive
R3,COC(CN(C)N),0.00150714,Positive
R1,COC(CN(C)N),0.00150714,Positive
R5,COC(CN(C)N),0.00150714,Positive
R3,N#CC(C#N)=C,0.001484846,Positive
R3,CCCCCCNC(=O)O,0.001476539,Positive
R5,CCCCCCCCNC(=O)O,0.001476539,Positive
R5,CCCCCCCNC(=O)O,0.001476539,Positive
R4,CCCCCCNC(=O)O,0.001476539,Positive
R5,CCCCCCNC(=O)O,0.001476539,Positive
R6,CCCCCCN(C(=O)CCl),0.001460298,Positive
R5,CCCCCCCN(C(=O)CCl),0.001460298,Positive
R3,N#C/C(=N\N)C(N)=S,0.001457522,Positive
R3,N#C/C(=N/N)C(N)=S,0.001457522,Positive
R6,CC(C)CN(N)CC(O),0.001456551,Positive
R2,CCCCC/C=C/C/C=C\CCCCCCCC(=O)OC,0.001448368,Positive
R3,O=C(CCO),0.001441342,Positive
R1,O=C(CCl),0.001418873,Positive
R6,O=C(CCl),0.001418873,Positive
R3,CN(N)CC(O),0.001418808,Positive
R5,CN(N)CC(O),0.001418808,Positive
R6,CN(N)CC(O),0.001418808,Positive
R1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC,0.001417461,Positive
R4,C=C(C)[C@H](CC=C(C)C)C,0.001415998,Positive
R4,CC(C)CC[C@@H](O)C(C)(O),0.001396483,Positive
R4,CC(C)CC[C@@H](O)[C@](C)(O),0.001395911,Positive
R3,CN(N)CC,0.00138363,Positive
R5,CN(N)CC,0.00138363,Positive
R6,CN(N)CC,0.00138363,Positive
R3,COC(C)C(C)(C)O,0.001330844,Positive
R1,COC(C)[C@@](C)(O)C,0.001330844,Positive
R6,CCCCCCCCCCCC(=O),0.001329043,Positive
R1,O=N,0.001319257,Positive
R2,CCN(C)C(=O)N,0.001301106,Positive
R1,CC(C)=C(OC(=O)CC(C)C)C(=O),0.001290635,Positive
R3,C/C(=C\CO)CO,0.00128014,Positive
R6,CN(N)C(C)(C)C(O),0.001275819,Positive
