rgroup_label,clean_smi,mean_shap,effect
R3,CCCCC(=O)NC(=S)N,0.00015462621393925,Positive
R6,NNCC(O),0.0001732898416805,Positive
R4,CC(C)=CCC/C(C)=C/C,0.0001412977242783,Positive
R1,C/C(=C\CO)[C@@H](O)C,0.00017533266385715,Positive
R6,O=C(O),0.00013340599717205002,Positive
R4,CC(C)CCNC(=O),0.00017579727893240002,Positive
R6,CCN(CC)CCNS(=O)(=O),0.00016885135295074998,Positive
R3,CN(CCO)CCCCCCCNC(=O)C,0.00018159725488745,Positive
R3,CCN(CC)C(=O)N,0.0001834307680098,Positive
R8,C/C=C\CC/C(C)=C/CC/C(C)=C/CCC(C)(O)CC,0.00014905768075035,Positive
R3,CC(C)/C=C/C(=O),0.00016998443577825,Positive
R3,CN(N)CC(C)(O),0.00014653706458195,Positive
R1,CC(C)CCNC(=O),0.00019425758767555002,Positive
R8,CC(C)=CCC/C(C)=C/C,0.00018924489892125,Positive
R6,O=C(CCl)N,0.00014014546042445002,Positive
R2,CC(C)(C)C(=O)OCC(=O).O,0.00013487216175454999,Positive
R3,C/C=C(/C)C(=O)O[C@@H](C),0.00016456436970655,Positive
R4,FC(F)(F)O,0.0001593498021996,Positive
R9,O=C(O),0.0001608778516859,Positive
R3,NC(=O)/C=C\C(=O)N,0.0001480718947609,Positive
R2,CCCCCCC(S)C(=O)O,0.00015336059459735,Positive
R1,C=C(C)[C@@H](O)[C@@H](OC),0.00017098216286390002,Positive
R6,C/C(=N\O)C(C)(C)N,0.0001742903904157,Positive
R3,CC(C)=CCC/C(C)=C/C,0.00017445057781129998,Positive
R6,C=C(CN(C)C)C(=O),0.0001476730716491,Positive
R3,C=CCNS(=O)(=O),0.0001688015733956,Positive
R3,CCCCCCCCC,0.0001420358090135,Positive
R3,CN(C)C(=O)NC,0.00014322749931249999,Positive
R2,CCC(=O)O.O=C(CCl),0.0001393988178937,Positive
R3,CC(C)[C@H](O)CC(=O),0.00014325587728975002,Positive
R6,COC(CN(C)N),0.0001593531331757,Positive
R4,CC(=O),0.00012756178188505,Positive
R5,CCCCCCCNC(=O)O,0.00014727502726135,Positive
R2,COC(=O)/C=C\NC(=O),0.00017482172591415,Positive
R2,CS(=O)(=O)CCCO,0.00016525856241180002,Positive
R1,N[C@@H](C)C(=O)O,0.00017753591264995,Positive
R2,CC(C)(C)C(=O)OCC(=O),0.00014221431927405,Positive
R2,CC(=O)CCCO,0.00016201713774525,Positive
R4,CC(C)CC[C@@H](O)[C@](C)(O),0.00016389672074385,Positive
R7,COCO,0.000159383912816,Positive
R1,C=C(C)[C@@H](O)C,0.0001830471604509,Positive
R3,COC(=O)/C=C\C(=O)N,0.0001557107294317,Positive
R6,CN(N)C,0.00013882067556180003,Positive
