rgroup_label,rgroup_smiles,active_count,inactive_count,enrichment_score
R6,O=C(CCl)[*:6],1,0,inf
R6,O=C(CO)O[*:6],3,0,inf
R6,N=C(N)SC[*:6],1,0,inf
R6,NC(=O)NCC[*:6],1,0,inf
R6,NC(=O)NOC[*:6],1,0,inf
R6,NC(N)=NCCCC[*:6],1,0,inf
R6,NC(N)=NCC[*:6],1,0,inf
R6,NC(N)=NN[*:6],1,0,inf
R6,NCCCC[*:6],1,0,inf
R6,FC(F)(F)O[*:6],1,0,inf
R6,FCCO[*:6],1,0,inf
R6,N#C/C(=C/[*:6])C(N)=S,2,0,inf
R2,C=CCNC(=O)/C=C/[*:2],1,0,inf
R2,C=CCO[*:2],1,0,inf
R2,C=CCS(=O)(=O)[*:2],1,0,inf
R2,CC(=O)C(C)S[*:2],1,0,inf
R2,CC(=O)CCCO[*:2],1,0,inf
R2,C/C(=C\CO[*:2])CC/C=C(\C)CCC(O)C(C)(C)O,1,0,inf
R2,C/C(=C\CO[*:2])CCC(O)C(C)(C)O,1,0,inf
R2,C/C(=C\CO[*:2])CCC=O,1,0,inf
R2,C/C=C/C#CC#C/C=C/[*:2],1,0,inf
R2,C=C(C)C(=O)CC/C(C)=C/CO[*:2],1,0,inf
R2,C=C(C)C(O)CC/C(C)=C/CO[*:2],1,0,inf
R12,C[*:12],1,0,inf
R13,C[*:13],1,0,inf
R2,C#CCOCC[*:2],1,0,inf
R2,C/C(=C\CO[*:2])C/C=C/C(C)(C)O,2,0,inf
R10,NC(N)=NCCCC[*:10],1,0,inf
R10,NCCCC[*:10],1,0,inf
R10,O[*:10],19,0,inf
R11,C[*:11],1,0,inf
R6,CSC(=O)CC(=O)NC(=O)[*:6],1,0,inf
R6,CSC(SC)=C(C#N)C(=O)[*:6],1,0,inf
R6,C[*:6].O[*:6],2,0,inf
R6,C[C@@H]([C@H](O)[*:6])N(C)N,1,0,inf
R6,COC(C/C=C/C(=O)[C@H](C)OC[*:6])OC,1,0,inf
R6,COC(CN(C)N)[*:6],2,0,inf
R6,CNC(=O)O[*:6],1,0,inf
R6,CNNC(=O)[*:6],1,0,inf
R6,COC(=O)/C=C/S(=O)(=O)[*:6],1,0,inf
R6,COC(=O)C(=C[*:6])C(=O)OC,1,0,inf
R6,CN(N)C(C)(C)C(O)[*:6],1,0,inf
R6,CN(N)CC(O)[*:6],3,0,inf
R6,CN(N)CCC[*:6],1,0,inf
R6,CN(N)CC[*:6],2,0,inf
R6,CN(N)C[*:6],1,0,inf
R2,CC(C)=CCC/C(C)=C/C[*:2],1,0,inf
R2,CC(C)=CC[*:2],9,0,inf
R2,CC(C)C(=O)[*:2],2,0,inf
R2,CC(C)NC(=O)COC(=O)/C=C/[*:2],1,0,inf
R2,CC(C)NC(=O)N[*:2],1,0,inf
R2,CC(C)(N)C(=O)[*:2],1,0,inf
R2,CC(C)(O)[*:2],1,0,inf
R2,CC(C)(O[*:2])C(=O)O,1,0,inf
R2,CC(C)=CC(O)C/C(C)=C/CO[*:2],1,0,inf
R2,CC(C)=CCC/C(C)=C/CO[*:2],2,0,inf
R2,CC(=O)OC[*:2],1,0,inf
R2,CC(=O)[*:2].O[*:2],1,0,inf
R2,CC(C)(C)C(=O)OCC(=O)[*:2],1,0,inf
R2,CC(C)(C)C(=O)OCC(=O)[*:2].O[*:2],1,0,inf
R2,CC(C)(C)C(=O)[*:2],1,0,inf
