,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.754 ± 0.006,0.754 ± 0.006,0.829 ± 0.001,0.845 ± 0.002,0.509 ± 0.011,0.743 ± 0.016,0.759 ± 0.018,0.749 ± 0.028,0.751 ± 0.003
MACCS,0.752 ± 0.010,0.751 ± 0.009,0.823 ± 0.004,0.832 ± 0.005,0.506 ± 0.021,0.765 ± 0.036,0.716 ± 0.040,0.786 ± 0.057,0.738 ± 0.005
RDKIT,0.758 ± 0.004,0.758 ± 0.004,0.842 ± 0.003,0.848 ± 0.004,0.523 ± 0.009,0.758 ± 0.050,0.758 ± 0.080,0.758 ± 0.082,0.752 ± 0.019
PHYCHEM,0.672 ± 0.011,0.669 ± 0.010,0.732 ± 0.010,0.721 ± 0.014,0.348 ± 0.025,0.708 ± 0.026,0.560 ± 0.012,0.778 ± 0.032,0.625 ± 0.004
ESTATE,0.770 ± 0.004,0.768 ± 0.004,0.833 ± 0.003,0.850 ± 0.002,0.544 ± 0.007,0.812 ± 0.003,0.688 ± 0.010,0.848 ± 0.004,0.745 ± 0.006
