Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Fingerprint,Run,Seed
0.7452145214521452,0.746009154315606,0.8296434176111596,0.8471664795716249,0.49270005517594423,0.7209737827715356,0.7804054054054054,0.7116129032258065,0.7495133030499675,ECFP,1,42
0.7594059405940594,0.7594681778552745,0.8309843068875327,0.8424974273310324,0.5188091567653172,0.7495016611295681,0.7621621621621621,0.756774193548387,0.7557788944723618,ECFP,2,43
0.7574257425742574,0.7569376634699215,0.8273657367044465,0.8456784761739738,0.5144923476320665,0.7599441730635031,0.7358108108108108,0.7780645161290323,0.7476828012358393,ECFP,3,44
0.7557755775577558,0.7539973844812554,0.8211870095902354,0.8347860109812224,0.5149760839266037,0.7927215189873418,0.677027027027027,0.8309677419354838,0.7303206997084548,MACCS,1,42
0.7372937293729372,0.7380383609415868,0.8198256320836965,0.8258060583712881,0.47663138312076425,0.7142857142857143,0.7702702702702703,0.7058064516129032,0.741222366710013,MACCS,2,43
0.7617161716171618,0.7603225806451612,0.8294697035745422,0.8360412963475549,0.5251486083855923,0.7884322678843226,0.7,0.8206451612903226,0.7415891195418755,MACCS,3,44
0.761056105610561,0.7620575414123801,0.8426109415867482,0.8452148383653795,0.5254388221497254,0.7321867321867321,0.8054054054054054,0.7187096774193549,0.767052767052767,RDKIT,1,42
0.761056105610561,0.7584415867480383,0.8384646904969486,0.8442143774208891,0.532071234048292,0.8275563258232236,0.6452702702702703,0.8716129032258064,0.7251328777524677,RDKIT,2,43
0.7518151815181519,0.7534219703574543,0.8459509590235397,0.8540286602826773,0.5108710642538778,0.7131147540983607,0.822972972972973,0.6838709677419355,0.7641154328732748,RDKIT,3,44
0.6590759075907591,0.6571926765475153,0.7202040104620749,0.7064140552283547,0.3189605743047049,0.6778042959427207,0.5756756756756757,0.7387096774193549,0.6225794665692364,PHYCHEM,1,42
0.66996699669967,0.6673801220575414,0.7323550566695728,0.7184151229747695,0.3440315505473073,0.7061855670103093,0.5554054054054054,0.7793548387096774,0.6217851739788199,PHYCHEM,2,43
0.6854785478547855,0.6823735832606801,0.7445723626852658,0.7394857782315816,0.37952561208190916,0.7406392694063927,0.547972972972973,0.8167741935483871,0.6299029126213592,PHYCHEM,3,44
0.768976897689769,0.7669616390584133,0.8350281168265039,0.8522265383375491,0.5433446121485142,0.8165584415584416,0.6797297297297298,0.8541935483870968,0.7418879056047197,ESTATE,1,42
0.766006600660066,0.7641194420226678,0.8289391891891892,0.8470673357030094,0.5364310335228336,0.8086469175340272,0.6824324324324325,0.8458064516129032,0.7401978746793697,ESTATE,2,43
0.7749174917491749,0.773256320836966,0.8341885353095031,0.8520010382377851,0.5531774159288395,0.812206572769953,0.7013513513513514,0.8451612903225807,0.7527193618564177,ESTATE,3,44
