Ligand,"COX2 (5KIR, human)","COX2 (3LN1, murine)","COX1 (1EQH, human)","5LOX (6NCF, human)","mPGES1 (5TL9, human)"
Ligand 15,-9.225,-9.394,-7.905,-7.12,
Ligand 5,-9.001,-7.697,-7.625,-7.189,-7.229
Ligand 14,-8.945,-9.21,-8.291,-7.147,
Ligand 8,-8.759,-8.912,-7.567,,-7.124
Ligand 1,-8.629,-8.407,-8.124,,-7.668
Ligand 3,-8.571,-8.323,-7.272,-7.053,-7.429
Ligand 19,-8.406,-8.68,-7.333,,
Ligand 7,-8.371,-7.787,-7.601,,-7.347
Ligand 18,-8.291,-8.508,-7.818,,
Ligand 2,-8.215,-8.686,-7.831,-7.419,-7.115
Ligand 6,-7.922,-7.082,-7.654,,-7.298
Ligand 20,-7.896,-8.578,,,
Ligand 17,-7.749,-8.259,,,
Ligand 11,-7.688,-8.141,,,
Ligand 9,-7.593,-7.042,-7.205,,
Ligand 12,-7.509,-8.229,,,
Ligand 13,-7.09,-7.964,,,
