5-LOX (6NCF),,mPGES1 (5TL9),
Ligand,Affinity (kcal/mol),Ligand,Affinity (kcal/mol)
AF7 (reference),-9.814,7DN (reference),-7.776
Ligand 2,-7.419,Ligand 1,-7.668
Ligand 5,-7.189,Ligand 3,-7.429
Ligand 14,-7.147,Ligand 7,-7.347
Ligand 15,-7.12,Ligand 6,-7.298
Ligand 3,-7.053,Ligand 5,-7.229
Ligand 7,-6.933,Ligand 8,-7.124
Ligand 6,-6.88,Ligand 2,-7.115
Ligand 1,-6.789,Ligand 14,-6.928
Ligand 13,-6.751,Ligand 9,-6.688
Ligand 8,-6.738,Ligand 15,-6.68
Ligand 12,-6.736,Ligand 19,-6.595
Ligand 4,-6.736,Ligand 12,-6.565
Ligand 18,-6.601,Ligand 20,-6.5
Ligand 9,-6.56,Ligand 18,-6.484
Ligand 19,-6.547,Ligand 13,-6.447
Ligand 20,-6.523,Ligand 10,-6.431
Ligand 17,-6.464,Ligand 4,-6.345
Ligand 11,-6.393,Ligand 16,-6.141
Ligand 10,-6.322,Ligand 11,-6.009
Ligand 16,-6.196,Ligand 17,-5.788
