,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.487 ± 0.001,0.494 ± 0.001,0.512 ± 0.001,0.521 ± 0.003,-0.069 ± 0.004,0.137 ± 0.008,0.002 ± 0.000,0.985 ± 0.001,0.005 ± 0.000
ESTATE,0.482 ± 0.001,0.488 ± 0.001,0.389 ± 0.001,0.430 ± 0.001,-0.111 ± 0.005,0.000 ± 0.000,0.000 ± 0.000,0.976 ± 0.002,0.000 ± 0.000
MACCS,0.491 ± 0.001,0.497 ± 0.001,0.436 ± 0.010,0.450 ± 0.003,-0.029 ± 0.005,0.361 ± 0.020,0.007 ± 0.000,0.987 ± 0.001,0.014 ± 0.000
PHYCHEM,0.511 ± 0.003,0.516 ± 0.003,0.499 ± 0.005,0.532 ± 0.004,0.054 ± 0.008,0.588 ± 0.013,0.118 ± 0.005,0.915 ± 0.004,0.196 ± 0.007
RDKIT,0.487 ± 0.001,0.494 ± 0.001,0.569 ± 0.002,0.545 ± 0.002,-0.073 ± 0.009,0.095 ± 0.067,0.002 ± 0.001,0.986 ± 0.000,0.003 ± 0.002
