,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.908 ± 0.003,0.908 ± 0.003,0.961 ± 0.001,0.950 ± 0.002,0.817 ± 0.005,0.932 ± 0.001,0.882 ± 0.006,0.934 ± 0.001,0.906 ± 0.003
ESTATE,0.923 ± 0.001,0.923 ± 0.001,0.960 ± 0.001,0.964 ± 0.001,0.845 ± 0.003,0.924 ± 0.003,0.923 ± 0.000,0.922 ± 0.003,0.924 ± 0.001
MACCS,0.911 ± 0.002,0.911 ± 0.002,0.965 ± 0.001,0.960 ± 0.000,0.823 ± 0.004,0.922 ± 0.001,0.901 ± 0.004,0.922 ± 0.001,0.911 ± 0.002
PHYCHEM,0.822 ± 0.002,0.822 ± 0.002,0.893 ± 0.001,0.888 ± 0.003,0.644 ± 0.004,0.829 ± 0.005,0.817 ± 0.007,0.827 ± 0.007,0.823 ± 0.002
RDKIT,0.888 ± 0.002,0.889 ± 0.002,0.942 ± 0.005,0.951 ± 0.002,0.786 ± 0.004,0.957 ± 0.001,0.816 ± 0.005,0.962 ± 0.001,0.881 ± 0.003
